english;spanish;french;italian;german;japanese;chinese
Mafumofu Coat;Cota de Mafumofu;Taille Mafumofu;Fiancale Mafumofu;Mafumofu-Waffenrock;;
Light Belt;Cinturón Ligero;Ceinture légère;Cintura Leggera;Leichter Gürtel;;
Leather Belt;Cinturón de Cuero;Ceinture de cuir;Cintura di Cuoio;Ledergürtel;;
Iron Belt;Cinturón de Hierro;Ceinture de fer;Cintura di Ferro;Eisengürtel;;
Chain Belt;Cinturón Cota Malla;Ceinture de mailles;Cintura Maglia;Kettengürtel;;
Hunter's Tasset;Muslera de Cazador;Tasset. de chasseur;Falda Cacciatore;Jäger-Beinzeug;;
Hunter's Coat;Cota de Cazador;Taille de chasseur;Fiancale Cacciatore;Jäger-Waffenrock;;
Bone Tasset;Muslera de Hueso;Tassettes d'os;Falda d’Osso;Knochen-Beinzeug;;
Bone Coat;Cota de Hueso;Taille d'os;Fiancale d’Osso;Knochen-Waffenrock;;
Giaprey Tasset;Muslera de Giaprey;Tassettes Giaprey;Falda di Giaprey;Giaprey-Beinzeug;;
Giaprey Coat;Cota de Giaprey;Taille Giaprey;Fiancale di Giaprey;Giaprey-Waffenrock;;
Battle Tasset;Muslera de Combate;Tassettes de combat;Falda Battaglia;Kampf-Beinzeug;;
Battle Coat;Cota de Combate;Taille de combat;Fiancale Battaglia;Kampf-Waffenrock;;
Hide Belt;Cinturón de Piel;Ceinture de peau;Cintura di Pelle;Lederhautgürtel;;
Velociprey Tasset;Muslera Velociprey;Tassettes Velociprey;Falda Velociprey;Velociprey-Beinzeug;;
Velociprey Coat;Cota de Velociprey;Taille Velociprey;Fiancale Velociprey;Velociprey-WaffnRock;;
Vespoid Tasset;Muslera de Vespoid;Tassettes Vespoid;Falda Vespoid;Vespoid-Beinzeug;;
Vespoid Coat;Cota de Vespoid;Taille Vespoid;Fiancale Vespoid;Vespoid-Waffenrock;;
Hi-Metal Tasset;Muslera de Megametal;Tassettes haut-métal;Falda Hi-Metal;Hochmetall-Beinzeug;;
Hi-Metal Coat;Cota de Megametal;Taille haut-métal;Fiancale Hi-Metal;HochmetallWaffenrock;;
Hornet Tasset;Muslera de Hornet;Tassettes Hornet;Falda Hornet;Hornissen-Beinzeug;;
Hornet Coat;Cota de Hornet;Taille Hornet;Fiancale Hornet;Hornissen-Waffenrock;;
Genprey Tasset;Muslera de Genprey;Tassettes Genprey;Falda Genprey;Genprey-Beinzeug;;
Genprey Coat;Cota de Genprey;Taille Genprey;Fiancale Genprey;Genprey-Waffenrock;;
Chrome Metal Coat;Cota Metal Cromado;Taille Chrome;Fiancale Cromo;Chrom-Waffenrock;;
Steel Belt;Cinturón de Acero;Ceinture d'acier;Cintura Acciaio;Stahlgürtel;;
Ioprey Tasset;Muslera de Ioprey;Tassettes Ioprey;Falda Ioprey;Ioprey-Beinzeug;;
Ioprey Coat;Cota de Ioprey;Taille Ioprey;Fiancale Ioprey;Ioprey-Waffenrock;;
Kut-Ku Tasset;Muslera de Kut-Ku;Tassettes Kut-Ku;Falda Kut-Ku;Kut-Ku-Beinzeug;;
Kut-Ku Coat;Cota de Kut-Ku;Taille Kut-Ku;Fiancale Kut-Ku;Kut-Ku-Waffenrock;;
Cephalos Tasset;Muslera de Cephalos;Tassettes Cephalos;Falda Cephalos;Cephalos-Beinzeug;;
Cephalos Coat;Cota de Cephalos;Taille Cephalos;Fiancale Cephalos;Cephalos-Waffenrock;;
Conga Tasset;Muslera de Conga;Tassettes Conga;Falda di Conga;Conga-Beinzeug;;
Conga Coat;Cota de Conga;Taille Conga;Fiancale di Conga;Conga-Waffenrock;;
Gypceros Tasset;Muslera de Gypceros;Tassettes Gypceros;Falda Gypceros;Gypceros-Beinzeug;;
Gypceros Coat;Cota de Gypceros;Taille Gypceros;Fiancale Gypceros;Gypceros-Waffenrock;;
Khezu Tasset;Muslera de Khezu;Tassettes Khezu;Falda Khezu;Khezu-Beinzeug;;
Khezu Coat;Cota de Khezu;Taille Khezu;Fiancale Khezu;Khezu-Waffenrock;;
Hermitaur Tasset;Muslera Hermitaur;Tassettes Hermitaur;Falda Hermitaur;Hermitaur-Beinzeug;;
Hermitaur Coat;Cota de Hermitaur;Taille Hermitaur;Fiancale Hermitaur;Hermitaur-Waffenrock;;
