name;hr;village;slots;gender;type;rarity;defense;fire;thunder;dragon;water;ice;skill_one;skill_one_points;skill_two;skill_two_points;skill_three;skill_three_points;skill_four;skill_four_points;skill_five;skill_five_points;material_one;amount_one;material_two;amount_two;material_three;amount_three;material_four;amount_four
Mafumofu Boots;1;1;1;0;0;1;1;0;0;0;0;3;Protection;2;Ice Res;1;Heat Res;-2;Cold Res;4;;;Anteka Pelt;1;;;;;;
Green Pants;1;1;1;0;0;1;2;2;0;0;0;0;Throw;2;Backpackng;2;Gathering;3;Alchemy;2;;;Anteka Pelt;1;Sm Monster Bone;1;;;;
Blue Pants;1;1;1;0;0;1;4;2;-2;0;2;1;Paralysis;-1;Health;3;Hunger;2;Map;1;Whim;2;Iron Ore;2;Anteka Pelt;3;;;;
Hunter's Greaves;1;1;1;0;1;1;8;0;-4;0;0;0;Faint;-1;PsychicVis;3;Carving;2;BBQ;3;;;Iron Ore;3;Bullfango Pelt;1;Earth Crystal;1;;
Hunter's Leggings;1;1;1;0;2;1;6;2;-2;0;2;2;Faint;-1;NormalS Up;3;PsychicVis;3;Carving;2;;;Iron Ore;3;Bullfango Pelt;1;Earth Crystal;1;;
Bone Greaves;1;1;1;0;1;2;14;2;-2;-2;2;-2;Gluttony;3;Anti-Theft;2;Map;-1;PsychicVis;1;Horn;2;Brute Bone;4;Anteka Pelt;1;Giaprey Hide;1;;
Bone Leggings;1;1;1;0;2;2;8;5;0;0;5;-1;Gluttony;3;Anti-Theft;2;Map;-1;PsychicVis;1;Horn;2;Brute Bone;4;Anteka Pelt;1;Giaprey Hide;1;;
Giaprey Greaves;1;1;1;0;1;2;16;0;1;-1;1;3;Snow Res;3;Guard;2;Fire Res;-2;Quake Res;2;;;Giaprey Scale;2;Disk Stone;3;Giaprey Hide;4;;
Giaprey Leggings;1;1;1;0;2;2;8;1;3;0;3;4;Snow Res;3;PelletS Up;2;Fire Res;-2;PsychicVis;2;;;Giaprey Scale;2;Disk Stone;3;Giaprey Hide;4;;
Battle Greaves;1;1;1;0;1;2;16;2;-2;0;-2;-1;Health;2;SwdShrpner;2;Hunger;-1;Attack;2;PsychicVis;2;Kelbi Hide;1;Bullfango Pelt;2;Earth Crystal;3;Whetstone;5
Battle Leggings;1;1;1;0;2;2;10;4;0;2;0;0;Reload;2;Hunger;-1;Attack;2;PsychicVis;2;Precision;2;Kelbi Hide;1;Bullfango Pelt;2;Huskberry;20;Sm Bone Husk;5
Silver Metal Boots;10;4;2;0;0;2;18;0;-2;0;2;0;Stamina;-2;Gunnery;5;;;;;;;;;;;;;;
Dark Metal Boots;10;4;2;0;0;2;20;0;2;0;-2;0;Sneak;2;PsychicVis;5;;;;;;;;;;;;;;
Velociprey Greaves;1;2;1;0;1;2;20;1;1;-1;1;0;Paralysis;-2;Faint;3;SwdShrpner;2;MixSucRate;2;;;Velocidrome Hide;1;Velociprey Scale;3;Velociprey Scale;1;;
Velociprey Leggings;1;2;1;0;2;2;10;3;3;0;3;1;Paralysis;-2;Faint;3;PelletSAdd;2;Shot Mix;2;;;Velocidrome Hide;1;Velociprey Scale;3;Velociprey Scale;1;;
Vespoid Greaves;1;1;1;0;1;3;20;-6;2;2;-5;-4;Paralysis;2;Poison;-1;Backpackng;4;Everlastng;2;;;Vespoid Wing;2;Disk Stone;3;Monster Fluid;1;;
Vespoid Leggings;1;1;1;0;2;3;10;-5;5;2;-4;-3;Paralysis;2;Poison;-1;Backpackng;4;Everlastng;2;;;Vespoid Shell;2;Disk Stone;3;Monster Fluid;1;;
Hi-Metal Greaves;1;1;1;0;1;3;20;-2;3;0;-2;-1;Health;3;Whim;1;Stamina;-2;Gunnery;3;;;Machalite Ore;3;Iron Ore;3;Velociprey Hide;3;;
Hi-Metal Leggings;1;1;1;0;2;3;10;0;5;0;0;0;Health;3;Crag S Add;1;Stamina;-2;Gunnery;3;;;Machalite Ore;3;Iron Ore;3;Velociprey Hide;3;;
Hornet Greaves;1;2;2;0;1;3;22;-6;-5;2;-1;-5;Protection;-2;HearProtct;2;Dragon Res;2;Gathering;1;;;Hornetaur Wing;3;Hornetaur Shell;3;Earth Crystal;4;Killer Beetle;1
Hornet Leggings;1;2;1;0;2;3;11;-5;-3;3;2;-4;Protection;-2;HearProtct;3;Dragon Res;2;Gathering;2;;;Hornetaur Wing;3;Hornetaur Shell;3;Earth Crystal;4;Killer Beetle;1
Genprey Greaves;1;2;0;0;1;3;22;2;3;-1;-2;-2;Torso Inc;;;;;;;;;;Gendrome Hide;1;Genprey Scale;4;Iron Ore;3;Disk Stone;2
Genprey Leggings;1;2;0;0;2;3;11;4;5;0;0;0;Torso Inc;;;;;;;;;;Gendrome Hide;1;Genprey Scale;4;Iron Ore;3;Disk Stone;2
Chrome Metal Boots;10;6;0;0;0;3;24;2;0;0;-2;0;Torso Inc;;;;;;;;;;;;;;;;;
Ioprey Greaves;1;3;1;0;1;3;24;3;-2;-1;2;1;Faint;-1;Poison;3;Health;4;Fatigue;1;;;Ioprey Hide;2;Ioprey Scale;3;Earth Crystal;3;Iron Ore;3
Ioprey Leggings;1;3;1;0;2;3;12;4;0;0;3;2;Faint;-1;Poison;3;PelletSAdd;4;Fatigue;1;;;Ioprey Hide;2;Ioprey Scale;3;Earth Crystal;3;Iron Ore;3
Kut-Ku Greaves;1;2;1;0;1;3;24;2;0;-1;-2;-2;Health;2;Attack;3;Defense;-1;Fire Res;2;Water Res;-1;Kut-Ku Ear;2;Kut-Ku Shell;2;Kut-Ku Webbing;2;Giaprey Hide;2
Kut-Ku Leggings;1;2;1;0;2;3;12;5;3;0;1;-1;Health;2;Attack;3;Defense;-1;Fire Res;2;Water Res;-1;Kut-Ku Ear;2;Kut-Ku Shell;2;Kut-Ku Webbing;2;Giaprey Hide;2
Cephalos Greaves;1;2;2;0;1;3;28;-3;-4;0;2;2;Hunger;1;Heat Res;4;Cold Res;-2;;;;;Cephalos Scale;4;Piscine Fang;3;Iron Ore;4;Carpenterbug;3
Cephalos Leggings;1;2;1;0;2;3;16;-1;-2;1;5;3;Hunger;3;Heat Res;4;Cold Res;-2;;;;;Cephalos Scale;4;Piscine Fang;3;Iron Ore;4;Carpenterbug;3
Conga Greaves;1;2;1;0;1;3;28;-3;2;0;2;-1;Antiseptic;2;BombStrUp;2;Hunger;-2;Gluttony;3;;;Conga Pelt;4;Bulldrome Hide;2;Giant Bone;1;Machalite Ore;2
Conga Leggings;1;2;1;0;2;3;16;-1;4;1;4;0;Antiseptic;2;NormalS Up;2;Hunger;-2;Gluttony;3;;;Conga Pelt;4;Bulldrome Hide;2;Giant Bone;1;Machalite Ore;2
Gypceros Greaves;1;3;1;0;1;3;30;-4;4;0;1;1;Poison;3;Hunger;-2;ThunderRes;2;Stamina;2;;;Dragonite Ore;2;Antiseptic Stone;2;Genprey Hide;3;Rubbery Hide;3
Gypceros Leggings;1;3;1;0;2;3;16;-1;6;0;4;3;Poison;3;Hunger;-2;ThunderRes;2;Stamina;2;;;Dragonite Ore;2;Antiseptic Stone;2;Genprey Hide;3;Rubbery Hide;3
Khezu Greaves;1;3;1;0;1;3;32;-3;4;0;3;1;Faint;-2;Rec Speed;3;Wide Area;2;Horn;2;;;Flabby Hide;2;Machalite Ore;2;Bullfango Pelt;3;;
Khezu Leggings;1;3;1;0;2;3;16;-1;6;0;5;2;Faint;-2;Rec Speed;3;Wide Area;2;Shot Mix;2;;;Flabby Hide;2;Machalite Ore;2;Bullfango Pelt;3;;
Hermitaur Greaves;1;3;1;0;1;3;32;-3;-4;1;3;0;Guard;1;Throw;2;Defense;3;ThunderRes;-3;;;Hermitaur Claw;1;Sm Hermitaur Shl;4;Bulldrome Hide;2;Machalite Ore;2
Hermitaur Leggings;1;3;1;0;2;3;16;-1;-2;2;5;1;Guard Up;1;Throw;2;Defense;3;ThunderRes;-3;;;Hermitaur Claw;1;Sm Hermitaur Shl;4;Bulldrome Hide;2;Machalite Ore;2
Plesioth Greaves;1;3;1;0;1;3;34;-4;-4;0;4;2;Paralysis;-2;Heat Res;2;Cold Res;2;Stamina;3;;;Plesioth Fin;1;Machalite Ore;2;Cephalos Scale;3;Plesioth Scale;3
Plesioth Leggings;1;3;1;0;2;3;17;-2;-2;1;6;3;Paralysis;-2;Heat Res;2;Cold Res;2;Stamina;3;;;Plesioth Fin;1;Machalite Ore;2;Cephalos Scale;3;Plesioth Scale;3
Lobster Greaves;1;3;1;0;1;3;34;-2;-6;-2;6;2;Guard;-2;Water Res;1;Fishing;3;Evade;3;;;Sm Lobstershell;1;Plesioth Fin;1;Carpenterbug;3;Disk Stone;6
Lobster Leggings;1;3;1;0;2;3;17;0;-5;0;5;3;Water Res;1;Fishing;3;Evade;3;Precision;-2;;;Sm Lobstershell;1;Plesioth Fin;1;Carpenterbug;3;Disk Stone;6
Kut-Ku Greaves D;1;3;2;0;1;3;22;2;0;-1;-2;-2;Health;-1;Rec Speed;-1;Expert;2;ElementAtk;1;Attack;2;Kut-Ku Ear;2;Blue Kut-Ku Shl;2;Kut-Ku Webbing;2;Giaprey Hide;2
Kut-Ku Leggings D;1;3;2;0;2;3;10;5;3;0;1;-1;Health;-1;Rec Speed;-1;Expert;2;ElementAtk;1;Attack;2;Kut-Ku Ear;2;Blue Kut-Ku Shl;2;Kut-Ku Webbing;2;Giaprey Hide;2
