name;hr;village;slots;gender;type;rarity;defense;fire;thunder;dragon;water;ice;skill_one;skill_one_points;skill_two;skill_two_points;skill_three;skill_three_points;skill_four;skill_four_points;skill_five;skill_five_points;material_one;amount_one;material_two;amount_two;material_three;amount_three;material_four;amount_four
Leather Gloves;1;1;1;0;0;1;1;0;0;0;0;0;Whim;3;;;;;;;;;Warm Pelt;2;;;;;;
Chainmail Gloves;1;1;1;0;0;1;2;0;1;0;0;0;Health;2;;;;;;;;;Iron Ore;1;Whetstone;2;;;;
Bherna Braces;1;1;1;0;0;1;2;0;0;0;1;0;Protection;2;;;;;;;;;Warm Pelt;1;Carpenterbug;2;;;;
Hunting Braces;1;1;0;0;1;1;2;1;0;0;0;0;Psychic;5;;;;;;;;;Iron Ore;2;Warm Pelt;1;;;;
Hunting Guards;1;1;0;0;2;1;1;2;0;0;0;0;Psychic;4;;;;;;;;;Iron Ore;2;Warm Pelt;1;;;;
Mafumofu Mittens;1;1;2;0;0;1;2;-1;0;0;0;2;Cold Res;2;;;;;;;;;Warm Pelt;2;Anteka Antler;2;;;;
Yukumo Kote;1;1;1;0;0;1;2;0;1;0;0;0;Expert;2;Evasion;1;;;;;;;Yukumo Wood;2;Ivy;1;;;;
Hunter's Vambraces;1;1;1;0;1;1;6;0;0;0;0;0;Speed Setup;3;;;;;;;;;Bullfango Pelt;1;Earth Crystal;1;Ivy;3;;
Hunter's Guards;1;1;1;0;2;1;3;0;0;0;0;0;Speed Setup;2;;;;;;;;;Bullfango Pelt;1;Earth Crystal;1;Ivy;3;;
Bone Vambraces;1;1;2;0;1;1;6;0;0;0;0;-1;KO;2;;;;;;;;;Brute Bone;3;Sharp Claw;2;Maccao Scale;1;;
Bone Guards;1;1;2;0;2;1;3;0;0;0;0;-1;KO;2;;;;;;;;;Brute Bone;3;Sharp Claw;2;Maccao Scale;1;;
Trapper's Gauntlets;1;1;1;0;1;1;6;0;0;0;1;0;Botany;3;;;;;;;;;Anteka Antler;2;Warm Pelt;3;Iron Ore;1;;
Trapper's Gloves;1;1;1;0;2;1;3;0;0;0;1;0;Botany;3;;;;;;;;;Anteka Antler;2;Warm Pelt;3;Iron Ore;1;;
Maccao Gauntlets;1;1;0;0;1;1;6;0;1;0;0;0;Stam Drain;4;;;;;;;;;Maccao Hide;3;Maccao Scale;1;Ivy;2;;
Maccao Gloves;1;1;0;0;2;1;3;0;1;0;0;0;Stam Drain;4;;;;;;;;;Maccao Hide;3;Maccao Scale;1;Ivy;2;;
Jaggi Gauntlets;1;1;0;0;1;1;6;0;0;0;0;1;Expert;4;;;;;;;;;Jaggi Hide;3;Jaggi Scale;1;Iron Ore;2;;
Jaggi Gloves;1;1;0;0;2;1;3;0;0;0;0;1;Expert;4;;;;;;;;;Jaggi Hide;3;Jaggi Scale;1;Iron Ore;2;;
Jaggi Vambraces;1;1;1;0;1;1;6;-2;0;0;0;0;Fire Atk;3;;;;;;;;;Jaggi Scale;3;Monster Bone S;4;Shiny Beetle;2;Earth Crystal;2
Jaggi Guards;1;1;1;0;2;1;3;-2;0;0;0;0;Fire Atk;2;;;;;;;;;Jaggi Scale;3;Monster Bone S;4;Shiny Beetle;2;Earth Crystal;2
Maccao Braces;1;1;2;0;1;1;8;-2;0;0;0;0;Vault;1;;;;;;;;;Maccao Scale;4;Maccao Hide;3;Shiny Beetle;1;;
Maccao Guards;1;1;2;0;2;1;4;-2;1;1;1;1;Vault;1;;;;;;;;;Maccao Scale;4;Maccao Hide;3;Shiny Beetle;1;;
Velociprey Braces;1;2;1;0;1;1;8;0;0;0;0;-2;Water Atk;4;;;;;;;;;Velocidrome Claw;2;Velocidrome Hide;3;Velociprey Scale;2;Earth Crystal;3
Velociprey Guards;1;2;1;0;2;1;4;0;1;0;1;-2;Water Atk;4;;;;;;;;;Velocidrome Claw;2;Velocidrome Hide;3;Velociprey Scale;2;Earth Crystal;3
Giaprey Vambraces;1;2;1;0;1;1;8;0;-1;0;0;2;Bind Res;2;Sleep;-2;;;;;;;Giaprey Scale;2;Giaprey Hide;2;Disc Stone;1;Warm Pelt;1
Giaprey Guards;1;2;1;0;2;1;4;0;-1;0;0;3;Bind Res;2;Sleep;-2;;;;;;;Giaprey Scale;2;Giaprey Hide;2;Disc Stone;1;Warm Pelt;1
Genprey Vambraces;1;2;1;0;1;1;10;0;1;0;0;-2;Paralysis;3;Poison;-3;;;;;;;Gendrome Hide;2;Gendrome Fang;2;Iron Ore;2;Genprey Fang;5
Genprey Guards;1;2;1;0;2;1;5;1;2;0;0;-2;Paralysis;3;Poison;-3;;;;;;;Gendrome Hide;2;Gendrome Fang;2;Iron Ore;2;Genprey Fang;5
Vespoid Vambraces;2;3;1;0;1;1;10;-2;1;2;1;1;Sheathing;3;;;;;;;;;Vespoid Wing;3;Iron Ore;3;Earth Crystal;2;;
Vespoid Guards;2;3;1;0;2;1;5;-2;2;3;2;2;Sheathing;3;;;;;;;;;Vespoid Wing;3;Iron Ore;3;Earth Crystal;2;;
Hornetaur Braces;1;3;2;0;1;1;10;-1;-1;4;-1;-1;Dragon Res;3;;;;;;;;;Hornetaur Wing;3;Hornetaur Shell;3;Iron Ore;5;Monster Fluid;1
Hornetaur Guards;1;3;2;0;2;1;5;-1;-1;6;-1;-1;Dragon Res;3;;;;;;;;;Hornetaur Wing;3;Hornetaur Shell;3;Iron Ore;5;Monster Fluid;1
Bnahabra Gloves;1;3;1;0;1;1;10;-2;0;2;0;0;Sharpness;2;Fire Res;-2;;;;;;;Bnahabra Wing;3;Bnahabra Shell;2;Thunderbug;1;Shiny Beetle;2
Bnahabra Sleeves;1;3;1;0;2;1;5;-2;1;3;1;1;Ammo Saver;2;Fire Res;-2;;;;;;;Bnahabra Wing;3;Bnahabra Shell;2;Thunderbug;1;Shiny Beetle;2
Konchu Braces;1;1;0;0;1;1;12;0;1;1;1;1;Guard;4;Constitution;-2;;;;;;;Konchu Shell;5;Sharp Fang;3;Iron Ore;2;Carpenterbug;1
Konchu Guards;1;1;0;0;2;1;6;0;2;2;2;2;Precision;4;Constitution;-2;;;;;;;Konchu Shell;5;Sharp Fang;3;Iron Ore;2;Carpenterbug;1
Mosswine Gloves;1;1;1;0;0;1;5;0;0;0;0;0;Gluttony;4;;;;;;;;;Mosswine Hide;1;Bullfango Pelt;3;Carpenterbug;2;;
Rhenoplos Vambraces;1;2;2;0;1;1;12;2;0;0;0;-2;Water Atk;2;;;;;;;;;Rhenoplos Shell;2;Monster Bone M;4;Ice Crystal;2;;
Rhenoplos Guards;1;2;2;0;2;1;6;3;0;0;0;-2;Water Atk;2;;;;;;;;;Rhenoplos Shell;2;Monster Bone M;4;Ice Crystal;2;;
