name;hr;village;slots;gender;type;rarity;defense;fire;thunder;dragon;water;ice;skill_one;skill_one_points;skill_two;skill_two_points;skill_three;skill_three_points;skill_four;skill_four_points;skill_five;skill_five_points;material_one;amount_one;material_two;amount_two;material_three;amount_three;material_four;amount_four
Leather Vest;1;1;0;0;0;1;1;0;0;0;0;0;Whim;5;;;;;;;;;Larinoth Hide;1;Monster Bone S;1;;;;
Chainmail Vest;1;1;1;0;0;1;2;0;1;0;0;0;Health;3;;;;;;;;;Iron Ore;2;Warm Pelt;1;;;;
Bherna Mail;1;1;1;0;0;1;2;0;0;0;1;0;Protection;2;;;;;;;;;Warm Pelt;1;Iron Ore;2;;;;
Hunting Mail;2;3;0;0;1;1;2;1;0;0;0;0;Psychic;2;;;;;;;;;Iron Ore;2;Ioprey Scale;1;;;;
Hunting Vest;2;3;0;0;2;1;1;2;0;0;0;0;Psychic;2;;;;;;;;;Iron Ore;2;Ioprey Scale;1;;;;
Mafumofu Jacket;1;1;0;0;0;1;2;-1;0;0;0;2;Cold Res;6;;;;;;;;;Warm Pelt;2;Blango Pelt;1;;;;
Yukumo Dogi;1;1;0;0;0;1;2;0;1;0;0;0;Expert;4;Evasion;2;;;;;;;Yukumo Wood;2;Ivy;2;;;;
Loc Lac Shawl;1;1;1;0;0;1;2;1;0;2;0;0;Transporter;3;Heat Res;1;;;;;;;Altaroth Stomach;1;Jaggi Hide;3;Earth Crystal;2;;
Hunter's Mail;1;1;1;0;1;1;6;0;0;0;0;0;Speed Setup;2;;;;;;;;;Bullfango Pelt;1;Jaggi Scale;1;Iron Ore;2;;
Hunter's Vest;1;1;1;0;2;1;3;0;0;0;0;0;Speed Setup;2;;;;;;;;;Bullfango Pelt;1;Jaggi Scale;1;Iron Ore;2;;
Bone Mail;1;1;0;0;1;1;6;0;0;0;0;-1;Maestro;4;KO;2;;;;;;;Jumbo Bone;1;Mystery Bone;2;Maccao Hide;1;;
Bone Vest;1;1;0;0;2;1;3;0;0;0;0;-1;Maestro;4;KO;2;;;;;;;Jumbo Bone;1;Mystery Bone;2;Maccao Hide;1;;
Chaos Plate;1;1;2;0;1;1;6;2;0;0;-2;0;Status;2;;;;;;;;;Chaos Mushroom;1;Parashroom;4;Toadstool;4;Godbug;3
Chaos Brigandine;1;1;2;0;2;1;3;2;0;0;-2;0;Status;1;;;;;;;;;Chaos Mushroom;1;Parashroom;4;Toadstool;4;Godbug;3
Jaggi Mail;1;1;0;0;1;1;6;-2;0;0;0;0;Attack;3;Defense;-2;;;;;;;Jaggi Hide;4;Bird Wyvern Fang;3;Shiny Beetle;2;Iron Ore;3
Jaggi Vest;1;1;0;0;2;1;3;-2;0;0;0;0;Attack;3;Defense;-2;;;;;;;Jaggi Hide;4;Bird Wyvern Fang;3;Shiny Beetle;2;Iron Ore;3
Maccao Mail;1;1;0;0;1;1;8;-2;0;0;0;0;Vault;4;Stam Drain;1;;;;;;;Great Maccao Scale;3;Great Maccao Hide;2;Iron Ore;4;;
Maccao Vest;1;1;0;0;2;1;4;-2;1;1;1;1;Vault;4;Stam Drain;1;;;;;;;Great Maccao Scale;3;Great Maccao Hide;2;Iron Ore;4;;
Velociprey Mail;1;2;0;0;1;1;8;0;0;0;0;-2;Stun;4;Paralysis;-4;;;;;;;Velocidrome Claw;2;Screamer Sac;2;Velociprey Hide;3;Carpenterbug;2
Velociprey Vest;1;2;0;0;2;1;4;0;1;0;1;-2;Stun;4;Paralysis;-4;;;;;;;Velocidrome Claw;2;Screamer Sac;2;Velociprey Hide;3;Carpenterbug;2
Giaprey Mail;1;2;0;0;1;1;8;0;-1;0;0;2;Ice Atk;5;;;;;;;;;Giaprey Hide;3;Giaprey Scale;1;Iron Ore;3;Bird Wyvern Fang;3
Giaprey Vest;1;2;0;0;2;1;4;0;-1;0;0;3;Ice Atk;5;;;;;;;;;Giaprey Hide;3;Giaprey Scale;1;Iron Ore;3;Bird Wyvern Fang;3
Genprey Mail;1;2;0;0;1;1;10;0;1;0;0;-2;Paralysis;3;Thunder Atk;3;Poison;-3;;;;;Genprey Hide;3;Genprey Scale;2;Iron Ore;3;Bullfango Pelt;2
Genprey Vest;1;2;0;0;2;1;5;1;2;0;0;-2;Paralysis;3;Thunder Atk;3;Poison;-3;;;;;Genprey Hide;3;Genprey Scale;2;Iron Ore;3;Bullfango Pelt;2
Vespoid Mail;2;3;1;0;1;1;10;-2;1;2;1;1;Sheathing;2;;;;;;;;;Vespoid Shell;5;Machalite Ore;1;Carpenterbug;3;;
Vespoid Vest;2;3;1;0;2;1;5;-2;2;3;2;2;Sheathing;2;;;;;;;;;Vespoid Shell;5;Machalite Ore;1;Carpenterbug;3;;
Hornetaur Mail;1;3;0;0;1;1;10;-1;-1;4;-1;-1;Dragon Atk;4;Dragon Res;1;;;;;;;Hornetaur Wing;2;Hornetaur Shell;4;Disc Stone;3;Shiny Beetle;1
Hornetaur Vest;1;3;0;0;2;1;5;-1;-1;6;-1;-1;Dragon Atk;4;Dragon Res;1;;;;;;;Hornetaur Wing;2;Hornetaur Shell;4;Disc Stone;3;Shiny Beetle;1
Bnahabra Suit;1;3;1;0;1;1;10;-2;0;2;0;0;Status;2;Sharpness;2;Fire Res;-2;;;;;Bnahabra Shell;2;Bnahabra Wing;3;Monster Fluid;2;Shiny Beetle;1
Bnahabra Vest;1;3;1;0;2;1;5;-2;1;3;1;1;Status;2;Ammo Saver;2;Fire Res;-2;;;;;Bnahabra Shell;2;Bnahabra Wing;3;Monster Fluid;2;Shiny Beetle;1
Mosswine Vest;1;1;1;0;0;1;5;0;0;0;0;0;Gluttony;2;;;;;;;;;Mosswine Hide;1;Bullfango Pelt;2;Bulldrome Hide;1;Carpenterbug;1
Rhenoplos Mail;1;2;0;0;1;1;12;2;0;0;0;-2;Water Atk;3;Artillery;1;;;;;;;Rhenoplos Scalp;1;Rhenoplos Shell;2;Earth Crystal;2;;
Rhenoplos Vest;1;2;0;0;2;1;6;3;0;0;0;-2;Water Atk;3;Artillery;1;;;;;;;Rhenoplos Scalp;1;Rhenoplos Shell;2;Earth Crystal;2;;
Bulldrome Mail;1;2;1;0;1;1;12;0;-2;0;2;1;Potential;4;Protection;-4;;;;;;;Bulldrome Hide;4;Jumbo Bone;3;Machalite Ore;3;;
