english;spanish;french;italian;german;japanese;chinese
Leather Gloves;Guantes de cuero;Gants en cuir;Guanti di cuoio;Leder-Handschuhe;レザーグラブ;
Chainmail Gloves;Guantes de malla;Gants de mailles;Guanti di cotta;Ketten-Handschuhe;チェーングラブ;
Bherna Braces;Brazales de Bherna;Avant-bras Bherna;Parabr. Bherna;Bherna-Armschienen;ベルダーアーム;
Hunting Braces;Brazales de caza;Avant-bras Fauconnier;Parabraccia caccia;Jagd-Armschienen;ハントアーム;
Hunting Guards;Guardabr. de caza;Gardes Fauconnier;Protezioni caccia;Jagdarmschutz;ハントガード;
Mafumofu Mittens;Manoplas Mafumofu;Mitaines Mafumofu;Guanti Mafumofu;Mafumofu-Fäustlinge;マフモフミトン;
Yukumo Kote;Kote Yukumo;Kote Yukumo;Kote Yukumo;Yukumo-Kote;ユクモノコテ;
Hunter's Vambraces;Brazales de cazador;Avt-bras de chasseur;Parabr. cacciatore;Jäger-Armschienen;ハンターアーム;
Hunter's Guards;Guardabrazos cazador;Gardes de chasseur;Protez. cacciatore;Jäger-Armschutz;ハンターガード;
Bone Vambraces;Brazales de hueso;Avant-bras d'os;Parabraccia d'osso;Knochen-Armschienen;ボーンアーム;
Bone Guards;Guardabrazos hueso;Gardes d'os;Protezioni d'osso;Knochen-Armschutz;ボーンガード;
Trapper's Gauntlets;Guanteletes trampero;Gantelets de trappeur;Paramani trapper;Trapper-Armpanzer;狩人の革篭手;
Trapper's Gloves;Guantes de trampero;Gants de trappeur;Coprimano trapper;Trapper-Handschuhe;狩人の革手袋;
Maccao Gauntlets;Guanteletes Maccao;Gantelets Maccao;Guanti Maccao;Maccao-Armpanzer;跳狗竜の革篭手;
Maccao Gloves;Guantes de Maccao;Gants Maccao;Coprimano Maccao;Maccao-Handschuhe;跳狗竜の革手袋;
Jaggi Gauntlets;Guanteletes Jaggi;Gantelets Jaggi;Guanti Jaggi;Jaggi-Armpanzer;狗竜の革篭手;
Jaggi Gloves;Guantes de Jaggi;Gants Jaggi;Coprimano Jaggi;Jaggi-Handschuhe;狗竜の革手袋;
Jaggi Vambraces;Brazales de Jaggi;Avant-bras Jaggi;Parabraccia Jaggi;Jaggi-Armschienen;ジャギィアーム;
Jaggi Guards;Guardabrazos Jaggi;Gardes Jaggi;Protezioni Jaggi;Jaggi-Armschutz;ジャギィガード;
Maccao Braces;Brazales de Maccao;Avant-bras Maccao;Parabraccia Maccao;Maccao-Armschienen;マッカォアーム;
Maccao Guards;Guardabr. Maccao;Gardes Maccao;Protezioni Maccao;Maccao-Armschutz;マッカォガード;
Velociprey Braces;Brazales Velociprey;Avant-bras Velociprey;Parabr. Velociprey;VelocipreyArmschinen;ランポスアーム;
Velociprey Guards;Guardabr. Velociprey;Gardes Velociprey;Protez. Velociprey;Velociprey-Armschutz;ランポスガード;
Giaprey Vambraces;Brazales de Giaprey;Avant-bras Giaprey;Parabraccia Giaprey;Giaprey-Armschienen;ギアノスアーム;
Giaprey Guards;Guardabrazos Giaprey;Gardes Giaprey;Protezioni Giaprey;Giaprey-Armschutz;ギアノスガード;
Genprey Vambraces;Brazales de Genprey;Avant-bras Genprey;Parabraccia Genprey;Genprey-Armschienen;ゲネポスアーム;
Genprey Guards;Guardabrazos Genprey;Gardes Genprey;Protezioni Genprey;Genprey-Armschutz;ゲネポスガード;
Vespoid Vambraces;Brazales de Vespoid;Avant-bras Vespoid;Parabraccia Vespoid;Vespoid-Armschienen;ランゴアーム;
Vespoid Guards;Guardabrazos Vespoid;Gardes Vespoid;Protezioni Vespoid;Vespoid-Armschutz;ランゴガード;
Hornetaur Braces;Brazales Hornetaur;Avant-bras Hornet;Parabr. Hornetaur;HornetaurArmschienen;タロスアーム;
Hornetaur Guards;Guardab. Hornetaur;Gardes Hornet;Protezioni Hornetaur;Hornetaur-Armschutz;タロスガード;
Bnahabra Gloves;Guantes de Bnahabra;Gants Bnahabra;Guanti Bnahabra;Bnahabra-Handschuhe;ブナハグローブ;
Bnahabra Sleeves;Mangas de Bnahabra;Manches Bnahabra;Maniche Bnahabra;Bnahabra-Ärmel;ブナハカフス;
Konchu Braces;Brazales de Konchu;Avant-bras Konchu;Parabraccia Konchu;Konchu-Armschienen;クンチュウアーム;
Konchu Guards;Guardabr. de Konchu;Gardes Konchu;Protezioni Konchu;Konchu-Armschutz;クンチュウガード;
Mosswine Gloves;Brazales Mosswine;Poings Mosswine;Guanti Mosswine;Mosswine-Armschienen;モスパンチ;
Rhenoplos Vambraces;Brazales Rhenoplos;Avant-bras Rhenoplos;Parabr. Rhenoplos;RhenoplosArmschienen;リノプロアーム;
Rhenoplos Guards;Guardab. Rhenoplos;Gardes Rhenoplos;Protez. Rhenoplos;Rhenoplos-Armschutz;リノプロガード;
Bulldrome Braces;Brazales Bulldrome;Avant-bras Bulldrome;Parabr. Bulldrome;Bulldrome-Armschienen;ファンゴアーム;
Bulldrome Guards;Guardab. Bulldrome;Gardes Bulldrome;Protez. Bulldrome;Bulldrome-Armschutz;ファンゴガード;
Arzuros Vambraces;Brazales Arzuros;Avant-bras Arzuros;Parabraccia Arzuros;Arzuros-Armschienen;アシラアーム;
Arzuros Guards;Guardabrazos Arzuros;Gardes Arzuros;Protezioni Arzuros;Arzuros-Armschutz;アシラガード;
Cephalos Braces;Brazales de Cephalos;Avant-bras Cephalos;Parabraccia Cephalos;Cephalos-Armschienen;ガレオスアーム;
Cephalos Guards;Guardabr. Cephalos;Gardes Cephalos;Protezioni Cephalos;Cephalos-Armschutz;ガレオスガード;
