english;spanish;french;italian;german;japanese;chinese
Book of Combos 1;Libro combos 1;Alchimie, tome 1;Libro alchimia 1;Kombi-Buch 1;調合書①入門編;
Book of Combos 2;Libro combos 2;Alchimie, tome 2;Libro alchimia 2;Kombi-Buch 2;調合書②初級編;
Book of Combos 3;Libro combos 3;Alchimie, tome 3;Libro alchimia 3;Kombi-Buch 3;調合書③中級編;
Book of Combos 4;Libro combos 4;Alchimie, tome 4;Libro alchimia 4;Kombi-Buch 4;調合書④上級編;
Book of Combos 5;Libro combos 5;Alchimie, tome 5;Libro alchimia 5;Kombi-Buch 5;調合書⑤達人編;
Organizer Guide;Guía organizadora;Comment ranger, tome 1;Come organizzare 1;Organisierführer;収納上手・技の書;
Pack Rat Guide;Guía chamarilero;Comment ranger, tome 2;Come organizzare 2;Packführer;収納上手・力の書;
Binoculars;Prismáticos;Jumelles;Binocolo;Fernglas;双眼鏡;
Potion;Poción;Potion;Pozione;Trank;回復薬;
Mega Potion;Megapoción;Méga potion;Mega-pozione;Megatrank;回復薬グレート;
Nutrients;Nutrientes;Nutriments;Nutrienti;Nährstoffe;栄養剤;
Mega Nutrients;Meganutrientes;Méga nutriments;Mega-nutrienti;Mega-Nährstoffe;栄養剤グレート;
Antidote;Antídoto;Antidote;Antidoto;Gegengift;解毒薬;
Immunizer;Inmunizador;Immunisateur;Immunizzatore;Immunisierer;活力剤;
Dash Juice;Zumo de poder;Potion de vitalité;Supersucco;Sprintsaft;強走薬;
Mega Dash Juice;Megazumo;Potion de vitalité +;Mega-supersucco;Mega-Sprintsaft;強走薬グレート;
Demondrug;Droga demoníaca;Potion du démon;Mistura demoniaca;Dämonenmittel;鬼人薬;
Mega Demondrug;Megadroga demon.;Potion du démon +;Mistura demoniaca+;MegaDämonenmittel;鬼人薬グレート;
Might Pill;Píldora de poder;Philtre du diable;Pillola demoniaca;Machtpille;怪力の丸薬;
Armorskin;Piel de armadura;Potion de pierre;Mistura ferrosa;Panzerhaut;硬化薬;
Mega Armorskin;Piel de armadura+;Potion de pierre +;Mistura ferrosa+;Mega-Panzerhaut;硬化薬グレート;
Adamant Pill;Píldora armadura;Philtre de métal;Pillola ferrosa;Diamantpille;忍耐の丸薬;
