english;spanish;french;italian;german;japanese;chinese
Antidote Jwl 1;J. antídoto 1;Joy Poison 1;G veleno 1;GegengiftJwl1;耐毒珠【１】;
Antidote Jwl 2;J. antídoto 2;Joy Poison 2;G veleno 2;GegengiftJwl2;耐毒珠【２】;
Paralysis Jwl 1;J. inmóvil 1;Joy Paralysie 1;G paralisi 1;Lähm-Juwel 1;耐麻珠【１】;
Paralysis Jwl 2;J. inmóvil 2;Joy Paralysie 2;G paralisi 2;Lähm-Juwel 2;耐麻珠【２】;
Pep Jwl 1;Joya sueño 1;Joy Sommeil 1;G sonno 1;Pepp-Juwel 1;耐眠珠【１】;
Pep Jwl 2;Joya sueño 2;Joy Sommeil 2;G sonno 2;Pepp-Juwel 2;耐眠珠【２】;
Steadfast Jwl 1;Joya firme 1;Joy Volonté 1;G stordim. 1;FelsenfestJwl1;耐絶珠【１】;
Standfast Jwl 1;J. rotunda 1;J Force d'esprit 1;G stordim. 1+;StandfestJwl1;制絶珠【１】;
Earplug Jwl 1;J. tapones 1;Joy Insonorisé 1;G udito 1;OhrstöpselJwl1;防音珠【１】;
Earplug Jwl 3;J. tapones 3;Joy Insonorisé 3;G udito 3;OhrstöpselJwl3;防音珠【３】;
Wind Res Jwl 1;J. res viento 1;Joy Vent 1;G vento 1;WindabwehrJwl1;防風珠【１】;
Wind Res Jwl 2;J. res viento 2;Joy Vent 2;G vento 2;WindabwehrJwl2;防風珠【２】;
Footing Jwl 1;Joya ancla 1;Joy Séisme 1;G antisism. 1;FundamentJwl1;耐震珠【１】;
Tectonic Jwl 1;J. sísmica 1;Joy Sismique 1;G antisism. 1+;TektonikJuwel1;抗震珠【１】;
Bind Jwl 1;J. res atr. 1;Joy Résistance 1;G vincolo 1;Binde-Juwel 1;耐達磨珠【１】;
Shackle Jwl 1;Joya grill. 1;Joy Entrave 1;G vincolo 1+;FesselJuwel 1;抗達磨珠【１】;
Heat Res Jwl 1;J. res calor 1;Joy Chaleur 1;G calore 1;HitzeabwehrJwl1;耐暑珠【１】;
Cold Res Jwl 1;J. res frío 1;Joy Froid 1;G freddo 1;KälteabwehrJwl1;耐寒珠【１】;
Polar Jwl 1;Joya polar 1;Joy Polaire 1;G polare 1;Polar-Juwel 1;北風珠【１】;
Solar Jwl 1;Joya solar 1;Joy Solaire 1;G solare 1;Solar-Juwel 1;南風珠【１】;
Safe Jwl 1;J. segura 1;Joy Sûreté 1;G anti-ladro 1+;Halte-Jwl 1;耐盗珠【１】;
Def Lock Jwl 1;J. bloqueo 1;Joy Assurance 1;G difesa OK 1;AbwhrsperJwl1;耐防珠【１】;
Sane Jwl 1;J. cordura 1;Joy Anti-furie 1;G antifrenesia 1;Vernunft-Juwel 1;抗狂珠【１】;
Sane Jwl 3;J. cordura 3;Joy Anti-furie 3;G antifrenesia 3;Vernunft-Juwel 3;抗狂珠【３】;
Biology Jwl 1;J. biólogo 1;Joy Biologie 1;G biologia 1;BiologieJwl1;菌学珠【１】;
Microbio Jwl 1;J. biólogo 1+;Joy Docteur 1;G biologia 1+;MikrobioJwl1;菌究珠【１】;
Staunch Jwl 1;J. torniq. 1;Joy Hémorragie 1;G emorragia 1;Stillung-Juwel 1;抗傷珠【１】;
Attack Jwl 1;J. ataque 1;Joy Attaque 1;G attacco 1;Angriff-Juwel 1;攻撃珠【１】;
Attack Jwl 2;J. ataque 2;Joy Attaque 2;G attacco 2;Angriff-Juwel 2;攻撃珠【２】;
Attack Jwl 3;J. ataque 3;Joy Attaque 3;G attacco 3;Angriff-Juwel 3;攻撃珠【３】;
Defense Jwl 1;J. defensa 1;Joy Défense 1;G difesa 1;VerteidigngJwl1;防御珠【１】;
