english;spanish;french;italian;german;japanese;chinese
Poison;Veneno;Poison;Veleno;Gift;毒;
Paralysis;Parálisis;Paralysie;Paralisi;Lähmung;麻痺;
Sleep;Sueño;Sommeil;Sonno;Schlaf;睡眠;
Stun;Aturdir;Volonté;Stordimento;Betäuben;気絶;
Hearing;Oído;Ouïe;Udito;Gehör;聴覚保護;
Wind Res;Res. viento;Vent;Vento;Windabwehr;風圧;
Tremor Res;Res. temblor;Anti-séisme;Antisismico;Bebenabw.;耐震;
Bind Res;Res. atrap.;Enlisement;Vincolo;Bindeabw.;だるま;
Heat Res;Res. calor;Chaleur;Calore;Hitzeabwehr;耐暑;
Cold Res;Res. frío;Froid;Freddo;Kälteabwehr;耐寒;
ColdBlooded;Sangre fría;Sang froid;Polare;Kälteschutz;寒冷適応;
HotBlooded;Apasionado;Sang chaud;Tropicale;Hitzeschutz;炎熱適応;
Anti-Theft;Antirrobo;Antivol;Anti-ladro;Anti-Dieb;盗み無効;
Def Lock;Piel dura;Assurance;Difesa OK;Abw.-Sperre;対防御DOWN;
Frenzy Res;Res. cólera;Anti-furie;Antifrenesia;Rasereiab.;狂撃耐性;
Biology;Biólogo;Biologie;Biologia;Biologie;細菌学;
Bleeding;Sangrado;Hémorragie;Emorragia;Blutung;裂傷;
Attack;Ataque;Attaque;Attacco;Angriff;攻撃;
Defense;Defensa;Défense;Difesa;Verteidig.;防御;
Health;Salud;Vie;Vita;Gesundheit;体力;
Fire Res;Res. fuego;Ignifuge;Ignifugo;Feuerabw.;火耐性;
Water Res;Res. agua;Étanche;Acquatico;Wasserabw.;水耐性;
Thunder Res;Res. rayo;Isolant;Isolante;Donnerabw.;雷耐性;
Ice Res;Res. hielo;Antigel;Antigelo;Eisabwehr;氷耐性;
Dragon Res;Res. draco;Draconien;Antidrago;Drachenab.;龍耐性;
Blight Res;Res. plaga;Fléau;Res elem.;Brandabw.;属性耐性;
Fire Atk;Atq. fuego;Feu;Att. fuoco;Feuerangriff;火属性攻撃;
Water Atk;Atq. agua;Eau;Att. acqua;Wasseran.;水属性攻撃;
