name;hr;village;slots;gender;type;rarity;defense;fire;thunder;dragon;water;ice;skill_one;skill_one_points;skill_two;skill_two_points;skill_three;skill_three_points;skill_four;skill_four_points;skill_five;skill_five_points;material_one;amount_one;material_two;amount_two;material_three;amount_three;material_four;amount_four
Leather Headgear;1;1;1;0;0;1;1;0;0;0;0;0;Whim;2;;;;;;;;;Warm Pelt;1;Iron Ore;1;;;;
Chainmail Headgear;1;1;3;0;0;1;2;0;1;0;0;0;;;;;;;;;;;Earth Crystal;1;Iron Ore;1;;;;
Bherna Turban;1;1;1;0;0;1;2;0;0;0;1;0;Protection;3;;;;;;;;;Warm Pelt;2;Ivy;2;;;;
Hunting Helm;1;1;1;0;0;1;2;1;0;0;0;0;Psychic;3;;;;;;;;;Iron Ore;1;Earth Crystal;2;;;;
Hunting Cap;1;1;1;0;0;1;1;2;0;0;0;0;Psychic;4;;;;;;;;;Iron Ore;1;Earth Crystal;2;;;;
Mafumofu Hood;1;1;2;0;0;1;2;-1;0;0;0;2;Cold Res;1;;;;;;;;;Warm Pelt;2;Anteka Antler;2;;;;
Yukumo Kasa;1;1;1;0;0;1;2;0;1;0;0;0;Expert;2;;;;;;;;;Yukumo Wood;1;Gargwa Feather;1;;;;
Hunter's Helm;1;1;0;0;0;1;6;0;0;0;0;0;Ranger;3;Speed Setup;2;;;;;;;Bullfango Pelt;1;Machalite Ore;1;Iron Ore;3;;
Hunter's Cap;1;1;0;0;0;1;3;0;0;0;0;0;Ranger;3;Speed Setup;3;;;;;;;Bullfango Pelt;1;Machalite Ore;1;Iron Ore;3;;
Bone Helm;1;1;1;0;0;1;6;0;0;0;0;-1;KO;4;;;;;;;;;Unknown Skull;1;Sharp Fang;2;Giaprey Scale;1;;
Bone Cap;1;1;1;0;0;1;3;0;0;0;0;-1;KO;5;;;;;;;;;Unknown Skull;1;Sharp Fang;2;Giaprey Scale;1;;
Chaoshroom;1;1;1;0;0;1;6;2;0;0;-2;0;Status;3;;;;;;;;;Chaos Mushroom;1;Parashroom;4;Toadstool;4;Godbug;3
Chaos Diadem;1;1;1;0;0;1;3;2;0;0;-2;0;Status;4;;;;;;;;;Chaos Mushroom;1;Parashroom;4;Toadstool;4;Godbug;3
Jaggi Helm;1;1;0;0;0;1;6;-2;0;0;0;0;Attack;3;Fire Atk;1;Defense;-2;;;;;Jaggi Scale;3;Jaggi Hide;3;Bird Wyvern Fang;5;Disc Stone;2
Jaggi Cap;1;1;0;0;0;1;3;-2;0;0;0;0;Attack;3;Fire Atk;2;Defense;-2;;;;;Jaggi Scale;3;Jaggi Hide;3;Bird Wyvern Fang;5;Disc Stone;2
Maccao Helm;1;1;1;0;0;1;8;-2;0;0;0;0;Vault;3;;;;;;;;;Great Maccao Scale;3;Champion's Crest;1;Earth Crystal;2;;
Maccao Cap;1;1;1;0;0;1;4;-2;1;1;1;1;Vault;4;;;;;;;;;Great Maccao Scale;3;Champion's Crest;1;Earth Crystal;2;;
Velociprey Helm;1;2;1;0;0;1;8;0;0;0;0;-2;Stun;3;Paralysis;-3;;;;;;;Velocidrome Hide;3;Velocidrome Claw;1;Velociprey Scale;2;Carpenterbug;2
Velociprey Cap;1;2;1;0;0;1;4;0;1;0;1;-2;Stun;4;Paralysis;-3;;;;;;;Velocidrome Hide;3;Velocidrome Claw;1;Velociprey Scale;2;Carpenterbug;2
Giaprey Helm;1;2;0;0;0;1;8;0;-1;0;0;2;Bind Res;3;Ice Atk;3;Sleep;-3;;;;;Giaprey Scale;2;Giaprey Hide;2;Iron Ore;3;Anteka Antler;1
Giaprey Cap;1;2;0;0;0;1;4;0;-1;0;0;3;Bind Res;4;Ice Atk;3;Sleep;-3;;;;;Giaprey Scale;2;Giaprey Hide;2;Iron Ore;3;Anteka Antler;1
