english;spanish;french;italian;german;japanese;chinese
Leather Headgear;Cubrecabeza de cuero;Coiffe en cuir;Copricapo di cuoio;Leder-Kopfbedeckung;レザーヘッド;
Chainmail Headgear;Cubrecabeza de malla;Coiffe de mailles;Copricapo di cotta;Ketten-Kopfbedeckung;チェーンヘッド;
Bherna Turban;Turbante de Bherna;Turban Bherna;Turbante Bherna;Bherna-Turban;ベルダーターバン;
Hunting Helm;Casco de caza;Heaume Fauconnier;Elmo caccia;Jagdhelm;ハントヘルム;
Hunting Cap;Gorra de caza;Calot Fauconnier;Cappello caccia;Jagdkappe;ハントキャップ;
Mafumofu Hood;Capucha Mafumofu;Capuchon Mafumofu;Cappuccio Mafumofu;Mafumofu-Kapuze;マフモフフード;
Yukumo Kasa;Kasa Yukumo;Kasa Yukumo;Kasa Yukumo;Yukumo-Kasa;ユクモノカサ;
Hunter's Helm;Casco de cazador;Heaume de chasseur;Elmo cacciatore;Jäger-Helm;ハンターヘルム;
Hunter's Cap;Gorro de cazador;Calot de chasseur;Cappello cacciatore;Jäger-Kappe;ハンターキャップ;
Bone Helm;Casco de hueso;Heaume d'os;Elmo d'osso;Knochen-Helm;ボーンヘルム;
Bone Cap;Gorro de hueso;Calot d'os;Cappello d'osso;Knochen-Kappe;ボーンキャップ;
Chaoshroom;Seta del caos;Chaospignon;Fungo del caos;Chaospilz;混沌のパオ;
Chaos Diadem;Diadema del caos;Diadème du chaos;Diadema del caos;Chaos-Diadem;混沌のヅァン;
Jaggi Helm;Casco de Jaggi;Heaume Jaggi;Elmo Jaggi;Jaggi-Helm;ジャギィヘルム;
Jaggi Cap;Gorro de Jaggi;Calot Jaggi;Cappello Jaggi;Jaggi-Kappe;ジャギィキャップ;
Maccao Helm;Casco de Maccao;Heaume Maccao;Elmo Maccao;Maccao-Helm;マッカォヘルム;
Maccao Cap;Gorra de Maccao;Calot Maccao;Cappello Maccao;Maccao-Kappe;マッカォキャップ;
Velociprey Helm;Casco de Velociprey;Heaume Velociprey;Elmo Velociprey;Velociprey-Helm;ランポスヘルム;
Velociprey Cap;Gorro de Velociprey;Calot Velociprey;Cappello Velociprey;Velociprey-Kappe;ランポスキャップ;
Giaprey Helm;Casco de Giaprey;Heaume Giaprey;Elmo Giaprey;Giaprey-Helm;ギアノスヘルム;
Giaprey Cap;Gorro de Giaprey;Calot Giaprey;Cappello Giaprey;Giaprey-Kappe;ギアノスキャップ;
Genprey Helm;Casco de Genprey;Heaume Genprey;Elmo Genprey;Genprey-Helm;ゲネポスヘルム;
Genprey Cap;Gorro de Genprey;Calot Genprey;Cappello Genprey;Genprey-Kappe;ゲネポスキャップ;
Vespoid Helm;Casco de Vespoid;Heaume Vespoid;Elmo Vespoid;Vespoid-Helm;ランゴヘルム;
Vespoid Cap;Gorro de Vespoid;Calot Vespoid;Cappello Vespoid;Vespoid-Kappe;ランゴキャップ;
Hornetaur Helm;Casco de Hornetaur;Heaume Hornet;Elmo Hornetaur;Hornetaur-Helm;タロスヘルム;
Hornetaur Cap;Gorro de Hornetaur;Calot Hornet;Cappello Hornetaur;Hornetaur-Kappe;タロスキャップ;
Bnahabra Hat;Sombrero de Bnahabra;Chapeau Bnahabra;Copricapo Bnahabra;Bnahabra-Hut;ブナハハット;
Bnahabra Headpiece;Tocado de Bnahabra;Calot Bnahabra;Tiara Bnahabra;Bnahabra-Haube;ブナハキャップ;
Konchu Helm;Casco de Konchu;Heaume Konchu;Elmo Konchu;Konchu-Helm;クンチュウヘルム;
Konchu Cap;Gorro de Konchu;Calot Konchu;Cappello Konchu;Konchu-Kappe;クンチュウキャップ;
Mosswine Mask;Máscara Mosswine;Masque Mosswine;Maschera Mosswine;Mosswine-Maske;モスフェイク;
Rhenoplos Helm;Casco de Rhenoplos;Heaume Rhenoplos;Elmo Rhenoplos;Rhenoplos-Helm;リノプロヘルム;
Rhenoplos Cap;Gorro de Rhenoplos;Calot Rhenoplos;Cappello Rhenoplos;Rhenoplos-Kappe;リノプロキャップ;
Bulldrome Helm;Casco de Bulldrome;Heaume Bulldrome;Elmo Bulldrome;Bulldrome-Helm;ファンゴヘルム;
Bulldrome Cap;Gorro de Bulldrome;Calot Bulldrome;Capp. Bulldrome;Bulldrome-Kappe;ファンゴキャップ;
Bullfango Mask;Máscara de Bullfango;Masque Bullfango;Maschera Bullfango;Bullfango-Maske;ブルファンゴフェイク;
Arzuros Helm;Casco de Arzuros;Heaume Arzuros;Elmo Arzuros;Arzuros-Helm;アシラヘルム;
Arzuros Cap;Gorro de Arzuros;Calot Arzuros;Cappello Arzuros;Arzuros-Kappe;アシラキャップ;
Cephalos Helm;Casco de Cephalos;Heaume Cephalos;Elmo Cephalos;Cephalos-Helm;ガレオスヘルム;
Cephalos Cap;Gorro de Cephalos;Calot Cephalos;Cappello Cephalos;Cephalos-Kappe;ガレオスキャップ;
Derring Headgear;Cubrecabeza valeroso;Coiffe de bravoure;Copricapo ardito;WagemutKopfbedeckung;ブレイブヘッド;
Alloy Helm;Casco de aleación;Heaume en alliage;Elmo in lega;Legierungs-Helm;アロイヘルム;
Alloy Cap;Gorro de aleación;Calot en alliage;Cappello in lega;Legierungs-Kappe;アロイキャップ;
Battle Helm;Casco de combate;Heaume de combat;Elmo da battaglia;Kampf-Helm;バトルヘルム;
Battle Cap;Gorro de combate;Calot de combat;Capp. da battaglia;Kampf-Kappe;バトルキャップ;
Ingot Helm;Casco de lingote;Heaume en lingot;Elmo lingotto;Guss-Helm;インゴットヘルム;
Ingot Cap;Gorro de lingote;Calot en lingot;Cappello lingotto;Guss-Kappe;インゴットキャップ;
High Metal Helm;Casco de megametal;Heaume haut-métal;Elmo Hi-Metal;Hochmetall-Helm;ハイメタヘルム;
High Metal Cap;Gorro de megametal;Calot haut-métal;Cappello Hi-Metal;Hochmetall-Kappe;ハイメタキャップ;
Melahoa Hat;Sombrero Melahoa;Coiffe Melahoa;Cappello Melahoa;Melahoa-Hut;メルホアフロール;
Melahoa Bloom;Flor Melahoa;Fleur Melahoa;Fiore Melahoa;Melahoa-Blüte;メルホアブルーメ;
Makluva Hood;Capucha Makluva;Capuchon Makluva;Cappuccio Makluva;Makluva-Kapuze;マカルパフード;
Makluva Gills;Agallas Makluva;Branchies Makluva;Branchie Makluva;Makluva-Kiemen;マカルパブランシ;
Bistro Toque;Sombrero de chef;Toque de bistro;Toque Bistrò;Bistro-Haube;ビストロトック;
Bistro Cap;Gorro de chef;Calot de bistro;Cappello Bistrò;Bistro-Kappe;ビストロキャップ;
Obituary Vertex;Vértice de obituario;Vertex Nécrologie;Testa Necrologio;Todes-Vertex;オウビートテスタ;
Obituary Clypeus;Clípeo de obituario;Clypeus Nécrologie;Caput Necrologio;Todes-Clypeus;オウビートカプト;
Butterfly Vertex;Vértice de mariposa;Vertex Papillon;Testa farfalla;Schmetterling-Vertex;パピメルテスタ;
