english;spanish;french;italian;german;japanese;chinese
Leather Belt;Cinturón de cuero;Ceinture en cuir;Cintura di cuoio;Leder-Gürtel;レザーベルト;
Chainmail Belt;Cinturón de malla;Ceinture de mailles;Cintura di cotta;Ketten-Gürtel;チェーンベルト;
Bherna Belt;Cinturón de Bherna;Ceinture Bherna;Cintura Bherna;Bherna-Gürtel;ベルダーベルト;
Hunting Faulds;Muslera de caza;Tassette Fauconnier;Cintura caccia;Jagd-Beinzeug;ハントフォールド;
Hunting Coat;Cota de caza;Taille Fauconnier;Fiancale caccia;Jagdwaffenrock;ハントコート;
Mafumofu Coat;Cota Mafumofu;Taille Mafumofu;Fiancale Mafumofu;Mafumofu-Waffenrock;マフモフコート;
Yukumo Obi;Obi Yukumo;Obi Yukumo;Obi Yukumo;Yukumo-Obi;ユクモノオビ;
Loc Lac Kilt;Falda de Loc Lac;Kilt Loc Lac;Kilt Loc Lac;Loc-Lac-Kilt;ロックラックコイル;
Hunter's Faulds;Muslera de cazador;Tassette de chasseur;Falda cacciatore;Jäger-Beinzeug;ハンターフォールド;
Hunter's Coat;Cota de cazador;Taille de chasseur;Fiancale cacciatore;Jäger-Waffenrock;ハンターコート;
Bone Faulds;Muslera de hueso;Tassette d'os;Falda d'osso;Knochen-Beinzeug;ボーンフォールド;
Bone Coat;Cota de hueso;Taille d'os;Fiancale d'osso;Knochen-Waffenrock;ボーンコート;
Light Belt;Cinturón ligero;Ceinture légère;Cintura leggera;Leichter Gürtel;スキンライトベルト;
Iron Belt;Cinturón de hierro;Ceinture de fer;Cintura di ferro;Eisengürtel;アイアンベルト;
Jaggi Faulds;Muslera de Jaggi;Tassette Jaggi;Falda Jaggi;Jaggi-Beinzeug;ジャギィフォールド;
Jaggi Coat;Cota de Jaggi;Taille Jaggi;Fiancale Jaggi;Jaggi-Waffenrock;ジャギィコート;
Maccao Faulds;Muslera de Maccao;Tassette Maccao;Falda Maccao;Maccao-Beinzeug;マッカォフォールド;
Maccao Coat;Cota de Maccao;Taille Maccao;Fiancale Maccao;Maccao-Waffenrock;マッカォコート;
Velociprey Tassets;Muslera Velociprey;Tassette Velociprey;Falda Velociprey;Velociprey-Beinzeug;ランポスフォールド;
Velociprey Coat;Cota de Velociprey;Taille Velociprey;Fiancale Velociprey;VelocipreyWaffenrock;ランポスコート;
Giaprey Tassets;Muslera de Giaprey;Tassette Giaprey;Falda Giaprey;Giaprey-Beinzeug;ギアノスフォールド;
Giaprey Coat;Cota de Giaprey;Taille Giaprey;Fiancale Giaprey;Giaprey-Waffenrock;ギアノスコート;
Genprey Tassets;Muslera de Genprey;Tassette Genprey;Falda Genprey;Genprey-Beinzeug;ゲネポスフォールド;
Genprey Coat;Cota de Genprey;Taille Genprey;Fiancale Genprey;Genprey-Waffenrock;ゲネポスコート;
Vespoid Tassets;Muslera de Vespoid;Tassette Vespoid;Falda Vespoid;Vespoid-Beinzeug;ランゴフォールド;
Vespoid Coat;Cota de Vespoid;Taille Vespoid;Fiancale Vespoid;Vespoid-Waffenrock;ランゴコート;
Hornetaur Tassets;Muslera de Hornetaur;Tassette Hornet;Falda Hornetaur;Hornetaur-Beinzeug;タロスフォールド;
Hornetaur Coat;Cota de Hornetaur;Taille Hornet;Fiancale Hornetaur;Hornetaur-Waffenrock;タロスコート;
