name;hr;village;slots;gender;type;rarity;defense;fire;thunder;dragon;water;ice;skill_one;skill_one_points;skill_two;skill_two_points;skill_three;skill_three_points;skill_four;skill_four_points;skill_five;skill_five_points;material_one;amount_one;material_two;amount_two;material_three;amount_three;material_four;amount_four
レザーグラブ;1;1;1;0;0;1;1;0;0;0;0;0;気まぐれ;3;;;;;;;;;暖かい毛皮;2;;;;;;
チェーングラブ;1;1;1;0;0;1;2;0;1;0;0;0;体力;2;;;;;;;;;鉄鉱石;1;砥石;2;;;;
ベルダーアーム;1;1;1;0;0;1;2;0;0;0;1;0;加護;2;;;;;;;;;暖かい毛皮;1;セッチャクロアリ;2;;;;
ハントアーム;-1;2;0;0;1;1;2;1;0;0;0;0;千里眼;5;;;;;;;;;鉄鉱石;2;暖かい毛皮;1;;;;
ハントガード;-1;2;0;0;2;1;1;2;0;0;0;0;千里眼;4;;;;;;;;;鉄鉱石;2;暖かい毛皮;1;;;;
マフモフミトン;-1;2;2;0;0;1;2;-1;0;0;0;2;耐寒;2;;;;;;;;;暖かい毛皮;2;ガウシカの角;2;;;;
ユクモノコテ;-1;2;1;0;0;1;2;0;1;0;0;0;達人;2;回避性能;1;;;;;;;ユクモの木;2;ツタの葉;1;;;;
ハンターアーム;1;1;1;0;1;1;6;0;0;0;0;0;高速設置;3;;;;;;;;;ファンゴの毛皮;1;大地の結晶;1;ツタの葉;3;;
ハンターガード;1;1;1;0;2;1;3;0;0;0;0;0;高速設置;2;;;;;;;;;ファンゴの毛皮;1;大地の結晶;1;ツタの葉;3;;
ボーンアーム;1;1;2;0;1;1;6;0;0;0;0;-1;KO;2;;;;;;;;;獣骨;3;とがった爪;2;マッカォの鱗;1;;
ボーンガード;1;1;2;0;2;1;3;0;0;0;0;-1;KO;2;;;;;;;;;獣骨;3;とがった爪;2;マッカォの鱗;1;;
狩人の革篭手;1;2;1;0;1;1;6;0;0;0;1;0;野草知識;3;;;;;;;;;ガウシカの角;2;暖かい毛皮;3;鉄鉱石;1;;
狩人の革手袋;1;2;1;0;2;1;3;0;0;0;1;0;野草知識;3;;;;;;;;;ガウシカの角;2;暖かい毛皮;3;鉄鉱石;1;;
跳狗竜の革篭手;1;1;0;0;1;1;6;0;1;0;0;0;減気攻撃;4;;;;;;;;;マッカォの皮;3;マッカォの鱗;1;ツタの葉;2;;
跳狗竜の革手袋;1;1;0;0;2;1;3;0;1;0;0;0;減気攻撃;4;;;;;;;;;マッカォの皮;3;マッカォの鱗;1;ツタの葉;2;;
狗竜の革篭手;1;1;0;0;1;1;6;0;0;0;0;1;達人;4;;;;;;;;;ジャギィの皮;3;ジャギィの鱗;1;鉄鉱石;2;;
狗竜の革手袋;1;1;0;0;2;1;3;0;0;0;0;1;達人;4;;;;;;;;;ジャギィの皮;3;ジャギィの鱗;1;鉄鉱石;2;;
ジャギィアーム;1;2;1;0;1;1;6;-2;0;0;0;0;火属性攻撃;3;;;;;;;;;ジャギィの鱗;3;竜骨【小】;4;キラビートル;2;大地の結晶;2
ジャギィガード;1;2;1;0;2;1;3;-2;0;0;0;0;火属性攻撃;2;;;;;;;;;ジャギィの鱗;3;竜骨【小】;4;キラビートル;2;大地の結晶;2
マッカォアーム;1;2;2;0;1;1;8;-2;0;0;0;0;跳躍;1;;;;;;;;;マッカォの鱗;4;マッカォの皮;3;キラビートル;1;;
マッカォガード;1;2;2;0;2;1;4;-2;1;1;1;1;跳躍;1;;;;;;;;;マッカォの鱗;4;マッカォの皮;3;キラビートル;1;;
ランポスアーム;1;2;1;0;1;1;8;0;0;0;0;-2;水属性攻撃;4;;;;;;;;;ランポスの大爪;2;ランポスの大皮;3;ランポスの鱗;2;大地の結晶;3
ランポスガード;1;2;1;0;2;1;4;0;1;0;1;-2;水属性攻撃;4;;;;;;;;;ランポスの大爪;2;ランポスの大皮;3;ランポスの鱗;2;大地の結晶;3
ギアノスアーム;1;2;1;0;1;1;8;0;-1;0;0;2;だるま;2;睡眠;-2;;;;;;;ギアノスの鱗;2;ギアノスの皮;2;円盤石;1;暖かい毛皮;1
ギアノスガード;1;2;1;0;2;1;4;0;-1;0;0;3;だるま;2;睡眠;-2;;;;;;;ギアノスの鱗;2;ギアノスの皮;2;円盤石;1;暖かい毛皮;1
ゲネポスアーム;1;2;1;0;1;1;10;0;1;0;0;-2;麻痺;3;毒;-3;;;;;;;ゲネポスの大皮;2;ゲネポスの大牙;2;鉄鉱石;2;ゲネポスの麻痺牙;5
ゲネポスガード;1;2;1;0;2;1;5;1;2;0;0;-2;麻痺;3;毒;-3;;;;;;;ゲネポスの大皮;2;ゲネポスの大牙;2;鉄鉱石;2;ゲネポスの麻痺牙;5
ランゴアーム;2;3;1;0;1;1;10;-2;1;2;1;1;納刀;3;;;;;;;;;ランゴスタの羽;3;鉄鉱石;3;大地の結晶;2;;
