name;hr;village;slots;gender;type;rarity;defense;fire;thunder;dragon;water;ice;skill_one;skill_one_points;skill_two;skill_two_points;skill_three;skill_three_points;skill_four;skill_four_points;skill_five;skill_five_points;material_one;amount_one;material_two;amount_two;material_three;amount_three;material_four;amount_four
レザーベスト;1;1;0;0;0;1;1;0;0;0;0;0;気まぐれ;5;;;;;;;;;首鳴竜の皮;1;竜骨【小】;1;;;;
チェーンベスト;1;1;1;0;0;1;2;0;1;0;0;0;体力;3;;;;;;;;;鉄鉱石;2;暖かい毛皮;1;;;;
ベルダーメイル;1;1;1;0;0;1;2;0;0;0;1;0;加護;2;;;;;;;;;暖かい毛皮;1;鉄鉱石;2;;;;
ハントメイル;-1;3;0;0;1;1;2;1;0;0;0;0;千里眼;2;;;;;;;;;鉄鉱石;2;イーオスの鱗;1;;;;
ハントレジスト;-1;3;0;0;2;1;1;2;0;0;0;0;千里眼;2;;;;;;;;;鉄鉱石;2;イーオスの鱗;1;;;;
マフモフジャケット;-1;2;0;0;0;1;2;-1;0;0;0;2;耐寒;6;;;;;;;;;暖かい毛皮;2;ブランゴの毛;1;;;;
ユクモノドウギ;-1;2;0;0;0;1;2;0;1;0;0;0;達人;4;回避性能;2;;;;;;;ユクモの木;2;ツタの葉;2;;;;
ロックラックスーツ;1;1;1;0;0;1;2;1;0;2;0;0;運搬;3;耐暑;1;;;;;;;甲虫の腹袋;1;ジャギィの皮;3;大地の結晶;2;;
ハンターメイル;1;1;1;0;1;1;6;0;0;0;0;0;高速設置;2;;;;;;;;;ファンゴの毛皮;1;ジャギィの鱗;1;鉄鉱石;2;;
ハンターレジスト;1;1;1;0;2;1;3;0;0;0;0;0;高速設置;2;;;;;;;;;ファンゴの毛皮;1;ジャギィの鱗;1;鉄鉱石;2;;
ボーンメイル;1;1;0;0;1;1;6;0;0;0;0;-1;笛;4;KO;2;;;;;;;大きな骨;1;なぞの骨;2;マッカォの皮;1;;
ボーンレジスト;1;1;0;0;2;1;3;0;0;0;0;-1;笛;4;KO;2;;;;;;;大きな骨;1;なぞの骨;2;マッカォの皮;1;;
混沌のカイ;1;2;2;0;1;1;6;2;0;0;-2;0;特殊攻撃;2;;;;;;;;;混沌茸;1;マヒダケ;4;毒テングダケ;4;不死虫;3
混沌のイー;1;2;2;0;2;1;3;2;0;0;-2;0;特殊攻撃;1;;;;;;;;;混沌茸;1;マヒダケ;4;毒テングダケ;4;不死虫;3
ジャギィメイル;1;2;0;0;1;1;6;-2;0;0;0;0;攻撃;3;防御;-2;;;;;;;ジャギィの皮;4;鳥竜種の牙;3;キラビートル;2;鉄鉱石;3
ジャギィレジスト;1;2;0;0;2;1;3;-2;0;0;0;0;攻撃;3;防御;-2;;;;;;;ジャギィの皮;4;鳥竜種の牙;3;キラビートル;2;鉄鉱石;3
マッカォメイル;1;2;0;0;1;1;8;-2;0;0;0;0;跳躍;4;減気攻撃;1;;;;;;;跳狗竜の鱗;3;跳狗竜の赤皮;2;鉄鉱石;4;;
マッカォレジスト;1;2;0;0;2;1;4;-2;1;1;1;1;跳躍;4;減気攻撃;1;;;;;;;跳狗竜の鱗;3;跳狗竜の赤皮;2;鉄鉱石;4;;
ランポスメイル;1;2;0;0;1;1;8;0;0;0;0;-2;気絶;4;麻痺;-4;;;;;;;ランポスの大爪;2;鳴き袋;2;ランポスの皮;3;セッチャクロアリ;2
ランポスレジスト;1;2;0;0;2;1;4;0;1;0;1;-2;気絶;4;麻痺;-4;;;;;;;ランポスの大爪;2;鳴き袋;2;ランポスの皮;3;セッチャクロアリ;2
ギアノスメイル;1;2;0;0;1;1;8;0;-1;0;0;2;氷属性攻撃;5;;;;;;;;;ギアノスの皮;3;ギアノスの鱗;1;鉄鉱石;3;鳥竜種の牙;3
ギアノスレジスト;1;2;0;0;2;1;4;0;-1;0;0;3;氷属性攻撃;5;;;;;;;;;ギアノスの皮;3;ギアノスの鱗;1;鉄鉱石;3;鳥竜種の牙;3
ゲネポスメイル;1;2;0;0;1;1;10;0;1;0;0;-2;麻痺;3;雷属性攻撃;3;毒;-3;;;;;ゲネポスの皮;3;ゲネポスの鱗;2;鉄鉱石;3;ファンゴの毛皮;2
ゲネポスレジスト;1;2;0;0;2;1;5;1;2;0;0;-2;麻痺;3;雷属性攻撃;3;毒;-3;;;;;ゲネポスの皮;3;ゲネポスの鱗;2;鉄鉱石;3;ファンゴの毛皮;2
ランゴメイル;2;3;1;0;1;1;10;-2;1;2;1;1;納刀;2;;;;;;;;;ランゴスタの甲殻;5;マカライト鉱石;1;セッチャクロアリ;3;;
ランゴレジスト;2;3;1;0;2;1;5;-2;2;3;2;2;納刀;2;;;;;;;;;ランゴスタの甲殻;5;マカライト鉱石;1;セッチャクロアリ;3;;
タロスメイル;1;3;0;0;1;1;10;-1;-1;4;-1;-1;龍属性攻撃;4;龍耐性;1;;;;;;;カンタロスの羽;2;カンタロスの甲殻;4;円盤石;3;キラビートル;1
タロスレジスト;1;3;0;0;2;1;5;-1;-1;6;-1;-1;龍属性攻撃;4;龍耐性;1;;;;;;;カンタロスの羽;2;カンタロスの甲殻;4;円盤石;3;キラビートル;1
ブナハスーツ;1;2;1;0;1;1;10;-2;0;2;0;0;特殊攻撃;2;斬れ味;2;火耐性;-2;;;;;飛甲虫の甲殻;2;飛甲虫の羽;3;モンスターの体液;2;キラビートル;1
ブナハベスト;1;2;1;0;2;1;5;-2;1;3;1;1;特殊攻撃;2;弾薬節約;2;火耐性;-2;;;;;飛甲虫の甲殻;2;飛甲虫の羽;3;モンスターの体液;2;キラビートル;1
モスブレスト;1;2;1;0;0;1;5;0;0;0;0;0;食いしん坊;2;;;;;;;;;モスの苔皮;1;ファンゴの毛皮;2;大猪の皮;1;セッチャクロアリ;1
リノプロメイル;1;2;0;0;1;1;12;2;0;0;0;-2;水属性攻撃;3;砲術;1;;;;;;;草食竜の頭殻;1;草食竜の甲殻;2;大地の結晶;2;;
リノプロレジスト;1;2;0;0;2;1;6;3;0;0;0;-2;水属性攻撃;3;砲術;1;;;;;;;草食竜の頭殻;1;草食竜の甲殻;2;大地の結晶;2;;
ファンゴメイル;1;2;1;0;1;1;12;0;-2;0;2;1;底力;4;加護;-4;;;;;;;大猪の皮;4;大きな骨;3;マカライト鉱石;3;;
ファンゴレジスト;1;2;1;0;2;1;6;0;-2;0;3;1;底力;4;加護;-4;;;;;;;大猪の皮;4;大きな骨;3;マカライト鉱石;3;;
アシラメイル;2;2;0;0;1;1;14;-2;-2;0;0;0;防御;2;ハチミツ;2;攻撃;-2;;;;;青熊獣の毛;3;青熊獣の甲殻;1;飛甲虫の甲殻;2;キラビートル;2
アシラレジスト;2;2;0;0;2;1;7;-2;-2;0;0;0;防御;2;ハチミツ;2;攻撃;-2;;;;;青熊獣の毛;3;青熊獣の甲殻;1;飛甲虫の甲殻;2;キラビートル;2
ガレオスメイル;1;2;1;0;1;1;14;2;0;0;0;-3;水属性攻撃;4;;;;;;;;;砂竜のヒレ;2;砂竜の鱗;3;砂竜の牙;1;マカライト鉱石;1
ガレオスレジスト;1;2;1;0;2;1;7;2;0;0;0;-3;水属性攻撃;4;;;;;;;;;砂竜のヒレ;2;砂竜の鱗;3;砂竜の牙;1;マカライト鉱石;1
ブレイブベスト;-1;4;1;0;0;2;8;0;0;0;0;0;乗り;3;;;;;;;;;ベルナチケット;1;ドラグライト鉱石;2;暖かい毛皮;1;ランポスの皮;2
アロイメイル;2;3;1;0;1;2;12;-1;-1;0;0;-1;研ぎ師;2;;;;;;;;;ライトクリスタル;1;マカライト鉱石;3;鉄鉱石;2;;
アロイレジスト;2;3;1;0;2;2;6;-1;-1;0;0;-1;装填速度;2;;;;;;;;;ライトクリスタル;1;マカライト鉱石;3;鉄鉱石;2;;
バトルメイル;3;4;2;0;1;2;12;1;-1;0;-1;0;ガード性能;2;;;;;;;;;翼蛇竜の皮;2;暖かい毛皮;2;ゲネポスの鱗;5;大地の結晶;3
バトルレジスト;3;4;2;0;2;2;6;2;-1;0;-1;0;反動;2;;;;;;;;;翼蛇竜の皮;2;暖かい毛皮;2;ゲネポスの鱗;5;大地の結晶;3
インゴットメイル;3;4;1;0;1;2;14;-1;1;0;-1;0;風圧;4;氷属性攻撃;1;運気;-2;;;;;ドラグライト鉱石;4;紅蓮石;1;鉄鉱石;8;ベアライト石;3
インゴットレジスト;3;4;1;0;2;2;7;-1;2;0;-1;0;風圧;4;氷属性攻撃;1;運気;-2;;;;;ドラグライト鉱石;4;紅蓮石;1;鉄鉱石;8;ベアライト石;3
ハイメタメイル;3;4;0;0;1;2;14;0;2;0;-1;-1;雷耐性;4;聴覚保護;1;;;;;;;ドラグライト鉱石;2;マカライト鉱石;4;鉄鉱石;3;マッカォの皮;2
ハイメタレジスト;3;4;0;0;2;2;7;0;3;0;-1;-1;雷耐性;4;聴覚保護;1;;;;;;;ドラグライト鉱石;2;マカライト鉱石;4;鉄鉱石;3;マッカォの皮;2
メルホアトロンコ;1;3;0;0;1;2;12;0;1;0;1;0;採取;2;;;;;;;;;ドスビスカス;1;ライトクリスタル;1;不死虫;5;ツタの葉;3
メルホアシュタム;1;3;0;0;2;2;6;0;1;0;1;0;採取;2;;;;;;;;;ドスビスカス;1;ライトクリスタル;1;不死虫;5;ツタの葉;3
マカルパペプラム;1;2;1;0;1;2;14;1;-2;0;2;0;効果持続;2;調合成功率;2;;;;;;;春夜鯉;1;砂竜の鱗;4;ハレツアロワナ;10;調合書①入門編;1
マカルパエカイユ;1;2;1;0;2;2;7;1;-2;0;3;0;効果持続;2;調合成功率;2;;;;;;;春夜鯉;1;砂竜の鱗;4;ハレツアロワナ;10;調合書①入門編;1
ビストロスーツ;2;3;1;0;1;2;12;3;0;0;1;2;食事;2;回復量;-1;;;;;;;ビストロチケット;1;ブヨブヨした皮;3;ホットミート;10;;
ビストロベスト;2;3;1;0;2;2;6;4;0;0;1;3;食事;2;回復量;-1;;;;;;;ビストロチケット;1;ブヨブヨした皮;3;ホットミート;10;;
オウビートペット;2;4;2;1;1;2;18;2;2;3;-2;-2;体術;1;;;;;;;;;オオツノアゲハ;1;ベアライト石;1;キラビートル;5;毒袋;2
オウビートペクトス;2;4;2;1;2;2;9;3;2;4;-2;-2;体術;1;;;;;;;;;オオツノアゲハ;1;ベアライト石;1;キラビートル;5;毒袋;2
パピメルペット;2;4;2;2;1;2;18;2;2;3;-2;-2;体術;1;;;;;;;;;オオツノアゲハ;1;ベアライト石;1;キラビートル;5;毒袋;2
パピメルペクトス;2;4;2;2;2;2;9;3;2;4;-2;-2;体術;1;;;;;;;;;オオツノアゲハ;1;ベアライト石;1;キラビートル;5;毒袋;2
デスギアムスケル;2;3;1;0;1;2;16;2;1;0;1;-1;龍属性攻撃;3;;;;;;;;;禍々しい布;1;イーオスの紫鱗;3;なぞの頭骨;3;セッチャクロアリ;2
デスギアケミュート;2;3;1;0;2;2;8;3;1;0;1;-1;龍属性攻撃;3;;;;;;;;;禍々しい布;1;イーオスの紫鱗;3;なぞの頭骨;3;セッチャクロアリ;2
どんぐりメイル;2;3;0;0;1;2;16;2;0;0;2;-2;采配;4;砲術;3;;;;;;;オトモチケット;1;ベアライト石;4;カクサンの実;5;マタタビ;5
どんぐりレジスト;2;3;0;0;2;2;8;3;0;0;3;-2;砲術;3;采配;3;;;;;;;オトモチケット;1;ベアライト石;4;カクサンの実;5;マタタビ;5
マギュルトロンコ;2;3;0;1;1;2;14;-3;0;0;1;2;溜め短縮;3;火属性攻撃;2;体術;-3;;;;;ペピポパンプキン;1;アルビノエキス;2;カクサンの実;10;落陽草の根;10
マギュルシュタム;2;3;0;1;2;2;7;-3;0;0;2;3;溜め短縮;3;火属性攻撃;2;体術;-3;;;;;ペピポパンプキン;1;アルビノエキス;2;カクサンの実;10;落陽草の根;10
エーデルトロンコ;1;3;0;0;1;2;14;-1;-1;0;3;0;広域;3;;;;;;;;;星見の花;1;水袋;1;ネンチャク草;8;ユクモの木;1
エーデルシュタム;1;3;0;0;2;2;7;-1;-1;0;4;0;広域;3;;;;;;;;;星見の花;1;水袋;1;ネンチャク草;8;ユクモの木;1
スカルダペット;1;1;0;1;1;2;18;3;-1;3;-1;-1;達人;5;;;;;;;;;毒クモリ;1;ランゴスタの羽;3;毒袋;2;キラビートル;3
スカルダペクトス;1;1;0;1;2;2;9;4;-1;3;-1;-1;達人;5;;;;;;;;;毒クモリ;1;ランゴスタの羽;3;毒袋;2;キラビートル;3
スパイオペット;1;1;0;2;1;2;18;3;-1;3;-1;-1;達人;5;;;;;;;;;毒クモリ;1;ランゴスタの羽;3;毒袋;2;キラビートル;3
スパイオペクトス;1;1;0;2;2;2;9;4;-1;3;-1;-1;達人;5;;;;;;;;;毒クモリ;1;ランゴスタの羽;3;毒袋;2;キラビートル;3
ドロスメイル;1;2;0;0;1;2;12;-2;-1;0;4;0;節食;3;;;;;;;;;水生獣の皮;4;未熟な海綿質;3;暖かい毛皮;3;セッチャクロアリ;3
ドロスレジスト;1;2;0;0;2;2;6;-2;-1;0;5;0;節食;3;;;;;;;;;水生獣の皮;4;未熟な海綿質;3;暖かい毛皮;3;セッチャクロアリ;3
コトルメイル;3;4;1;0;1;2;14;4;0;0;-2;-1;ガード強化;3;;;;;;;;;溶岩獣の鱗;4;ドラグライト鉱石;2;キラビートル;5;暖かい毛皮;2
コトルレジスト;3;4;1;0;2;2;7;5;0;0;-2;-1;変則射撃;3;;;;;;;;;溶岩獣の鱗;4;ドラグライト鉱石;2;キラビートル;5;暖かい毛皮;2
ムーファスーツ;1;3;0;0;1;2;14;-1;2;0;0;3;耐寒;3;雷属性攻撃;2;;;;;;;雲羊鹿の角;1;雲羊鹿の毛玉;2;とがった牙;3;;
ムーファジャケット;1;3;0;0;2;2;7;-1;3;0;0;4;耐寒;3;雷属性攻撃;2;;;;;;;雲羊鹿の角;1;雲羊鹿の毛玉;2;とがった牙;3;;
