name;hr;village;slots;gender;type;rarity;defense;fire;thunder;dragon;water;ice;skill_one;skill_one_points;skill_two;skill_two_points;skill_three;skill_three_points;skill_four;skill_four_points;skill_five;skill_five_points;material_one;amount_one;material_two;amount_two;material_three;amount_three;material_four;amount_four
レザーヘッド;1;1;1;0;0;1;1;0;0;0;0;0;気まぐれ;2;;;;;;;;;暖かい毛皮;1;鉄鉱石;1;;;;
チェーンヘッド;1;1;3;0;0;1;2;0;1;0;0;0;;;;;;;;;;;大地の結晶;1;鉄鉱石;1;;;;
ベルダーターバン;1;1;1;0;0;1;2;0;0;0;1;0;加護;3;;;;;;;;;暖かい毛皮;2;ツタの葉;2;;;;
ハントヘルム;-1;2;1;0;0;1;2;1;0;0;0;0;千里眼;3;;;;;;;;;鉄鉱石;1;大地の結晶;2;;;;
ハントキャップ;-1;2;1;0;0;1;1;2;0;0;0;0;千里眼;4;;;;;;;;;鉄鉱石;1;大地の結晶;2;;;;
マフモフフード;-1;2;2;0;0;1;2;-1;0;0;0;2;耐寒;1;;;;;;;;;暖かい毛皮;2;ガウシカの角;2;;;;
ユクモノカサ;-1;2;1;0;0;1;2;0;1;0;0;0;達人;2;;;;;;;;;ユクモの木;1;丸鳥の羽;1;;;;
ハンターヘルム;1;1;0;0;0;1;6;0;0;0;0;0;狩人;3;高速設置;2;;;;;;;ファンゴの毛皮;1;マカライト鉱石;1;鉄鉱石;3;;
ハンターキャップ;1;1;0;0;0;1;3;0;0;0;0;0;狩人;3;高速設置;3;;;;;;;ファンゴの毛皮;1;マカライト鉱石;1;鉄鉱石;3;;
ボーンヘルム;1;1;1;0;0;1;6;0;0;0;0;-1;KO;4;;;;;;;;;なぞの頭骨;1;とがった牙;2;ギアノスの鱗;1;;
ボーンキャップ;1;1;1;0;0;1;3;0;0;0;0;-1;KO;5;;;;;;;;;なぞの頭骨;1;とがった牙;2;ギアノスの鱗;1;;
混沌のパオ;1;2;1;0;0;1;6;2;0;0;-2;0;特殊攻撃;3;;;;;;;;;混沌茸;1;マヒダケ;4;毒テングダケ;4;不死虫;3
混沌のヅァン;1;2;1;0;0;1;3;2;0;0;-2;0;特殊攻撃;4;;;;;;;;;混沌茸;1;マヒダケ;4;毒テングダケ;4;不死虫;3
ジャギィヘルム;1;2;0;0;0;1;6;-2;0;0;0;0;攻撃;3;火属性攻撃;1;防御;-2;;;;;ジャギィの鱗;3;ジャギィの皮;3;鳥竜種の牙;5;円盤石;2
ジャギィキャップ;1;2;0;0;0;1;3;-2;0;0;0;0;攻撃;3;火属性攻撃;2;防御;-2;;;;;ジャギィの鱗;3;ジャギィの皮;3;鳥竜種の牙;5;円盤石;2
マッカォヘルム;1;2;1;0;0;1;8;-2;0;0;0;0;跳躍;3;;;;;;;;;跳狗竜の鱗;3;王者の冠羽;1;大地の結晶;2;;
マッカォキャップ;1;2;1;0;0;1;4;-2;1;1;1;1;跳躍;4;;;;;;;;;跳狗竜の鱗;3;王者の冠羽;1;大地の結晶;2;;
ランポスヘルム;1;2;1;0;0;1;8;0;0;0;0;-2;気絶;3;麻痺;-3;;;;;;;ランポスの大皮;3;ランポスの大爪;1;ランポスの鱗;2;セッチャクロアリ;2
ランポスキャップ;1;2;1;0;0;1;4;0;1;0;1;-2;気絶;4;麻痺;-3;;;;;;;ランポスの大皮;3;ランポスの大爪;1;ランポスの鱗;2;セッチャクロアリ;2
ギアノスヘルム;1;2;0;0;0;1;8;0;-1;0;0;2;だるま;3;氷属性攻撃;3;睡眠;-3;;;;;ギアノスの鱗;2;ギアノスの皮;2;鉄鉱石;3;ガウシカの角;1
ギアノスキャップ;1;2;0;0;0;1;4;0;-1;0;0;3;だるま;4;氷属性攻撃;3;睡眠;-3;;;;;ギアノスの鱗;2;ギアノスの皮;2;鉄鉱石;3;ガウシカの角;1
ゲネポスヘルム;1;2;2;0;0;1;10;0;1;0;0;-2;麻痺;2;毒;-2;;;;;;;ゲネポスの大皮;2;ゲネポスの大牙;2;鉄鉱石;4;竜骨【小】;2
ゲネポスキャップ;1;2;2;0;0;1;5;1;2;0;0;-2;麻痺;3;毒;-2;;;;;;;ゲネポスの大皮;2;ゲネポスの大牙;2;鉄鉱石;4;竜骨【小】;2
ランゴヘルム;2;3;2;0;0;1;10;-2;1;2;1;1;特殊攻撃;1;属性攻撃;-2;;;;;;;ランゴスタの羽;3;鉄鉱石;4;セッチャクロアリ;2;;
ランゴキャップ;2;3;2;0;0;1;5;-2;2;3;2;2;特殊攻撃;2;属性攻撃;-2;;;;;;;ランゴスタの羽;3;鉄鉱石;4;セッチャクロアリ;2;;
タロスヘルム;1;3;1;0;0;1;10;-1;-1;4;-1;-1;龍属性攻撃;3;;;;;;;;;カンタロスの頭;1;カンタロスの甲殻;4;セッチャクロアリ;3;モンスターの体液;1
タロスキャップ;1;3;1;0;0;1;5;-1;-1;6;-1;-1;龍属性攻撃;4;;;;;;;;;カンタロスの頭;1;カンタロスの甲殻;4;セッチャクロアリ;3;モンスターの体液;1
ブナハハット;1;2;1;0;0;1;10;-2;0;2;0;0;斬れ味;1;火耐性;-2;;;;;;;飛甲虫の甲殻;2;飛甲虫の羽;3;キラビートル;1;セッチャクロアリ;2
ブナハキャップ;1;2;1;0;0;1;5;-2;1;3;1;1;弾薬節約;1;火耐性;-2;;;;;;;飛甲虫の甲殻;2;飛甲虫の羽;3;キラビートル;1;セッチャクロアリ;2
クンチュウヘルム;1;3;2;0;0;1;12;0;1;1;1;1;ガード性能;2;体術;-2;;;;;;;盾虫の甲殻;4;とがった牙;5;マカライト鉱石;1;セッチャクロアリ;1
クンチュウキャップ;1;3;2;0;0;1;6;0;2;2;2;2;精密射撃;2;体術;-2;;;;;;;盾虫の甲殻;4;とがった牙;5;マカライト鉱石;1;セッチャクロアリ;1
モスフェイク;1;2;1;0;0;1;5;0;0;0;0;0;食いしん坊;6;;;;;;;;;モスの苔皮;1;ファンゴの毛皮;3;セッチャクロアリ;2;;
リノプロヘルム;1;2;0;0;0;1;12;2;0;0;0;-2;砲術;5;;;;;;;;;草食竜の頭殻;1;草食竜の甲殻;2;氷結晶;2;;
リノプロキャップ;1;2;0;0;0;1;6;3;0;0;0;-2;砲術;6;;;;;;;;;草食竜の頭殻;1;草食竜の甲殻;2;氷結晶;2;;
ファンゴヘルム;1;2;1;0;0;1;12;0;-2;0;2;1;底力;3;攻撃;2;加護;-3;;;;;大猪の牙;2;ファンゴの毛皮;4;鉄鉱石;5;;
ファンゴキャップ;1;2;1;0;0;1;6;0;-2;0;3;1;攻撃;3;底力;3;加護;-3;;;;;大猪の牙;2;ファンゴの毛皮;4;鉄鉱石;5;;
ブルファンゴフェイク;1;2;0;0;0;1;8;0;-2;0;4;0;底力;7;加護;-3;;;;;;;ファンゴの頭;1;大猪の皮;3;大猪の牙;6;竜骨【中】;2
アシラヘルム;2;2;2;0;0;1;14;-2;-2;0;0;0;ハチミツ;3;;;;;;;;;青熊獣の甲殻;2;青熊獣の毛;2;大きな骨;2;セッチャクロアリ;3
アシラキャップ;2;2;2;0;0;1;7;-2;-2;0;0;0;ハチミツ;4;;;;;;;;;青熊獣の甲殻;2;青熊獣の毛;2;大きな骨;2;セッチャクロアリ;3
ガレオスヘルム;1;2;1;0;0;1;14;2;0;0;0;-3;耐暑;2;水属性攻撃;2;耐寒;-2;;;;;砂竜のヒレ;2;砂竜の鱗;2;砂竜の牙;2;マカライト鉱石;2
ガレオスキャップ;1;2;1;0;0;1;7;2;0;0;0;-3;水属性攻撃;3;耐暑;2;耐寒;-2;;;;;砂竜のヒレ;2;砂竜の鱗;2;砂竜の牙;2;マカライト鉱石;2
