english;spanish;french;italian;german;japanese;chinese
Leather Gloves;;;;;レザーグラブ;
Chainmail Gloves;;;;;チェーングラブ;
Bherna Braces;;;;;ベルダーアーム;
Hunting Braces;;;;;ハントアーム;
Hunting Guards;;;;;ハントガード;
Mafumofu Mittens;;;;;マフモフミトン;
Yukumo Kote;;;;;ユクモノコテ;
Hunter's Vambraces;;;;;ハンターアーム;
Hunter's Guards;;;;;ハンターガード;
Bone Vambraces;;;;;ボーンアーム;
Bone Guards;;;;;ボーンガード;
Trapper's Gauntlets;;;;;狩人の革篭手;
Trapper's Gloves;;;;;狩人の革手袋;
Maccao Gauntlets;;;;;跳狗竜の革篭手;
Maccao Gloves;;;;;跳狗竜の革手袋;
Jaggi Gauntlets;;;;;狗竜の革篭手;
Jaggi Gloves;;;;;狗竜の革手袋;
Jaggi Vambraces;;;;;ジャギィアーム;
Jaggi Guards;;;;;ジャギィガード;
Maccao Braces;;;;;マッカォアーム;
Maccao Guards;;;;;マッカォガード;
Velociprey Braces;;;;;ランポスアーム;
Velociprey Guards;;;;;ランポスガード;
Giaprey Vambraces;;;;;ギアノスアーム;
Giaprey Guards;;;;;ギアノスガード;
Genprey Vambraces;;;;;ゲネポスアーム;
Genprey Guards;;;;;ゲネポスガード;
Vespoid Vambraces;;;;;ランゴアーム;
Vespoid Guards;;;;;ランゴガード;
Hornetaur Braces;;;;;タロスアーム;
Hornetaur Guards;;;;;タロスガード;
Bnahabra Gloves;;;;;ブナハグローブ;
Bnahabra Sleeves;;;;;ブナハカフス;
Konchu Braces;;;;;クンチュウアーム;
Konchu Guards;;;;;クンチュウガード;
Mosswine Gloves;;;;;モスパンチ;
Rhenoplos Vambraces;;;;;リノプロアーム;
Rhenoplos Guards;;;;;リノプロガード;
Bulldrome Braces;;;;;ファンゴアーム;
Bulldrome Guards;;;;;ファンゴガード;
Arzuros Vambraces;;;;;アシラアーム;
Arzuros Guards;;;;;アシラガード;
Cephalos Braces;;;;;ガレオスアーム;
Cephalos Guards;;;;;ガレオスガード;
Derring Gloves;;;;;ブレイブグラブ;
Alloy Vambraces;;;;;アロイアーム;
Alloy Guards;;;;;アロイガード;
Battle Vambraces;;;;;バトルアーム;
Battle Guards;;;;;バトルガード;
Ingot Vambraces;;;;;インゴットアーム;
Ingot Guards;;;;;インゴットガード;
High Metal Braces;;;;;ハイメタアーム;
High Metal Guards;;;;;ハイメタガード;
Melahoa Branch;;;;;メルホアラーマ;
Melahoa Petal;;;;;メルホアアスト;
Makluva Sleeves;;;;;マカルパスリーブ;
Makluva Sucker;;;;;マカルパヴァント;
Obituary Brachia;;;;;オウビートマーノ;
Obituary Manus;;;;;オウビートブラッソ;
Butterfly Brachia;;;;;パピメルマーノ;
Butterfly Manus;;;;;パピメルブラッソ;
Death Stench Grip;;;;;デスギアファオスト;
Death Stench Grasp;;;;;デスギアベギアデ;
Mosgharl Creeper;;;;;マギュルラーマ;
Mosgharl Tendril;;;;;マギュルアスト;
Edel Creeper;;;;;エーデルラーマ;
Edel Tendril;;;;;エーデルアスト;
Skalda Brachia;;;;;スカルダマーノ;
Skalda Manus;;;;;スカルダブラッソ;
Spio Brachia;;;;;スパイオマーノ;
Spio Manus;;;;;スパイオブラッソ;
