english;spanish;french;italian;german;japanese;chinese
Book of Combos 1;;;;;調合書①入門編;
Book of Combos 2;;;;;調合書②初級編;
Book of Combos 3;;;;;調合書③中級編;
Book of Combos 4;;;;;調合書④上級編;
Book of Combos 5;;;;;調合書⑤達人編;
Organizer Guide;;;;;収納上手・技の書;
Pack Rat Guide;;;;;収納上手・力の書;
Binoculars;;;;;双眼鏡;
Potion;;;;;回復薬;
Mega Potion;;;;;回復薬グレート;
Nutrients;;;;;栄養剤;
Mega Nutrients;;;;;栄養剤グレート;
Antidote;;;;;解毒薬;
Immunizer;;;;;活力剤;
Dash Juice;;;;;強走薬;
Mega Dash Juice;;;;;強走薬グレート;
Demondrug;;;;;鬼人薬;
Mega Demondrug;;;;;鬼人薬グレート;
Might Pill;;;;;怪力の丸薬;
Armorskin;;;;;硬化薬;
Mega Armorskin;;;;;硬化薬グレート;
Adamant Pill;;;;;忍耐の丸薬;
Cool Drink;;;;;クーラードリンク;
Hot Drink;;;;;ホットドリンク;
Cleanser;;;;;消散剤;
Psychoserum;;;;;千里眼の薬;
Herbal Medicine;;;;;漢方薬;
Max Potion;;;;;秘薬;
Ancient Potion;;;;;いにしえの秘薬;
Energy Drink;;;;;元気ドリンコ;
Lifepowder;;;;;生命の粉塵;
Dust of Life;;;;;生命の大粉塵;
Hunter's Drink;;;;;狩技ドリンク;
Catalyst;;;;;増強剤;
Gunpowder;;;;;爆薬;
Lifecrystals;;;;;生命の粉;
Tranquilizer;;;;;捕獲用麻酔薬;
Yukumo Egg;;;;;ユクモ温泉たまご;
Tanzia Chips;;;;;タンジアチップス;
Powercharm;;;;;力の護符;
Powertalon;;;;;力の爪;
Armorcharm;;;;;守りの護符;
Armortalon;;;;;守りの爪;
BBQ Spit;;;;;肉焼きセット;
Raw Meat;;;;;生肉;
Poisoned Meat;;;;;毒生肉;
Tinged Meat;;;;;シビレ生肉;
Drugged Meat;;;;;眠り生肉;
Rare Steak;;;;;生焼け肉;
Well-done Steak;;;;;こんがり肉;
