english;spanish;french;italian;german;japanese;chinese
Antidote Jwl 1;;;;;耐毒珠【１】;
Antidote Jwl 2;;;;;耐毒珠【２】;
Paralysis Jwl 1;;;;;耐麻珠【１】;
Paralysis Jwl 2;;;;;耐麻珠【２】;
Pep Jwl 1;;;;;耐眠珠【１】;
Pep Jwl 2;;;;;耐眠珠【２】;
Steadfast Jwl 1;;;;;耐絶珠【１】;
Standfast Jwl 1;;;;;制絶珠【１】;
Earplug Jwl 1;;;;;防音珠【１】;
Earplug Jwl 3;;;;;防音珠【３】;
Wind Res Jwl 1;;;;;防風珠【１】;
Wind Res Jwl 2;;;;;防風珠【２】;
Footing Jwl 1;;;;;耐震珠【１】;
Tectonic Jwl 1;;;;;抗震珠【１】;
Bind Jwl 1;;;;;耐達磨珠【１】;
Shackle Jwl 1;;;;;抗達磨珠【１】;
Heat Res Jwl 1;;;;;耐暑珠【１】;
Cold Res Jwl 1;;;;;耐寒珠【１】;
Polar Jwl 1;;;;;北風珠【１】;
Polar Jwl 3;;;;;北風珠【３】;
Solar Jwl 1;;;;;南風珠【１】;
Solar Jwl 3;;;;;南風珠【３】;
Safe Jwl 1;;;;;耐盗珠【１】;
Def Lock Jwl 1;;;;;耐防珠【１】;
Sane Jwl 1;;;;;抗狂珠【１】;
Sane Jwl 3;;;;;抗狂珠【３】;
Biology Jwl 1;;;;;菌学珠【１】;
Microbio Jwl 1;;;;;菌究珠【１】;
Staunch Jwl 1;;;;;抗傷珠【１】;
Attack Jwl 1;;;;;攻撃珠【１】;
Attack Jwl 2;;;;;攻撃珠【２】;
Attack Jwl 3;;;;;攻撃珠【３】;
Defense Jwl 1;;;;;防御珠【１】;
Defense Jwl 2;;;;;防御珠【２】;
Vitality Jwl 1;;;;;体力珠【１】;
Fire Res Jwl 1;;;;;耐火珠【１】;
Nul-Fire Jwl 1;;;;;制火珠【１】;
Water Res Jwl 1;;;;;耐水珠【１】;
Nul-Water Jwl 1;;;;;制水珠【１】;
ThunderRes Jwl 1;;;;;耐雷珠【１】;
Nul-Thundr Jwl 1;;;;;制雷珠【１】;
Ice Res Jwl 1;;;;;耐氷珠【１】;
Nul-Ice Jwl 1;;;;;制氷珠【１】;
Dragon Res Jwl 1;;;;;耐龍珠【１】;
Nul-Dragon Jwl 1;;;;;制龍珠【１】;
Resistor Jwl 1;;;;;属耐珠【１】;
Resistor Jwl 3;;;;;属耐珠【３】;
Blaze Jwl 1;;;;;火炎珠【１】;
Blaze Jwl 2;;;;;火炎珠【２】;
Stream Jwl 1;;;;;流水珠【１】;
Stream Jwl 2;;;;;流水珠【２】;
Bolt Jwl 1;;;;;雷光珠【１】;
Bolt Jwl 2;;;;;雷光珠【２】;
Frost Jwl 1;;;;;氷結珠【１】;
Frost Jwl 2;;;;;氷結珠【２】;
Dragon Jwl 1;;;;;破龍珠【１】;
Dragon Jwl 2;;;;;破龍珠【２】;
Element Jwl 1;;;;;属攻珠【１】;
Element Jwl 3;;;;;属攻珠【３】;
Disabler Jwl 1;;;;;特攻珠【１】;
Disabler Jwl 2;;;;;特攻珠【２】;
Grinder Jwl 1;;;;;研磨珠【１】;
Handicraft Jwl 1;;;;;匠珠【１】;
Handicraft Jwl 3;;;;;匠珠【３】;
Razor Jwl 1;;;;;斬鉄珠【１】;
Razor Jwl 3;;;;;斬鉄珠【３】;
Fencer Jwl 1;;;;;剣豪珠【１】;
Fencer Jwl 3;;;;;剣豪珠【３】;
Sharp Jwl 1;;;;;剛刃珠【１】;
Sharp Jwl 3;;;;;剛刃珠【３】;
Blunt Jwl 1;;;;;鈍器珠【１】;
Blunt Jwl 2;;;;;鈍器珠【２】;
Draw Jwl 1;;;;;抜刀珠【１】;
Draw Jwl 2;;;;;抜刀珠【２】;
Gambit Jwl 1;;;;;抜打珠【１】;
Gambit Jwl 3;;;;;抜打珠【３】;
Sheath Jwl 1;;;;;速納珠【１】;
Sheath Jwl 2;;;;;速納珠【２】;
Razor Sheath Jwl 1;;;;;納研珠【１】;
Bladescale Jwl 1;;;;;刃鱗珠【１】;
Bladescale Jwl 3;;;;;刃鱗珠【３】;
Quickload Jwl 1;;;;;早填珠【１】;
Quickload Jwl 2;;;;;早填珠【２】;
Absorber Jwl 1;;;;;抑反珠【１】;
Absorber Jwl 3;;;;;抑反珠【３】;
Sniper Jwl 1;;;;;点射珠【１】;
Forceshot Jwl 1;;;;;強弾珠【１】;
Forceshot Jwl 3;;;;;強弾珠【３】;
Pierce Jwl 1;;;;;貫通珠【１】;
Pierce Jwl 3;;;;;貫通珠【３】;
Pellet Jwl 1;;;;;散弾珠【１】;
Pellet Jwl 3;;;;;散弾珠【３】;
Heavyshot Jwl 1;;;;;重弾珠【１】;
Heavyshot Jwl 3;;;;;重弾珠【３】;
ShotPlus Jwl 1;;;;;加弾珠【１】;
ShotPlus Jwl 2;;;;;加弾珠【２】;
PiercePlus Jwl 1;;;;;加貫珠【１】;
PelletPlus Jwl 1;;;;;加散珠【１】;
CragPlus Jwl 1;;;;;加榴珠【１】;
ClustPlus Jwl 1;;;;;加拡珠【１】;
ClustPlus Jwl 3;;;;;加拡珠【３】;
Poisoncoat Jwl 1;;;;;毒瓶珠【１】;
Paracoat Jwl 1;;;;;痺瓶珠【１】;
Paracoat Jwl 2;;;;;痺瓶珠【２】;
Sleep Jwl 1;;;;;眠瓶珠【１】;
Powercoat Jwl 1;;;;;強瓶珠【１】;
Powercoat Jwl 2;;;;;強瓶珠【２】;
