english;spanish;french;italian;german;japanese;chinese
Leather Headgear;;;;;レザーヘッド;
Chainmail Headgear;;;;;チェーンヘッド;
Bherna Turban;;;;;ベルダーターバン;
Hunting Helm;;;;;ハントヘルム;
Hunting Cap;;;;;ハントキャップ;
Mafumofu Hood;;;;;マフモフフード;
Yukumo Kasa;;;;;ユクモノカサ;
Hunter's Helm;;;;;ハンターヘルム;
Hunter's Cap;;;;;ハンターキャップ;
Bone Helm;;;;;ボーンヘルム;
Bone Cap;;;;;ボーンキャップ;
Chaoshroom;;;;;混沌のパオ;
Chaos Diadem;;;;;混沌のヅァン;
Jaggi Helm;;;;;ジャギィヘルム;
Jaggi Cap;;;;;ジャギィキャップ;
Maccao Helm;;;;;マッカォヘルム;
Maccao Cap;;;;;マッカォキャップ;
Velociprey Helm;;;;;ランポスヘルム;
Velociprey Cap;;;;;ランポスキャップ;
Giaprey Helm;;;;;ギアノスヘルム;
Giaprey Cap;;;;;ギアノスキャップ;
Genprey Helm;;;;;ゲネポスヘルム;
Genprey Cap;;;;;ゲネポスキャップ;
Vespoid Helm;;;;;ランゴヘルム;
Vespoid Cap;;;;;ランゴキャップ;
Hornetaur Helm;;;;;タロスヘルム;
Hornetaur Cap;;;;;タロスキャップ;
Bnahabra Hat;;;;;ブナハハット;
Bnahabra Headpiece;;;;;ブナハキャップ;
Konchu Helm;;;;;クンチュウヘルム;
Konchu Cap;;;;;クンチュウキャップ;
Mosswine Mask;;;;;モスフェイク;
Rhenoplos Helm;;;;;リノプロヘルム;
Rhenoplos Cap;;;;;リノプロキャップ;
Bulldrome Helm;;;;;ファンゴヘルム;
Bulldrome Cap;;;;;ファンゴキャップ;
Bullfango Mask;;;;;ブルファンゴフェイク;
Arzuros Helm;;;;;アシラヘルム;
Arzuros Cap;;;;;アシラキャップ;
Cephalos Helm;;;;;ガレオスヘルム;
Cephalos Cap;;;;;ガレオスキャップ;
Derring Headgear;;;;;ブレイブヘッド;
Alloy Helm;;;;;アロイヘルム;
Alloy Cap;;;;;アロイキャップ;
Battle Helm;;;;;バトルヘルム;
Battle Cap;;;;;バトルキャップ;
Ingot Helm;;;;;インゴットヘルム;
Ingot Cap;;;;;インゴットキャップ;
High Metal Helm;;;;;ハイメタヘルム;
High Metal Cap;;;;;ハイメタキャップ;
Melahoa Hat;;;;;メルホアフロール;
Melahoa Bloom;;;;;メルホアブルーメ;
Makluva Hood;;;;;マカルパフード;
Makluva Gills;;;;;マカルパブランシ;
Bistro Toque;;;;;ビストロトック;
Bistro Cap;;;;;ビストロキャップ;
Obituary Vertex;;;;;オウビートテスタ;
Obituary Clypeus;;;;;オウビートカプト;
Butterfly Vertex;;;;;パピメルテスタ;
Butterfly Clypeus;;;;;パピメルカプト;
Death Stench Brain;;;;;デスギアゲヒル;
Death Stench Soul;;;;;デスギアゼレ;
Acorn Helm;;;;;どんぐりヘルム;
Acorn Cap;;;;;どんぐりキャップ;
