english;spanish;french;italian;german;japanese;chinese
Poison;;;;;毒;
Paralysis;;;;;麻痺;
Sleep;;;;;睡眠;
Stun;;;;;気絶;
Hearing;;;;;聴覚保護;
Wind Res;;;;;風圧;
Tremor Res;;;;;耐震;
Bind Res;;;;;だるま;
Heat Res;;;;;耐暑;
Cold Res;;;;;耐寒;
ColdBlooded;;;;;寒冷適応;
HotBlooded;;;;;炎熱適応;
Anti-Theft;;;;;盗み無効;
Def Lock;;;;;対防御DOWN;
Frenzy Res;;;;;狂撃耐性;
Biology;;;;;細菌学;
Bleeding;;;;;裂傷;
Attack;;;;;攻撃;
Defense;;;;;防御;
Health;;;;;体力;
Fire Res;;;;;火耐性;
Water Res;;;;;水耐性;
Thunder Res;;;;;雷耐性;
Ice Res;;;;;氷耐性;
Dragon Res;;;;;龍耐性;
Blight Res;;;;;属性耐性;
Fire Atk;;;;;火属性攻撃;
Water Atk;;;;;水属性攻撃;
Thunder Atk;;;;;雷属性攻撃;
Ice Atk;;;;;氷属性攻撃;
Dragon Atk;;;;;龍属性攻撃;
Elemental;;;;;属性攻撃;
Status;;;;;特殊攻撃;
Sharpener;;;;;研ぎ師;
Handicraft;;;;;匠;
Sharpness;;;;;斬れ味;
Fencing;;;;;剣術;
Grinder;;;;;研磨術;
Blunt;;;;;鈍器;
Crit Draw;;;;;抜刀会心;
Punish Draw;;;;;抜刀減気;
Sheathing;;;;;納刀;
Sheathe Sharpen;;;;;納刀研磨;
Bladescale;;;;;刃鱗;
Reload Spd;;;;;装填速度;
Recoil;;;;;反動;
Precision;;;;;精密射撃;
Normal Up;;;;;通常弾強化;
Pierce Up;;;;;貫通弾強化;
Pellet Up;;;;;散弾強化;
Heavy Up;;;;;重撃弾強化;
Normal S+;;;;;通常弾追加;
Pierce S+;;;;;貫通弾追加;
Pellet S+;;;;;散弾追加;
Crag S+;;;;;榴弾追加;
Clust S+;;;;;拡散弾追加;
Poison C+;;;;;毒瓶追加;
Para C+;;;;;麻痺瓶追加;
Sleep C+;;;;;睡眠瓶追加;
Power C+;;;;;強撃瓶追加;
Elem C+;;;;;属強瓶追加;
C.Range C+;;;;;接撃瓶追加;
Exhaust C+;;;;;減気瓶追加;
Blast C+;;;;;爆破瓶追加;
Rapid Fire;;;;;速射;
Dead Eye;;;;;射法;
Loading;;;;;装填数;
Haphazard;;;;;変則射撃;
Ammo Saver;;;;;弾薬節約;
Expert;;;;;達人;
Tenderizer;;;;;痛撃;
Chain Crit;;;;;連撃;
Crit Status;;;;;特殊会心;
Crit Element;;;;;属性会心;
Critical Up;;;;;会心強化;
Negative Crit;;;;;裏会心;
FastCharge;;;;;溜め短縮;
Stamina;;;;;スタミナ;
Constitution;;;;;体術;
Stam Recov;;;;;気力回復;
Distance Runner;;;;;走行継続;
Evasion;;;;;回避性能;
Evade Dist;;;;;回避距離;
Bubble;;;;;泡沫;
Guard;;;;;ガード性能;
Guard Up;;;;;ガード強化;
KO;;;;;KO;
Stam Drain;;;;;減気攻撃;
Maestro;;;;;笛;
Artillery;;;;;砲術;
Destroyer;;;;;重撃;
Bomb Boost;;;;;爆弾強化;
Gloves Off;;;;;本気;
Spirit;;;;;闘魂;
Unscathed;;;;;無傷;
Chance;;;;;チャンス;
Dragon Spirit;;;;;龍気;
Potential;;;;;底力;
Survivor;;;;;逆境;
Furor;;;;;逆上;
Crisis;;;;;窮地;
Guts;;;;;根性;
Sense;;;;;気配;
Team Player;;;;;采配;
TeamLeader;;;;;号令;
Mounting;;;;;乗り;
Vault;;;;;跳躍;
Insight;;;;;無心;
Endurance;;;;;我慢;
Prolong SP;;;;;ＳＰ延長;
Psychic;;;;;千里眼;
Perception;;;;;観察眼;
Ranger;;;;;狩人;
Transporter;;;;;運搬;
Protection;;;;;加護;
Hero Shield;;;;;英雄の盾;
Rec Level;;;;;回復量;
Rec Speed;;;;;回復速度;
Lasting Pwr;;;;;効果持続;
Wide-Range;;;;;広域;
Hunger;;;;;腹減り;
Gluttony;;;;;食いしん坊;
Eating;;;;;食事;
Light Eater;;;;;節食;
Carnivore;;;;;肉食;
Mycology;;;;;茸食;
Botany;;;;;野草知識;
Combo Rate;;;;;調合成功率;
Combo Plus;;;;;調合数;
Speed Setup;;;;;高速設置;
Gathering;;;;;採取;
Honey;;;;;ハチミツ;
Charmer;;;;;護石王;
Whim;;;;;気まぐれ;
Fate;;;;;運気;
Carving;;;;;剥ぎ取り;
Capturer;;;;;捕獲;
Bherna;;;;;ベルナ;
Kokoto;;;;;ココット;
Pokke;;;;;ポッケ;
Yukumo;;;;;ユクモ;
Soaratorium;;;;;龍識船;
Flying Pub;;;;;飛行酒場;
Redhelm;;;;;紅兜;
