english;spanish;french;italian;german;japanese;chinese
Leather Belt;;;;;レザーベルト;
Chainmail Belt;;;;;チェーンベルト;
Bherna Belt;;;;;ベルダーベルト;
Hunting Faulds;;;;;ハントフォールド;
Hunting Coat;;;;;ハントコート;
Mafumofu Coat;;;;;マフモフコート;
Yukumo Obi;;;;;ユクモノオビ;
Loc Lac Kilt;;;;;ロックラックコイル;
Hunter's Faulds;;;;;ハンターフォールド;
Hunter's Coat;;;;;ハンターコート;
Bone Faulds;;;;;ボーンフォールド;
Bone Coat;;;;;ボーンコート;
Light Belt;;;;;スキンライトベルト;
Iron Belt;;;;;アイアンベルト;
Jaggi Faulds;;;;;ジャギィフォールド;
Jaggi Coat;;;;;ジャギィコート;
Maccao Faulds;;;;;マッカォフォールド;
Maccao Coat;;;;;マッカォコート;
Velociprey Tassets;;;;;ランポスフォールド;
Velociprey Coat;;;;;ランポスコート;
Giaprey Tassets;;;;;ギアノスフォールド;
Giaprey Coat;;;;;ギアノスコート;
Genprey Tassets;;;;;ゲネポスフォールド;
Genprey Coat;;;;;ゲネポスコート;
Vespoid Tassets;;;;;ランゴフォールド;
Vespoid Coat;;;;;ランゴコート;
Hornetaur Tassets;;;;;タロスフォールド;
Hornetaur Coat;;;;;タロスコート;
Bnahabra Coil;;;;;ブナハコイル;
Bnahabra Coat;;;;;ブナハコート;
Mosswine Hip;;;;;モスヒップ;
Rhenoplos Coil;;;;;リノプロコイル;
Rhenoplos Coat;;;;;リノプロコート;
Bulldrome Faulds;;;;;ファンゴフォールド;
Bulldrome Coat;;;;;ファンゴコート;
Arzuros Faulds;;;;;アシラフォールド;
Arzuros Coat;;;;;アシラコート;
Cephalos Tassets;;;;;ガレオスフォールド;
Cephalos Coat;;;;;ガレオスコート;
Derring Belt;;;;;ブレイブベルト;
Alloy Coil;;;;;アロイコイル;
Alloy Coat;;;;;アロイコート;
Battle Tassets;;;;;バトルフォールド;
Battle Coat;;;;;バトルコート;
Ingot Coil;;;;;インゴットコイル;
Ingot Coat;;;;;インゴットコート;
High Metal Tassets;;;;;ハイメタフォールド;
High Metal Coat;;;;;ハイメタコート;
Melahoa Folia;;;;;メルホアオッハ;
Melahoa Trunk;;;;;メルホアブラット;
Makluva Coil;;;;;マカルパコイル;
Makluva Fin;;;;;マカルパナジュワ;
Bistro Sarong;;;;;ビストロサロン;
Bistro Apron;;;;;ビストロエプロン;
Obituary Elytra;;;;;オウビートアンカ;
Obituary Alae;;;;;オウビートコクサ;
Butterfly Elytra;;;;;パピメルアンカ;
Butterfly Alae;;;;;パピメルコクサ;
Death Stench Bowels;;;;;デスギアナーベル;
Death Stench Belly;;;;;デスギアガイツ;
Mosgharl Folia;;;;;マギュルオッハ;
Mosgharl Fronds;;;;;マギュルブラット;
Edel Folia;;;;;エーデルオッハ;
Edel Fronds;;;;;エーデルブラット;
Skalda Elytra;;;;;スカルダアンカ;
Skalda Alae;;;;;スカルダコクサ;
Spio Elytra;;;;;スパイオアンカ;
Spio Alae;;;;;スパイオコクサ;
Droth Faulds;;;;;ドロスフォールド;
Droth Coat;;;;;ドロスコート;
Uroktor Tassets;;;;;コトルフォールド;
Uroktor Coat;;;;;コトルコート;
Moofah Coil;;;;;ムーファコイル;
Moofah Coat;;;;;ムーファコート;
Remobra Belt;;;;;ガブラスーツベルト;
Remobra Band;;;;;ガブラスーツバンド;
Ioprey Tassets;;;;;イーオスフォールド;
Ioprey Coat;;;;;イーオスコート;
Kut-Ku Tassets;;;;;クックフォールド;
Kut-Ku Coat;;;;;クックコート;
Lagombi Faulds;;;;;ウルクフォールド;
Lagombi Coat;;;;;ウルクコート;
Gypceros Tassets;;;;;ゲリョスフォールド;
Gypceros Coat;;;;;ゲリョスコート;
Tetsucabra Faulds;;;;;カブラフォールド;
Tetsucabra Coat;;;;;カブラコート;
Hermitaur Tassets;;;;;ザザミフォールド;
Hermitaur Coat;;;;;ザザミコート;
Volvidon Faulds;;;;;ラングロフォールド;
Volvidon Coat;;;;;ラングロコート;
Ludroth Faulds;;;;;ルドロスフォールド;
Ludroth Coat;;;;;ルドロスコート;
Malfestio Faulds;;;;;ホロロフォールド;
Malfestio Coat;;;;;ホロロコート;
Khezu Tassets;;;;;フルフルフォールド;
Khezu Coat;;;;;フルフルコート;
Rathian Faulds;;;;;レイアフォールド;
Rathian Coat;;;;;レイアコート;
Nibelsnarf Faulds;;;;;ハプルフォールド;
Nibelsnarf Coat;;;;;ハプルコート;
Blango Tassets;;;;;ブランゴフォールド;
Blango Coat;;;;;ブランゴコート;
Ceanataur Tassets;;;;;ギザミフォールド;
Ceanataur Coat;;;;;ギザミコート;
Najarala Faulds;;;;;ガララフォールド;
Najarala Coat;;;;;ガララコート;
Nargacuga Faulds;;;;;ナルガフォールド;
