name;hr;village;slots;gender;type;rarity;defense;fire;thunder;dragon;water;ice;skill_one;skill_one_points;skill_two;skill_two_points;skill_three;skill_three_points;skill_four;skill_four_points;skill_five;skill_five_points;material_one;amount_one;material_two;amount_two;material_three;amount_three;material_four;amount_four
Leather Trousers;1;1;1;0;0;1;1;0;0;0;0;0;Gathering;3;;;;;;;;;Larinoth Hide;2;;;;;;
Chainmail Trousers;1;1;0;0;0;1;2;0;1;0;0;0;Health;5;;;;;;;;;Iron Ore;2;Warm Pelt;2;;;;
Bherna Greaves;1;1;0;0;0;1;2;0;0;0;1;0;Protection;3;;;;;;;;;Warm Pelt;1;Iron Ore;2;;;;
Hunting Greaves;-1;2;2;0;1;1;2;1;0;0;0;0;Speed Setup;3;;;;;;;;;Iron Ore;2;Velociprey Hide;1;;;;
Hunting Leggings;-1;2;2;0;2;1;1;2;0;0;0;0;Speed Setup;3;;;;;;;;;Iron Ore;2;Velociprey Hide;1;;;;
Mafumofu Boots;-1;2;0;0;0;1;2;-1;0;0;0;2;Cold Res;4;;;;;;;;;Warm Pelt;2;Anteka Antler;2;;;;
Yukumo Hakama;-1;2;2;0;0;1;2;0;1;0;0;0;Evasion;2;;;;;;;;;Yukumo Wood;2;Carpenterbug;2;;;;
Loc Lac Boots;1;1;0;0;0;1;2;1;0;2;0;0;Transporter;4;Heat Res;1;;;;;;;Altaroth Jaw;3;Monster Fluid;2;Earth Crystal;2;;
Hunter's Greaves;1;1;2;0;1;1;6;0;0;0;0;0;Ranger;1;;;;;;;;;Bullfango Pelt;1;Jaggi Hide;2;Monster Bone S;2;;
Hunter's Leggings;1;1;2;0;2;1;3;0;0;0;0;0;Ranger;1;;;;;;;;;Bullfango Pelt;1;Jaggi Hide;2;Monster Bone S;2;;
Bone Greaves;1;1;0;0;1;1;6;0;0;0;0;-1;Maestro;6;;;;;;;;;Monster Bone M;2;Mystery Bone;2;Velociprey Hide;1;;
Bone Leggings;1;1;0;0;2;1;3;0;0;0;0;-1;Maestro;6;;;;;;;;;Monster Bone M;2;Mystery Bone;2;Velociprey Hide;1;;
Trapper's Greaves;1;2;0;0;1;1;6;0;0;0;1;0;Botany;5;;;;;;;;;Anteka Antler;1;Warm Pelt;4;Iron Ore;1;;
Trapper's Boots;1;2;0;0;2;1;3;0;0;0;1;0;Botany;5;;;;;;;;;Anteka Antler;1;Warm Pelt;4;Iron Ore;1;;
Maccao Shinguards;1;1;2;0;1;1;6;0;1;0;0;0;Stam Drain;3;;;;;;;;;Maccao Hide;3;Maccao Scale;1;Bird Wyvern Fang;4;;
Maccao Boots;1;1;2;0;2;1;3;0;1;0;0;0;Stam Drain;3;;;;;;;;;Maccao Hide;3;Maccao Scale;1;Bird Wyvern Fang;4;;
Jaggi Shinguards;1;1;2;0;1;1;6;0;0;0;0;1;Expert;3;;;;;;;;;Jaggi Hide;3;Jaggi Scale;1;Bird Wyvern Fang;4;;
Jaggi Boots;1;1;2;0;2;1;3;0;0;0;0;1;Expert;3;;;;;;;;;Jaggi Hide;3;Jaggi Scale;1;Bird Wyvern Fang;4;;
