name;hr;village;slots;gender;type;rarity;defense;fire;thunder;dragon;water;ice;skill_one;skill_one_points;skill_two;skill_two_points;skill_three;skill_three_points;skill_four;skill_four_points;skill_five;skill_five_points;material_one;amount_one;material_two;amount_two;material_three;amount_three;material_four;amount_four
レザーベルト;1;1;2;0;0;1;1;0;0;0;0;0;採取;2;;;;;;;;;暖かい毛皮;1;鉄鉱石;1;;;;
チェーンベルト;1;1;1;0;0;1;2;0;1;0;0;0;野草知識;2;;;;;;;;;鉄鉱石;1;暖かい毛皮;2;;;;
ベルダーベルト;1;1;1;0;0;1;2;0;0;0;1;0;笛;6;;;;;;;;;暖かい毛皮;1;セッチャクロアリ;2;;;;
ハントフォールド;-1;2;1;0;1;1;2;1;0;0;0;0;高速設置;3;;;;;;;;;鉄鉱石;1;暖かい毛皮;2;;;;
ハントコート;-1;2;1;0;2;1;1;2;0;0;0;0;高速設置;3;;;;;;;;;鉄鉱石;1;暖かい毛皮;2;;;;
マフモフコート;-1;2;1;0;0;1;2;-1;0;0;0;2;耐寒;2;;;;;;;;;暖かい毛皮;2;ギアノスの皮;1;;;;
ユクモノオビ;-1;2;1;0;0;1;2;0;1;0;0;0;達人;2;;;;;;;;;ユクモの木;1;鉄鉱石;2;;;;
ロックラックコイル;1;1;0;0;0;1;2;1;0;2;0;0;運搬;3;耐暑;2;;;;;;;甲虫の腹袋;2;ジャギィの鱗;3;大地の結晶;2;;
ハンターフォールド;1;1;1;0;1;1;6;0;0;0;0;0;狩人;6;;;;;;;;;ファンゴの毛皮;3;鉄鉱石;1;セッチャクロアリ;1;;
ハンターコート;1;1;1;0;2;1;3;0;0;0;0;0;狩人;6;;;;;;;;;ファンゴの毛皮;3;鉄鉱石;1;セッチャクロアリ;1;;
ボーンフォールド;1;1;2;0;1;1;6;0;0;0;0;-1;KO;2;;;;;;;;;獣骨;3;なぞの骨;2;ブランゴの毛;1;;
ボーンコート;1;1;2;0;2;1;3;0;0;0;0;-1;KO;1;;;;;;;;;獣骨;3;なぞの骨;2;ブランゴの毛;1;;
スキンライトベルト;1;1;1;0;0;1;5;0;0;0;0;0;睡眠;8;;;;;;;;;暖かい毛皮;2;甲虫の腹袋;3;;;;
アイアンベルト;1;1;1;0;0;1;5;0;3;0;0;0;対防御DOWN;8;;;;;;;;;鉄鉱石;2;暖かい毛皮;1;ハリマグロ;2;;
ジャギィフォールド;1;1;1;0;1;1;6;-2;0;0;0;0;攻撃;4;防御;-2;;;;;;;ジャギィの皮;3;ジャギィの鱗;3;竜骨【小】;4;円盤石;2
ジャギィコート;1;1;1;0;2;1;3;-2;0;0;0;0;攻撃;4;防御;-2;;;;;;;ジャギィの皮;3;ジャギィの鱗;3;竜骨【小】;4;円盤石;2
マッカォフォールド;1;1;1;0;1;1;8;-2;0;0;0;0;減気攻撃;2;;;;;;;;;マッカォの鱗;4;マッカォの皮;3;キラビートル;3;;
マッカォコート;1;1;1;0;2;1;4;-2;1;1;1;1;減気攻撃;2;;;;;;;;;マッカォの鱗;4;マッカォの皮;3;キラビートル;3;;
ランポスフォールド;1;2;1;0;1;1;8;0;0;0;0;-2;水属性攻撃;4;;;;;;;;;ランポスの鱗;3;ランポスの皮;2;ファンゴの毛皮;1;大地の結晶;2
