english;spanish;french;italian;german;japanese;chinese
Leather Vest;;;;;レザーベスト;
Chainmail Vest;;;;;チェーンベスト;
Bherna Mail;;;;;ベルダーメイル;
Hunting Mail;;;;;ハントメイル;
Hunting Vest;;;;;ハントレジスト;
Mafumofu Jacket;;;;;マフモフジャケット;
Yukumo Dogi;;;;;ユクモノドウギ;
Loc Lac Shawl;;;;;ロックラックスーツ;
Hunter's Mail;;;;;ハンターメイル;
Hunter's Vest;;;;;ハンターレジスト;
Bone Mail;;;;;ボーンメイル;
Bone Vest;;;;;ボーンレジスト;
Chaos Plate;;;;;混沌のカイ;
Chaos Brigandine;;;;;混沌のイー;
Jaggi Mail;;;;;ジャギィメイル;
Jaggi Vest;;;;;ジャギィレジスト;
Maccao Mail;;;;;マッカォメイル;
Maccao Vest;;;;;マッカォレジスト;
Velociprey Mail;;;;;ランポスメイル;
Velociprey Vest;;;;;ランポスレジスト;
Giaprey Mail;;;;;ギアノスメイル;
Giaprey Vest;;;;;ギアノスレジスト;
Genprey Mail;;;;;ゲネポスメイル;
Genprey Vest;;;;;ゲネポスレジスト;
Vespoid Mail;;;;;ランゴメイル;
Vespoid Vest;;;;;ランゴレジスト;
Hornetaur Mail;;;;;タロスメイル;
Hornetaur Vest;;;;;タロスレジスト;
Bnahabra Suit;;;;;ブナハスーツ;
Bnahabra Vest;;;;;ブナハベスト;
Mosswine Vest;;;;;モスブレスト;
Rhenoplos Mail;;;;;リノプロメイル;
Rhenoplos Vest;;;;;リノプロレジスト;
Bulldrome Mail;;;;;ファンゴメイル;
Bulldrome Vest;;;;;ファンゴレジスト;
Arzuros Mail;;;;;アシラメイル;
Arzuros Vest;;;;;アシラレジスト;
Cephalos Mail;;;;;ガレオスメイル;
Cephalos Vest;;;;;ガレオスレジスト;
Derring Jacket;;;;;ブレイブベスト;
Alloy Mail;;;;;アロイメイル;
Alloy Vest;;;;;アロイレジスト;
Battle Mail;;;;;バトルメイル;
Battle Vest;;;;;バトルレジスト;
Ingot Mail;;;;;インゴットメイル;
Ingot Vest;;;;;インゴットレジスト;
High Metal Mail;;;;;ハイメタメイル;
High Metal Vest;;;;;ハイメタレジスト;
Melahoa Jacket;;;;;メルホアトロンコ;
Melahoa Stalk;;;;;メルホアシュタム;
Makluva Cover;;;;;マカルパペプラム;
Makluva Scale;;;;;マカルパエカイユ;
Bistro Suit;;;;;ビストロスーツ;
Bistro Vest;;;;;ビストロベスト;
Obituary Thorax;;;;;オウビートペット;
Obituary Pleuron;;;;;オウビートペクトス;
Butterfly Thorax;;;;;パピメルペット;
Butterfly Pleuron;;;;;パピメルペクトス;
Death Stench Muscle;;;;;デスギアムスケル;
