english;spanish;french;italian;german;japanese;chinese
Leather Trousers;;;;;レザーパンツ;
Chainmail Trousers;;;;;チェーンパンツ;
Bherna Greaves;;;;;ベルダーグリーヴ;
Hunting Greaves;;;;;ハントグリーヴ;
Hunting Leggings;;;;;ハントレギンス;
Mafumofu Boots;;;;;マフモフブーツ;
Yukumo Hakama;;;;;ユクモノハカマ;
Loc Lac Boots;;;;;ロックラックブーツ;
Hunter's Greaves;;;;;ハンターグリーヴ;
Hunter's Leggings;;;;;ハンターレギンス;
Bone Greaves;;;;;ボーングリーヴ;
Bone Leggings;;;;;ボーンレギンス;
Trapper's Greaves;;;;;狩人の革臑当;
Trapper's Boots;;;;;狩人の革長靴;
Maccao Shinguards;;;;;跳狗竜の革臑当;
Maccao Boots;;;;;跳狗竜の革長靴;
Jaggi Shinguards;;;;;狗竜の革臑当;
Jaggi Boots;;;;;狗竜の革長靴;
Jaggi Greaves;;;;;ジャギィグリーヴ;
Jaggi Leggings;;;;;ジャギィレギンス;
Maccao Greaves;;;;;マッカォグリーヴ;
Maccao Leggings;;;;;マッカォレギンス;
Velociprey Greaves;;;;;ランポスグリーヴ;
Velociprey Leggings;;;;;ランポスレギンス;
Giaprey Greaves;;;;;ギアノスグリーヴ;
Giaprey Leggings;;;;;ギアノスレギンス;
Genprey Greaves;;;;;ゲネポスグリーヴ;
Genprey Leggings;;;;;ゲネポスレギンス;
Vespoid Greaves;;;;;ランゴグリーヴ;
Vespoid Leggings;;;;;ランゴレギンス;
Hornetaur Greaves;;;;;タロスグリーヴ;
Hornetaur Leggings;;;;;タロスレギンス;
Bnahabra Boots;;;;;ブナハブーツ;
Bnahabra Pants;;;;;ブナハフット;
Mosswine Feet;;;;;モスフット;
Rhenoplos Greaves;;;;;リノプログリーヴ;
Rhenoplos Leggings;;;;;リノプロレギンス;
Bulldrome Greaves;;;;;ファンゴグリーヴ;
Bulldrome Leggings;;;;;ファンゴレギンス;
Arzuros Greaves;;;;;アシラグリーヴ;
Arzuros Leggings;;;;;アシラレギンス;
Cephalos Greaves;;;;;ガレオスグリーヴ;
Cephalos Leggings;;;;;ガレオスレギンス;
Derring Trousers;;;;;ブレイブパンツ;
Alloy Greaves;;;;;アロイグリーヴ;
Alloy Leggings;;;;;アロイレギンス;
Battle Greaves;;;;;バトルグリーヴ;
Battle Leggings;;;;;バトルレギンス;
Ingot Greaves;;;;;インゴットグリーヴ;
Ingot Leggings;;;;;インゴットレギンス;
High Metal Greaves;;;;;ハイメタグリーヴ;
High Metal Leggings;;;;;ハイメタレギンス;
Metal Boots;;;;;メタルブーツ;
Metal Feet;;;;;メタルフット;
Melahoa Roots;;;;;メルホアライース;
Melahoa Taproot;;;;;メルホアヴルツェル;
Makluva Pants;;;;;マカルパパンツ;
Makluva Leggings;;;;;マカルパパルミュ;
Obituary Crura;;;;;オウビートガンバ;
Obituary Tarsi;;;;;オウビートフェムル;
Butterfly Crura;;;;;パピメルガンバ;
Butterfly Tarsi;;;;;パピメルフェムル;
Death Stench Heel;;;;;デスギアフェルゼ;
Death Stench March;;;;;デスギアヴィレ;
Mosgharl Roots;;;;;マギュルライース;
Mosgharl Radicles;;;;;マギュルヴルツェル;
Edel Roots;;;;;エーデルライース;
Edel Radicles;;;;;エーデルヴルツェル;
Skalda Crura;;;;;スカルダガンバ;
Skalda Tarsi;;;;;スカルダフェムル;
Spio Crura;;;;;スパイオガンバ;
Spio Tarsi;;;;;スパイオフェムル;
Droth Greaves;;;;;ドロスグリーヴ;
Droth Leggings;;;;;ドロスレギンス;
Velociprey Feet;;;;;ランポスーツフット;
Velociprey Tights;;;;;ランポスーツタイツ;
Genprey Feet;;;;;ゲネポスーツフット;
Genprey Tights;;;;;ゲネポスーツタイツ;
Ioprey Feet;;;;;イーオスーツフット;
Ioprey Tights;;;;;イーオスーツタイツ;
Remobra Feet;;;;;ガブラスーツフット;
Remobra Tights;;;;;ガブラスーツタイツ;
Ioprey Greaves;;;;;イーオスグリーヴ;
Ioprey Leggings;;;;;イーオスレギンス;
Kut-Ku Greaves;;;;;クックグリーヴ;
Kut-Ku Leggings;;;;;クックレギンス;
Lagombi Greaves;;;;;ウルクグリーヴ;
Lagombi Leggings;;;;;ウルクレギンス;
Gypceros Greaves;;;;;ゲリョスグリーヴ;
Gypceros Leggings;;;;;ゲリョスレギンス;
Tetsucabra Greaves;;;;;カブラグリーヴ;
Tetsucabra Leggings;;;;;カブラレギンス;
Hermitaur Greaves;;;;;ザザミグリーヴ;
Hermitaur Leggings;;;;;ザザミレギンス;
Volvidon Greaves;;;;;ラングログリーヴ;
Volvidon Leggings;;;;;ラングロレギンス;
Ludroth Greaves;;;;;ルドロスグリーヴ;
Ludroth Leggings;;;;;ルドロスレギンス;
Malfestio Greaves;;;;;ホロログリーヴ;
Malfestio Leggings;;;;;ホロロレギンス;
Khezu Greaves;;;;;フルフルグリーヴ;
Khezu Leggings;;;;;フルフルレギンス;
Rathian Greaves;;;;;レイアグリーヴ;
Rathian Leggings;;;;;レイアレギンス;
Nibelsnarf Greaves;;;;;ハプルグリーヴ;
Nibelsnarf Leggings;;;;;ハプルレギンス;
Blango Greaves;;;;;ブランゴグリーヴ;
Blango Leggings;;;;;ブランゴレギンス;
Ceanataur Greaves;;;;;ギザミグリーヴ;
Ceanataur Leggings;;;;;ギザミレギンス;
Najarala Greaves;;;;;ガララグリーヴ;
Najarala Leggings;;;;;ガララレギンス;
Nargacuga Greaves;;;;;ナルガグリーヴ;
Nargacuga Leggings;;;;;ナルガレギンス;
Scholarly Boots;;;;;サージュブーツ;
Scholarly Tights;;;;;サージュタイツ;
Vaik Greaves;;;;;ヴァイクグリーヴ;
