key;value
Yukumo Shirt;Yukumo Dogi
Leather Armor;Leather Vest
Chain Mail;Chainmail Vest
Hunter's Mail;Hunter's Mail
Hunter's Vest;Hunter's Vest
Loc Lac Suit;Loc Lac Shawl
Bone Mail;Bone Mail
Bone Vest;Bone Vest
Alloy Mail;Alloy Mail
Alloy Vest;Alloy Vest
Bnahabra Suit;Bnahabra Suit
Bnahabra Vest;Bnahabra Vest
Rhenoplos Mail;Rhenoplos Mail
Rhenoplos Vest;Rhenoplos Vest
Jaggi Mail;Jaggi Mail
Jaggi Vest;Jaggi Vest
Aoashira Mail;Arzuros Mail
Aoashira Vest;Arzuros Vest
Steel Mail;Steel Mail
Froggi Mail;Wroggi Mail
Froggi Vest;Wroggi Vest
Urukusu Mail;Lagombi Mail
Urukusu Vest;Lagombi Vest
Qurupeco Mail;Qurupeco Mail
Qurupeco Vest;Qurupeco Vest
Ludroth Mail;Ludroth Mail
Ludroth Vest;Ludroth Vest
Barroth Mail;Barroth Mail
Barroth Vest;Barroth Vest
Ingot Mail;Ingot Mail
Ingot Vest;Ingot Vest
Baggi Mail;Baggi Mail
Baggi Vest;Baggi Vest
Ranguro Mail;Volvidon Mail
Ranguro Vest;Volvidon Vest
Rathian Mail;Rathian Mail
Rathian Vest;Rathian Vest
Hapuru Mail;Nibelsnarf Mail
Hapuru Vest;Nibelsnarf Vest
Nebula Mail;Gigginox Mail
Nebula Vest;Gigginox Vest
Narga Mail;Nargacuga Mail
Narga Vest;Nargacuga Vest
Barioth Mail;Barioth Mail
Barioth Vest;Barioth Vest
Rathalos Mail;Rathalos Mail
Rathalos Vest;Rathalos Vest
Uragaan Mail;Uragaan Mail
Uragaan Vest;Uragaan Vest
Jinouga Mail;Zinogre Mail
Jinouga Vest;Zinogre Vest
Diablos Mail;Diablos Mail
Diablos Vest;Diablos Vest
Tigrex Mail;Tigrex Mail
Tigrex Vest;Tigrex Vest
Agnaktor Mail;Agnaktor Mail
Agnaktor Vest;Agnaktor Vest
Doboru Mail;Duramboros Mail
Doboru Vest;Duramboros Vest
Guild Bard Suit;Guild Bard Bolero
Guild Bard Vest;Guild Bard Vest
Scholar Suit;Scholar's Blouse
Scholar Vest;Scholar's Vest
Nightmare Toronko;Mosgharl Ribplate
Nightmare Toronko;Mosgharl Ribplate
Nightmare Shtam;Mosgharl Ribguard
Nightmare Shtam;Mosgharl Ribguard
Viking Mail;Viking Mail
Viking Vest;Viking Vest
Rouage Petto;Aelucanth Thorax
Pouage Pectus;Aelucanth Pleuron
Falmer Petto;Rhopessa Thorax
Falmer Pectus;Rhopessa Pleuron
Atea Mail;Artian Mail
Atea Vest;Artian Vest
Yamato Plate;Yamato Doate
Courtier Plate;Mutsu Doate
Solar Plate;Hyuga Muneate
Divine Plate;Amagi Muneate
Zuwaro Mantle;Slagtoth Cloak
Zuwaro Cape;Slagtoth Wrap
Bath Towel;Bath Towel
Acorn Mail;Acorn Mail
Yukumo Shirt [Ten];Yukumo Sky Dogi
Yukumo Shirt [Chi];Yukumo Land Dogi
Leather Mail S;Leather Mail S
Leather Vest S;Leather Vest S
Chain Mail S;Chainmail Armor S
Chain Vest S;Chainmail Vest S
Hunter's Mail S;Hunter's Mail S
Hunter's Vest S;Hunter's Vest S
Loc Lac Suit S;Loc Lac Shawl S
Loc Lac Vest S;Loc Lac Vest S
Bone Mail S;Bone Mail S
Bone Vest S;Bone Vest S
Alloy Mail S;Alloy Mail S
Alloy Vest S;Alloy Vest S
Bnahabra Suit S;Bnahabra Suit S
Bnahabra Vest S;Bnahabra Vest S
Rhenoplos Mail S;Rhenoplos Mail S
Rhenoplos Vest S;Rhenoplos Vest S
Jaggi Mail S;Jaggi Mail S
Jaggi Vest S;Jaggi Vest S
Grove Mail S;Arzuros Mail S
Grove Vest S;Arzuros Vest S
Steel Mail S;Steel Mail S
Froggi Mail S;Wroggi Mail S
Froggi Vest S;Wroggi Vest S
Urukusu Mail S;Lagombi Mail S
Urukusu Vest S;Lagombi Vest S
Qurupeco Mail S;Qurupeco Mail S
Qurupeco Vest S;Qurupeco Vest S
Ludroth Mail S;Ludroth Mail S
Ludroth Vest S;Ludroth Vest S
Barroth Mail S;Barroth Mail S
Barroth Vest S;Barroth Vest S
Ingot Mail S;Ingot Mail S
Ingot Vest S;Ingot Vest S
Baggi Mail S;Baggi Mail S
Baggi Vest S;Baggi Vest S
Ranguro Mail S;Volvidon Mail S
Ranguro Vest S;Volvidon Vest S
Rathian Mail S;Rathian Mail S
Rathian Vest S;Rathian Vest S
Hapuru Mail S;Nibelsnarf Mail S
Hapuru Vest S;Nibelsnarf Vest S
Nebula Mail S;Gigginox Mail S
Nebula Vest S;Gigginox Vest S
Narga Mail S;Nargacuga Mail S
Narga Vest S;Nargacuga Vest S
Barioth Mail S;Barioth Mail S
Barioth Vest S;Barioth Vest S
Rathalos Mail S;Rathalos Mail S
Rathalos Vest S;Rathalos Vest S
Uragaan Mail S;Uragaan Mail S
Uragaan Vest S;Uragaan Vest S
Dober Mail;Dober Mail
Dober Vest;Dober Vest
Jinouga Mail S;Zinogre Mail S
Jinouga Vest S;Zinogre Vest S
Diablos Mail S;Diablos Mail S
Diablos Vest S;Diablos Vest S
Tigrex Mail S;Tigrex Mail S
Tigrex Vest S;Tigrex Vest S
Agnaktor Mail S;Agnaktor Mail S
Agnaktor Vest S;Agnaktor Vest S
Doboru Mail S;Duramboros Mail S
Doboru Vest S;Duramboros Vest S
Qurupeco Mail U;Qurupeco Mail U
Qurupeco Vest U;Qurupeco Vest U
Ludroth Mail U;Ludroth Mail U
Ludroth Vest U;Ludroth Vest U
Barroth Mail U;Barroth Mail U
Barroth Vest U;Barroth Vest U
Nebula Mail U;Gigginox Mail U
Nebula Vest U;Gigginox Vest U
Narga Mail U;Nargacuga Mail U
Narga Vest U;Nargacuga Vest U
Barioth Mail U;Barioth Mail U
Barioth Vest U;Barioth Vest U
Uragaan Mail U;Uragaan Mail U
Uragaan Vest U;Uragaan Vest U
Diablos Mail U;Diablos Mail U
Diablos Vest U;Diablos Vest U
Tigrex Mail U;Tigrex Mail U
Tigrex Vest U;Tigrex Vest U
Agnaktor Mail U;Agnaktor Mail U
Agnaktor Vest U;Agnaktor Vest U
Golden Moon Mail;Golden Lunemail
Golden Moon Vest;Golden Lunevest
Silver Sol Mail;Silver Solmail
Silver Sol Vest;Silver Solvest
