key;value
Book of Combos 1;Book of Combos 1
Book of Combos 2;Book of Combos 2
Book of Combos 3;Book of Combos 3
Book of Combos 4;Book of Combos 4
Book of Combos 5;Book of Combos 5
Organizer Guide;Organizer Guide
BackPacker Guide;Pack Rat Guide
Potion;Potion
Mega Potion;Mega Potion
Nutrients;Nutrients
Mega Nutrients;Mega Nutrients
Antidote;Antidote
Herbal Medicine;Herbal Medicine
Immunizer;Immunizer
Energy Drink;Energy Drink
Power Juice;Dash Juice
Mega Juice;Mega Dash Juice
Demondrug;Demondrug
Mega Demondrug;Mega Demondrug
Power Pill;Might Pill
Armorskin;Armorskin
Mega Armorskin;Mega Armorskin
Armor Pill;Adamant Pill
Cool Drink;Cool Drink
Hot Drink;Hot Drink
Cleanser;Cleanser
Deodorant;Deodorant
Psychoserum;Psychoserum
Max Potion;Max Potion
Ancient Potion;Ancient Potion
Lifecrystals;Lifecrystals
Lifepowder;Lifepowder
Catalyst;Catalyst
Tranquilizer;Tranquilizer
Power Charm;Powercharm
Powertalon;Powertalon
Armor Charm;Armorcharm
Armortalon;Armortalon
Raw Meat;Raw Meat
Poisoned Meat;Poisoned Meat
Tainted Meat;Tinged Meat
Drugged Meat;Drugged Meat
Rare Steak;Rare Steak
Well-Done Steak;Well-done Steak
Burnt Meat;Burnt Meat
Cold Meat;Chilled Meat
Hot Meat;Hot Meat
Rare Fish;Rare Fish
Gourmet Fish;Gourmet Fish
Burnt Fish;Burnt Fish
Hotspring Egg;Yukumo Egg
Boomerang;Boomerang
Throwing Knife;Throwing Knife
Poison Thrw Knf;Poison Knife
SleepingThrwKnf;Sleep Knife
ParalyzeThrwKnf;Paralysis Knife
Tranq Thrw Knf;Tranq Knife
Bomb Material;Bomb Casing
Paintball;Paintball
Flash Bomb;Flash Bomb
Sonic Bomb;Sonic Bomb
Dung;Dung
Wyvern Droppings;Wyvern Dung
Dung Bomb;Dung Bomb
Smoke Bomb;Smoke Bomb
Poison Bomb;Poison Smoke Bmb
Farcaster;Farcaster
Tranq Bomb;Tranq Bomb
Spiderweb;Spider Web
Net;Net
Trap Tool;Trap Tool
Pitfall Trap;Pitfall Trap
Shock Trap;Shock Trap
Gunpowder;Gunpowder
Small Barrel;Small Barrel
Large Barrel;Large Barrel
Sm Barrel-Bomb;Barrel Bomb S
Lg Barrel-Bomb;Barrel Bomb L
Lg Barrel-Bomb+;Barrel Bomb L+
Bounce Bomb;Bounce Bomb
Catnip Bomb;Felvine Bomb
Jump Barrel Bmb;JUMP Barrel Bomb
Polytan Bomb;Polytan Bomb
Old Pickaxe;Old Pickaxe
Iron Pickaxe;Iron Pickaxe
Mega Pickaxe;Mega Pickaxe
Old Bugnet;Old Bug Net
Bugnet;Bug Net
Mega Bugnet;Mega Bug Net
BBQ Spit;BBQ Spit
Whetstone;Whetstone
Huskberry;Huskberry
Bone Husk;Bone Husk
Normal S Lv1;Normal S Lv1
Normal S Lv2;Normal S Lv2
Normal S Lv3;Normal S Lv3
Pierce S Lv1;Pierce S Lv1
Pierce S Lv2;Pierce S Lv2
Pierce S Lv3;Pierce S Lv3
Pellet S Lv1;Pellet S Lv1
Pellet S Lv2;Pellet S Lv2
Pellet S Lv3;Pellet S Lv3
Crag S Lv1;Crag S Lv1
Crag S Lv2;Crag S Lv2
Crag S Lv3;Crag S Lv3
Clust S Lv1;Clust S Lv1
Clust S Lv2;Clust S Lv2
Clust S Lv3;Clust S Lv3
Flaming S;Flaming S
Water S;Water S
Thunder S;Thunder S
Freeze S;Freeze S
Dragon S;Dragon S
Cutter S;Slicing S
Poison S Lv1;Poison S Lv1
Poison S Lv2;Poison S Lv2
Para S Lv1;Para S Lv1
Para S Lv2;Para S Lv2
Sleep S Lv1;Sleep S Lv1
Sleep S Lv2;Sleep S Lv2
Fatigue S Lv1;Exhaust S Lv1
Fatigue S Lv2;Exhaust S Lv2
Recov S Lv1;Recov S Lv1
Recov S Lv2;Recov S Lv2
Demon S;Demon S
Armor S;Armor S
Tranq S;Tranq S
Paint S;Paint S
No Bottle;No Coating
Empty Bottle;Empty Bottle
Power Coating;Power Coating
Razor Coating;C.Range Coating
Poison Coating;Poison Coating
ParalysisCoatng;Para Coating
Sleep Coating;Sleep Coating
Fatigue Coating;Exhaust Coating
Paint Coating;Paint Coating
Worm;Worm
MegaFishing Fly;Mega Fishing Fly
Goldenfish Bait;Goldenfish Bait
Blast Bait;Burst Bait
Bountiful Bait;Bountiful Bait
Binoculars;Binoculars
Garbage;Garbage
Flute;Field Horn
Health Flute;Health Horn
Antidote Flute;Antidote Horn
Demon Flute;Demon Horn
Armor Flute;Armor Horn
Honey;Honey
Herb;Herb
Antidote Herb;Antidote Herb
Fire Herb;Fire Herb
Snow Herb;Snow Herb
Ivy;Ivy
Sleep Herb;Sleep Herb
Sap Plant;Sap Plant
Felvine;Felvine
Cactus Flower;Cactus Flower
Hot Pepper;Hot Pepper
Hypnotic Pollen;Hypnotic Pollen
Blue Mushroom;Blue Mushroom
Nitroshroom;Nitroshroom
Parashroom;Parashroom
Toadstool;Toadstool
