key;value
SteadfastJwl[1];Steadfast Jwl 1
VigilanceJwl[1];Vigilance Jwl 1
ParalysisJwl[1];Paralysis Jwl 1
ParalysisJwl[2];Paralysis Jwl 2
Pep Jewel[1];Pep Jewel 1
Pep Jewel[2];Pep Jewel 2
Antidote Jwl[1];Antidote Jewel 1
Antidote Jwl[2];Antidote Jewel 2
FortitudeJwl[1];Def Lock Jewel 1
Alarm Jewel[1];Alarm Jewel 1
Teflon Jewel[1];Tracker Jewel 1
LubricantJwl[1];Trekker Jewel 1
RetroviralJwl[1];Sterile Jewel 1
AntiviralJwl[1];Aseptic Jewel 1
Anchor Jewel[1];Footing Jewel 1
Tectonic Jwl[1];Tectonic Jewel 1
Cooling Jwl[1];Heat Res Jewel 1
Warming Jwl[1];Cold Res Jewel 1
Earplug Jwl[1];Earplug Jewel 1
Earplug Jwl[3];Earplug Jewel 3
WindpressJwl[1];Wind Res Jewel 1
WindpressJwl[2];Wind Res Jewel 2
Attack Jewel[1];Attack Jewel 1
Attack Jewel[2];Attack Jewel 2
Attack Jewel[3];Attack Jewel 3
Expert Jewel[1];Expert Jewel 1
Expert Jewel[2];Expert Jewel 2
Expert Jewel[3];Expert Jewel 3
SpcialAtkJwl[1];Disabler Jewel 1
SpcialAtkJwl[2];Disabler Jewel 2
Element Jwl[1];Element Jewel 1
Element Jwl[3];Element Jewel 3
Fire Atk Jwl[1];Blaze Jewel 1
Fire Atk Jwl[2];Blaze Jewel 2
WaterAtk Jwl[1];Stream Jewel 1
WaterAtk Jwl[2];Stream Jewel 2
ThndrAtk Jwl[1];Bolt Jewel 1
ThndrAtk Jwl[2];Bolt Jewel 2
Ice Atk Jwl[1];Frost Jewel 1
Ice Atk Jwl[2];Frost Jewel 2
DragnAtk Jwl[1];Dragon Jewel 1
DragnAtk Jwl[2];Dragon Jewel 2
DeblitateJwl[1];Tenderizer Jwl 1
DeblitateJwl[3];Tenderizer Jwl 3
Slam Jewel[1];Destroyer Jwl 1
Slam Jewel[3];Destroyer Jwl 3
Ammo Box Jwl[1];Capacity Jewel 1
Ammo Box Jwl[3];Capacity Jewel 3
FastChargJwl[1];Charger Jewel 1
FastChargJwl[3];Charger Jewel 3
Unlock Jewel[1];Throttle Jewel 1
Unlock Jewel[2];Throttle Jewel 2
KO Jewel[1];KO Jewel 1
KO Jewel[2];KO Jewel 2
FatigeAtkJwl[1];Drain Jewel 1
FatigeAtkJwl[2];Drain Jewel 2
PotentialJwl[1];Potential Jwl 1
PotentialJwl[2];Potential Jwl 2
AdversityJwl[1];Fortitude Jwl 1
AdversityJwl[2];Fortitude Jwl 2
BombrdierJwl[1];Bombardier Jwl 1
Fife Jewel[1];Sonorous Jewel 1
Howitzer Jwl[1];Artillery Jwl 1
Defense Jwl[1];Defense Jewel 1
Defense Jwl[2];Defense Jewel 2
Blight Jewel[1];Resistor Jewel 1
