key;value
Yukumo Hat;Yukumo Kasa
Leather Helm;Leather Headgear
Chain Helm;Chainmail Headgear
Hunter's Helm;Hunter's Helm
Hunter's Cap;Hunter's Cap
Bone Helm;Bone Helm
Bone Cap;Bone Cap
Alloy Helm;Alloy Helm
Alloy Cap;Alloy Cap
Bnahabra Helm;Bnahabra Hat
Bnahabra Cap;Bnahabra Headpiece
Rhenoplos Helm;Rhenoplos Helm
Rhenoplos Cap;Rhenoplos Cap
Jaggi Helm;Jaggi Helm
Jaggi Cap;Jaggi Cap
Aoashira Helm;Arzuros Helm
Aoashira Cap;Arzuros Cap
Froggi Helm;Wroggi Helm
Froggi Cap;Wroggi Cap
Urukusu Helm;Lagombi Helm
Urukusu Cap;Lagombi Cap
Qurupeco Helm;Qurupeco Helm
Qurupeco Cap;Qurupeco Cap
Ludroth Helm;Ludroth Helm
Ludroth Cap;Ludroth Cap
Barroth Helm;Barroth Helm
Barroth Cap;Barroth Cap
Ingot Helm;Ingot Helm
Ingot Cap;Ingot Cap
Baggi Helm;Baggi Helm
Baggi Cap;Baggi Cap
Ranguro Helm;Volvidon Helm
Ranguro Cap;Volvidon Cap
Rathian Helm;Rathian Helm
Rathian Cap;Rathian Cap
Hapuru Helm;Nibelsnarf Helm
Hapuru Cap;Nibelsnarf Cap
Nebula Helm;Gigginox Helm
Nebula Cap;Gigginox Cap
Narga Helm;Nargacuga Helm
Narga Cap;Nargacuga Cap
Barioth Helm;Barioth Helm
Barioth Cap;Barioth Cap
Rathalos Helm;Rathalos Helm
Rathalos Cap;Rathalos Cap
Uragaan Helm;Uragaan Helm
Uragaan Cap;Uragaan Cap
Jinouga Helm;Zinogre Helm
Jinouga Cap;Zinogre Cap
Diablos Helm;Diablos Helm
Diablos Cap;Diablos Cap
Tigrex Helm;Tigrex Helm
Tigrex Cap;Tigrex Cap
Agnaktor Helm;Agnaktor Helm
Agnaktor Cap;Agnaktor Cap
Doboru Helm;Duramboros Helm
Doboru Cap;Duramboros Cap
Guild Bard Tricorne;Guild Bard Lobos
Guild Bard Hat;Guild Bard Hat
Scholar Hood;Scholar's Beret
Scholar Beret;Scholar's Cap
Nightmare Furore;Mosgharl Visor
Nightmare Furore;Mosgharl Visor
Nightmare Brume;Mosgharl Brim
Nightmare Brume;Mosgharl Brim
Viking Helm;Viking Helm
Viking Cap;Viking Cap
Rouage Testa;Aelucanth Vertex
Rouage Caput;Aelucanth Clypeus
Falmer Testa;Rhopessa Vertex
Falmer Caput;Rhopessa Clypeus
Yamato Helm;Yamato Kabuto
Courtier Hat;Mutsu Eboshi
Solar Headband;Hyuga Hachigane
Divine Headband;Amagi Hachigane
Gagua Mask;Gargwa Mask
Zuwaro Helm;Slagtoth Hood
Zuwaro Cap;Slagtoth Cowl
Jaggi Mask;Jaggi Mask
Bullfango Mask;Bullfango Mask
Skull Face;Skull Mask
Head Towel;Head Towel
Acorn Helm;Acorn Helm
Glass Earrings;Glass Earring
Yukumo Hat [Ten];Yukumo Sky Kasa
Yukumo Hat [Chi];Yukumo Land Kasa
Leather Helm S;Leather Helm S
Leather Cap S;Leather Cap S
