key;value
Yukumo Skirt;Yukumo Hakama
Leather Pants;Leather Pants
Chain Pants;Chainmail Pants
Hunter's Greaves;Hunter's Greaves
Hunter's Leggings;Hunter's Leggings
Loc Lac Boots;Loc Lac Boots
Bone Greaves;Bone Greaves
Bone Leggings;Bone Leggings
Alloy Greaves;Alloy Greaves
Alloy Leggings;Alloy Leggings
Bnahabra Boots;Bnahabra Boots
Bnahabra Shoes;Bnahabra Pants
Rhenoplos Greaves;Rhenoplos Greaves
Rhenoplos Leggings;Rhenoplos Leggings
Jaggi Greaves;Jaggi Greaves
Jaggi Leggings;Jaggi Leggings
Aoashira Greaves;Arzuros Greaves
Aoashira Leggings;Arzuros Leggings
Froggi Greaves;Wroggi Greaves
Froggi Leggings;Wroggi Leggings
Urukusu Greaves;Lagombi Greaves
Urukusu Leggings;Lagombi Leggings
Qurupeco Greaves;Qurupeco Greaves
Qurupeco Leggings;Qurupeco Leggings
Ludroth Greaves;Ludroth Greaves
Ludroth Leggings;Ludroth Leggings
Barroth Greaves;Barroth Greaves
Barroth Leggings;Barroth Leggings
Ingot Greaves;Ingot Greaves
Ingot Leggings;Ingot Leggings
Baggi Greaves;Baggi Greaves
Baggi Leggings;Baggi Leggings
Ranguro Greaves;Volvidon Greaves
Ranguro Leggings;Volvidon Leggings
Rathian Greaves;Rathian Greaves
Rathian Leggings;Rathian Leggings
Hapuru Greaves;Nibelsnarf Greaves
Hapuru Leggings;Nibelsnarf Leggings
Nebula Greaves;Gigginox Greaves
Nebula Leggings;Gigginox Leggings
Narga Greaves;Nargacuga Greaves
Narga Leggings;Nargacuga Leggings
Barioth Greaves;Barioth Greaves
Barioth Leggings;Barioth Leggings
Rathalos Greaves;Rathalos Greaves
Rathalos Leggings;Rathalos Leggings
Uragaan Greaves;Uragaan Greaves
Uragaan Leggings;Uragaan Leggings
Jinouga Greaves;Zinogre Greaves
Jinouga Leggings;Zinogre Leggings
Diablos Greaves;Diablos Greaves
Diablos Leggings;Diablos Leggings
Tigrex Greaves;Tigrex Greaves
Tigrex Leggings;Tigrex Leggings
Agnaktor Greaves;Agnaktor Greaves
Agnaktor Leggings;Agnaktor Leggings
Doboru Greaves;Duramboros Greaves
Doboru Leggings;Duramboros Leggings
Guild Bard Boots;Guild Bard Boots
Guild Bard Shoes;Guild Bard Gaiters
Scholar Socks;Scholar's Socks
Scholar Sandals;Scholar's Sandals
Nightmare Rais;Mosgharl Roots
Nightmare Rais;Mosgharl Roots
Nightmare Voulzer;Mosgharl Radicals
Nightmare Voulzer;Mosgharl Radicals
Viking Greaves;Viking Greaves
Viking Leggings;Viking Leggings
Rouage Gamba;Aelucanth Crura
Rouage Femur;Aelucanth Tarsi
Falmer Gamba;Rhopessa Crura
Falmer Femur;Rhopessa Tarsi
Atea Greaves;Artian Greaves
Atea Leggings;Artian Leggings
Yamato Greaves;Yamato Gusoku
Courtier Greaves;Mutsu Gusoku
Solar Pants;Hyuga Hakama
Divine Pants;Amagi Hakama
Bath Sandals;Bath Sandals
Yukumo Skirt [Ten];Yukumo Sky Hakama
Yukumo Skirt [Chi];Yukumo Land Hakama
Leather Greaves S;Leather Greaves S
Leather Leggings S;Leather Leggings S
Chain Greaves S;Chainmail Greaves S
Chain Leggings S;Chainmail Leggings S
Hunter's Greaves S;Hunter's Greaves S
Hunter's Leggings S;Hunter's Leggings S
Loc Lac Boots S;Loc Lac Boots S
Loc Lac Shoes S;Loc Lac Gaiters S
Bone Greaves S;Bone Greaves S
