key;value
Attack;Attack
Expert;Expert
Sharpness;Sharpness
Sharpener;Sharpener
Artisan;Handicraft
PunishDraw;PunishDraw
Crit Draw;Crit Draw
FastCharge;FastCharge
Fencing;Fencing
Debilitate;Tenderizer
Slam;Destroyer
KO;KO
FatigueAtk;Stam Drain
Horn;Maestro
Gunnery;Artillery
Awaken;Gloves Off
Potential;Potential
Adversity;Survivor
Loading;Loading
Rapid Fire;Rapid Fire
Reload Spd;Reload Speed
Recoil;Recoil
Precision;Precision
NormalS Up;Normal Up
PierceS Up;Pierce Up
PelletS Up;Pellet Up
NormalSAdd;Normal S+
PierceSAdd;Pierce S+
PelletSAdd;Pellet S+
Crag S Add;Crag S+
ClustS Add;Clust S+
CutterSAdd;Slice S+
PoisonCAdd;Poison C+
ParalyCAdd;Para C+
SleepCAdd;Sleep C+
PowerCAdd;Power C+
RazorCAdd;C. Range C+
FatigeCAdd;Exhaust C+
Status;Status
Elemental;ElementAtk
Fire Atk;Fire Atk
Water Atk;Water Atk
Thundr Atk;Thundr Atk
Ice Attack;Ice Atk
Dragon Atk;Dragon Atk
Constitutn;Constitutn
Stamina;Stamina
Will Recov;Stam Recov
Hunger;Hunger
Evasion;Evasion
Evade Dist;Evade Dist
Sheathe;Sheathing
Sense;Sense
Rec Speed;Rec Speed
Guard;Guard
Guard Up;Guard Up
Auto-Guard;Auto-Guard
Protection;Protection
Poison;Poison
Paralysis;Paralysis
Sleep;Sleep
Stun;Stun
Mud/Snow;Mud/Snow
Quake Res;Tremor Res
WindPress;Wind Res
Antiseptic;Antiseptic
Anti-Theft;Anti-Theft
Blight Res;Blight Res
Fortitude;Def Lock
HearProtct;Hearing
Health;Health
Defense;Defense
Fire Res;Fire Res
Water Res;Water Res
ThunderRes;ThunderRes
Ice Res;Ice Res
Dragon Res;Dragon Res
Wide Area;Wide-Range
BombStrUp;Bomb Boost
SpeedSetup;SpeedSetup
Perception;Perception
Psychic;Psychic
DungMaster;Dungmaster
Rec Level;Rec Level
LastingPwr;LastingPwr
Gluttony;Gluttony
Eating;Eating
Huntsman;Ranger
Backpackng;Transportr
Heat Res;Heat Res
Cold Res;Cold Res
Gathering;Gathering
HiSpdGathr;Spd Gather
Whim;Whim
Fate;Fate
Carving;Carving
Rewards;Tranquilzr
Combo Rate;Combo Rate
Shot Mix;Combo Plus
Torso Inc;Torso Up
Attack Up [Sm];Attack Up (S)
Attack Up [Med];Attack Up (M)
Attack Up [Lg];Attack Up (L)
Attack Down [Sm];Attack Down (S)
Attack Down [Med];Attack Down (M)
Attack Down [Lg];Attack Down (L)
Reckless Abandon +1;Critical Eye +1
Reckless Abandon +2;Critical Eye +2
Reckless Abandon +3;Critical Eye +3
Reckless Abandon -1;Critical Eye -1
Reckless Abandon -2;Critical Eye -2
Reckless Abandon -3;Critical Eye -3
Sharp Sword;Razor Sharp
Blunt;Blunt Edge
Speed Sharpening;Speed Sharpening
Slow Sharpening;Slow Sharpening
Sharpness +1;Sharpness +1
Unsheathe Stun;Punishing Draw
Unsheathe Critical;Critical Draw
Concentration;Focus
Distraction;Distraction
ESP;Mind's Eye
Exploiter;Weakness Exploit
Ruiner;Partbreaker
Improved KO;Knockout King
Enfeebler;Stamina Thief
Flute Expert;Horn Maestro
Gunnery Master;Artillery Novice
Gunnery King;Artillery King
Unleashed +1;Latent Power +1
Unleashed +2;Latent Power +2
Adrenaline +1;Adrenaline +1
Adrenaline +2;Adrenaline +2
Worry;Worrywort
Resilience;Fortify
Load Up;Load Up
Rapid Shot +1;Bonus Shot
Reload Speed +1;Reload Speed +1
Reload Speed +2;Reload Speed +2
Reload Speed +3;Reload Speed +3
Reload Speed -1;Reload Speed -1
Reload Speed -2;Reload Speed -2
Reload Speed -3;Reload Speed -3
Recoil Reduction +1;Recoil Down +1
Recoil Reduction +2;Recoil Down +2
Recoil Reduction +3;Recoil Down +3
Recoil Reduction -1;Recoil Down -1
Recoil Reduction -2;Recoil Down -2
Recoil Reduction -3;Recoil Down -3
Accuracy+1;Steadiness +1
Accuracy+2;Steadiness +2
Accuracy-1;Steadiness -1
Accuracy-2;Steadiness -2
NormalS/RapidBowUp;Normal/Rapid Up
PierceS/PierceBowUp;Pierce/Pierce Up
PelletS/ScatterBowUp;Pellet/Spread Up
Normal S All Add;Use Any Normal
Pierce S LV1 Add;Use Lv1 Pierce S
Pierce S All Add;Use Any Pierce S
Pellet S LV1 Add;Use Lv1 Pellet S
