key;value
Yukumo Sash;Yukumo Obi
Leather Belt;Leather Belt
Chain Belt;Chainmail Belt
Hunter's Tasset;Hunter's Faulds
Hunter's Coat;Hunter's Coat
Loc Lac Coil;Loc Lac Kilt
Bone Tasset;Bone Faulds
Bone Coat;Bone Coat
Alloy Coil;Alloy Coil
Alloy Coat;Alloy Coat
Bnahabra Coil;Bnahabra Coil
Bnahabra Coat;Bnahabra Coat
Rhenoplos Coil;Rhenoplos Coil
Rhenoplos Coat;Rhenoplos Coat
Jaggi Tasset;Jaggi Faulds
Jaggi Coat;Jaggi Coat
Aoashira Tasset;Arzuros Faulds
Aoashira Coat;Arzuros Coat
Steel Belt;Steel Belt
Froggi Tasset;Wroggi Faulds
Froggi Coat;Wroggi Coat
Urukusu Tasset;Lagombi Faulds
Urukusu Coat;Lagombi Coat
Qurupeco Coil;Qurupeco Coil
Qurupeco Coat;Qurupeco Coat
Ludroth Tasset;Ludroth Faulds
Ludroth Coat;Ludroth Coat
Barroth Tasset;Barroth Faulds
Barroth Coat;Barroth Coat
Ingot Coil;Ingot Coil
Ingot Coat;Ingot Coat
Baggi Coil;Baggi Coil
Baggi Coat;Baggi Coat
Ranguro Tasset;Volvidon Faulds
Ranguro Coat;Volvidon Coat
Rathian Tasset;Rathian Faulds
Rathian Coat;Rathian Coat
Hapuru Tasset;Nibelsnarf Faulds
Hapuru Coat;Nibelsnarf Coat
Nebula Tasset;Gigginox Faulds
Nebula Coat;Gigginox Coat
Narga Tasset;Nargacuga Faulds
Narga Coat;Nargacuga Coat
Barioth Tasset;Barioth Faulds
Barioth Coat;Barioth Coat
Rathalos Tasset;Rathalos Faulds
Rathalos Coat;Rathalos Coat
Uragaan Tasset;Uragaan Faulds
Uragaan Coat;Uragaan Coat
Jinouga Tasset;Zinogre Faulds
Jinouga Coat;Zinogre Coat
Diablos Coil;Diablos Coil
Diablos Coat;Diablos Coat
Tigrex Tasset;Tigrex Faulds
Tigrex Coat;Tigrex Coat
Agnaktor Tasset;Agnaktor Faulds
Agnaktor Coat;Agnaktor Coat
Doboru Tasset;Duramboros Faulds
Doboru Coat;Duramboros Coat
Guild Bard Coil;Guild Bard Coil
Guild Bard Coat;Guild Bard Coat
Scholar Skirt;Scholar's Skirt
Scholar Frills;Scholar's Mini
Nightmare Oha;Mosgharl Folia
Nightmare Oha;Mosgharl Folia
Nightmare Buratto;Mosgharl Fronds
Nightmare Buratto;Mosgharl Fronds
Viking Tasset;Viking Faulds
Viking Coat;Viking Coat
Rouage Anca;Aelucanth Elytra
Rouage Cocusa;Aelucanth Alae
Falmer Anca;Rhopessa Elytra
Falmer Cocusa;Rhopessa Alae
Yamato Waistcoat;Yamato Koshiate
Courtier Waistcoat;Mutsu Koshiate
Solar Waistcoat;Hyuga Koshiate
Divine Waistcoat;Amagi Koshiate
Yukumo Sash [Ten];Yukumo Sky Obi
Yukumo Sash [Chi];Yukumo Land Obi
Leather Tasset S;Leather Faulds S
Leather Coat S;Leather Coat S
Chain Tasset S;Chainmail Faulds S
Chain Coat S;Chainmail Coat S
Hunter's Tasset S;Hunter's Faulds S
Hunter's Coat S;Hunter's Coat S
Loc Lac Coil S;Loc Lac Kilt S
Loc Lac Coat S;Loc Lac Coat S
Bone Tasset S;Bone Faulds S
Bone Coat S;Bone Coat S
Alloy Coil S;Alloy Coil S
Alloy Coat S;Alloy Coat S
Bnahabra Coil S;Bnahabra Coil S
Bnahabra Coat S;Bnahabra Coat S
Rhenoplos Coil S;Rhenoplos Coil S
Rhenoplos Coat S;Rhenoplos Coat S
Jaggi Tasset S;Jaggi Faulds S
Jaggi Coat S;Jaggi Coat S
Grove Tasset S;Arzuros Faulds S
Grove Coat S;Arzuros Coat S
Steel Belt S;Steel Belt S
Froggi Tasset S;Wroggi Faulds S
Froggi Coat S;Wroggi Coat S
Urukusu Tasset S;Lagombi Faulds S
Urukusu Coat S;Lagombi Coat S
Qurupeco Coil S;Qurupeco Coil S
Qurupeco Coat S;Qurupeco Coat S
Ludroth Tasset S;Ludroth Faulds S
Ludroth Coat S;Ludroth Coat S
Barroth Tasset S;Barroth Faulds S
Barroth Coat S;Barroth Coat S
Ingot Coil S;Ingot Coil S
Ingot Coat S;Ingot Coat S
Baggi Coil S;Baggi Coil S
Baggi Coat S;Baggi Coat S
Ranguro Tasset S;Volvidon Faulds S
Rangura Coat S;Rangura Coat S
Rathian Tasset S;Rathian Faulds S
Rathian Coat S;Rathian Coat S
Hapuru Tasset S;Nibelsnarf Faulds S
Hapuru Coat S;Nibelsnarf Coat S
Nebula Tasset S;Gigginox Faulds S
Nebula Coat S;Gigginox Coat S
Narga Tasset S;Nargacuga Faulds S
Narga Coat S;Nargacuga Coat S
Barioth Tasset S;Barioth Faulds S
Barioth Coat S;Barioth Coat S
Rathalos Tasset S;Rathalos Faulds S
Rathalos Coat S;Rathalos Coat S
Uragaan Tasset S;Uragaan Faulds S
Uragaan Coat S;Uragaan Coat S
Dober Coil;Dober Coil
Dober Coat;Dober Coat
Jinouga Tasset S;Zinogre Faulds S
Jinouga Coat S;Zinogre Coat S
Diablos Coil S;Diablos Coil S
Diablos Coat S;Diablos Coat S
Tigrex Tasset S;Tigrex Faulds S
Tigrex Coat S;Tigrex Coat S
Agnaktor Tasset S;Agnaktor Faulds S
Agnaktor Coat S;Agnaktor Coat S
Doboru Tasset S;Duramboros Faulds S
Doboru Coat S;Duramboros Coat S
Qurupeco Coil U;Qurupeco Coil U
Qurupeco Coat U;Qurupeco Coat U
Ludroth Tasset U;Ludroth Faulds U
Ludroth Coat U;Ludroth Coat U
Barroth Tasset U;Barroth Faulds U
Barroth Coat U;Barroth Coat U
Nebula Tasset U;Gigginox Faulds U
Nebula Coat U;Gigginox Coat U
Narga Tasset U;Nargacuga Faulds U
Narga Coat U;Nargacuga Coat U
Barioth Tasset U;Barioth Faulds U
Barioth Coat U;Barioth Coat U
Uragaan Tasset U;Uragaan Faulds U
Uragaan Coat U;Uragaan Coat U
Diablos Coil U;Diablos Coil U
Diablos Coat U;Diablos Coat U
Tigrex Tasset U;Tigrex Faulds U
Tigrex Coat U;Tigrex Coat U
Agnaktor Tasset U;Agnaktor Faulds U
Agnaktor Coat U;Agnaktor Coat U
Golden Moon Tasset;Golden Lunecoil
Golden Moon Coat;Golden Lunecoat
Silver Sol Tasset;Silver Solcoil
Silver Sol Coat;Silver Solcoat
Vangis Tasset;Vangis Coil
Vangis Coat;Vangis Coat
Ranger Belt;Ranger's Sash
Scout Belt;Archer's Belt
Guild Bard Coil S;Guild Bard Coil S
Guild Bard Coat S;Guild Bard Coat S
Scholar Skirt S;Scholar's Skirt S
Scholar Frills S;Scholar's Mini S
Nightmare Oha S;Mosgharl Folia S
Nightmare Oha S;Mosgharl Folia S
Nightmare Buratto S;Mosgharl Fronds S
Nightmare Buratto S;Mosgharl Fronds S
Viking Tasset S;Viking Faulds S
Viking Coat S;Viking Coat S
Rouage Anca S;Aelucanth Elytra S
Rouage Cocusa S;Aelucanth Alae S
Falmer Anca S;Rhopessa Elytra S
Falmer Cocusa S;Rhopessa Alae S
Dianthus Skirt;Dianthus Skirt
Bellflower Skirt;Bellflower Skirt
Damascus Coil;Damascus Coil
Damascus Coat;Damascus Coat
