name;hr;village;slots;gender;type;rarity;defense;fire;thunder;dragon;water;ice;skill_one;skill_one_points;skill_two;skill_two_points;skill_three;skill_three_points;skill_four;skill_four_points;skill_five;skill_five_points;material_one;amount_one;material_two;amount_two;material_three;amount_three;material_four;amount_four
Yukumo Kote;1;1;1;0;0;1;1;0;3;0;0;0;Protection;2;Whim;2;Expert;1;;;;;Yukumo Wood;2;Ivy;1;;;;
Leather Gloves;1;1;1;0;0;1;1;-1;0;1;0;0;Spd Gather;3;Gathering;3;Whim;1;;;;;Warm Pelt;2;;;;;;
Chainmail Gloves;1;1;1;0;0;1;2;2;-2;0;1;1;Health;4;Combo Rate;1;Combo Plus;2;;;;;Iron Ore;1;Yukumo Wood;2;;;;
Hunter's Vambraces;1;1;1;0;1;1;6;0;-4;0;1;0;Ranger;2;Psychic;3;SpeedSetup;2;Poison;-2;;;Earth Crystal;1;Jaggi Scale;2;Ivy;1;;
Hunter's Guards;1;1;1;0;2;1;3;1;-2;1;2;0;Ranger;2;Psychic;3;SpeedSetup;2;Poison;-2;;;Earth Crystal;1;Jaggi Scale;2;Ivy;1;;
Bone Vambraces;1;2;1;0;1;1;8;2;-1;0;0;-2;Maestro;2;Gathering;4;KO;1;Sleep;-2;;;Monster Bone S;3;Mystery Bone;3;Sharpened Fang;2;;
Bone Guards;1;2;1;0;2;1;4;4;0;0;0;-1;Maestro;4;Gathering;1;KO;2;Sleep;-2;;;Monster Bone S;3;Mystery Bone;3;Sharpened Fang;2;;
Alloy Vambraces;1;2;1;0;1;1;8;-1;-2;-1;1;-2;Wind Res;1;Expert;4;Sharpener;1;Gathering;-3;;;Machalite Ore;2;Bealite Ore;2;Iron Ore;4;;
Alloy Guards;1;2;1;0;2;1;4;0;-1;0;2;-1;Pellet Up;2;Reload Speed;2;Pellet S+;3;Gathering;-2;;;Machalite Ore;2;Bealite Ore;2;Iron Ore;4;;
Bnahabra Gloves;1;2;2;0;1;2;10;-5;2;4;-2;-2;Status;1;Sheathing;4;Sense;1;Attack;-1;;;Bnahabra Wing;3;Bnahabra Shell;2;Bnahabra Spine;5;Killer Beetle;2
Bnahabra Sleeves;1;2;2;0;2;2;5;-3;3;5;-1;-1;Status;1;Sheathing;3;Sense;1;Attack;-2;;;Bnahabra Wing;3;Bnahabra Shell;2;Bnahabra Spine;5;Killer Beetle;2
Rhenoplos Vambraces;1;3;1;0;1;2;10;2;-2;1;-2;-2;Stam Recov;1;Artillery;3;Ice Res;-1;Defense;4;;;Rhenoplos Shell;2;Monster Bone M;4;Ice Crystal;2;;
Rhenoplos Guards;1;3;1;0;2;2;5;3;-1;2;-1;-1;Stam Recov;1;Artillery;2;Ice Res;-2;Defense;4;;;Rhenoplos Shell;2;Monster Bone M;4;Ice Crystal;2;;
Jaggi Vambraces;1;2;1;0;1;2;12;-4;-2;1;-2;-2;Attack;3;Perception;2;Rec Speed;3;LastingPwr;-1;;;G.Jaggi Claw;2;G.Jaggi Hide;3;Jaggi Scale;2;Earth Crystal;2
Jaggi Guards;1;2;1;0;2;2;6;-2;-1;2;-1;-1;Attack;3;Perception;2;Rec Speed;2;LastingPwr;-2;;;G.Jaggi Claw;2;G.Jaggi Hide;3;Jaggi Scale;2;Earth Crystal;2
Aoashira Vamraces;1;1;1;0;1;2;12;-3;-1;1;1;-2;Gluttony;3;Defense;3;Stun;2;Paralysis;-1;;;Arzuros Shell;2;Arzuros Brace;1;Arzuros Pelt;2;Altaroth Stomach;2
Arzuros Guards;1;1;1;0;2;2;6;-2;0;3;2;-1;Gluttony;2;Defense;3;Stun;3;Paralysis;-1;;;Arzuros Shell;2;Arzuros Brace;1;Arzuros Pelt;2;Altaroth Stomach;2
Steel Vambraces;1;3;0;0;1;2;14;2;-2;0;0;2;Defense;5;Sharpener;4;Antiseptic;2;;;;;Isisium;4;Lightcrystal;1;Pelagicite Ore;2;Iron Ore;5
Wroggi Vambraces;1;3;1;0;1;2;14;2;1;0;-2;-4;Constitutn;2;Perception;3;Poison;2;Stun;-2;;;G.Wroggi Brace;2;G.Wroggi Hide;2;Wroggi Scale;2;Carpenterbug;3
Wroggi Guards;1;3;1;0;2;2;7;4;2;0;-1;-2;Constitutn;3;Perception;2;Poison;2;Stun;-2;;;G.Wroggi Brace;2;G.Wroggi Hide;2;Wroggi Scale;2;Carpenterbug;3
Lagombi Vambraces;2;3;1;0;1;2;14;-4;-2;1;2;2;Evasion;1;Cold Res;4;Heat Res;-2;Sheathing;2;;;Lagombi Claw;2;Lagombi Pelt;2;Lagombi Plastron;1;Velvety Hide;4
Lagombi Guards;2;3;1;0;2;2;7;-2;-1;3;3;4;Evasion;2;Cold Res;3;Heat Res;-2;Sheathing;2;;;Lagombi Claw;2;Lagombi Pelt;2;Lagombi Plastron;1;Velvety Hide;4
