name;hr;village;slots;gender;type;rarity;defense;fire;thunder;dragon;water;ice;skill_one;skill_one_points;skill_two;skill_two_points;skill_three;skill_three_points;skill_four;skill_four_points;skill_five;skill_five_points;material_one;amount_one;material_two;amount_two;material_three;amount_three;material_four;amount_four
Yukumo Armband;1;1;1;0;0;1;1;0;3;0;0;0;Protection;2;Whim;2;Expert;1;;;;;Yukumo Wood;2;Ivy;1;;;;
Leather Vambraces;1;1;1;0;0;1;1;-1;0;1;0;0;HiSpdGathr;3;Gathering;3;Whim;1;;;;;Warm Pelt;2;;;;;;
Chain Vambraces;1;1;1;0;0;1;2;2;-2;0;1;1;Health;4;Combo Rate;1;Shot Mix;2;;;;;Iron Ore;1;Yukumo Wood;2;;;;
Hunter's Vambraces;1;1;1;0;1;1;6;0;-4;0;1;0;Huntsman;2;Psychic;3;SpeedSetup;2;Poison;-2;;;Earth Crystal;1;Jaggi Scale;2;Ivy;1;;
Hunter's Guards;1;1;1;0;2;1;3;1;-2;1;2;0;Huntsman;2;Psychic;3;SpeedSetup;2;Poison;-2;;;Earth Crystal;1;Jaggi Scale;2;Ivy;1;;
Bone Vambraces;1;2;1;0;1;1;8;2;-1;0;0;-2;Horn;2;Gathering;4;KO;1;Sleep;-2;;;Sm Monster Bone;3;Mystery Bone;3;Sharp Fang;2;;
Bone Guards;1;2;1;0;2;1;4;4;0;0;0;-1;Horn;4;Gathering;1;KO;2;Sleep;-2;;;Sm Monster Bone;3;Mystery Bone;3;Sharp Fang;2;;
Alloy Vambraces;1;2;1;0;1;1;8;-1;-2;-1;1;-2;WindPress;1;Expert;4;Sharpener;1;Gathering;-3;;;Machalite Ore;2;Bealite Ore;2;Iron Ore;4;;
Alloy Guards;1;2;1;0;2;1;4;0;-1;0;2;-1;PelletS Up;2;Reload Spd;2;PelletSAdd;3;Gathering;-2;;;Machalite Ore;2;Bealite Ore;2;Iron Ore;4;;
Bnahabra Gloves;1;2;2;0;1;2;10;-5;2;4;-2;-2;Status;1;Sheathe;4;Sense;1;Attack;-1;;;Bnahabra Wing;3;Bnahabra Shell;2;Bnahabra Stingr;5;Killer Beetle;2
Bnahabra Cuffs;1;2;2;0;2;2;5;-3;3;5;-1;-1;Status;1;Sheathe;3;Sense;1;Attack;-2;;;Bnahabra Wing;3;Bnahabra Shell;2;Bnahabra Stingr;5;Killer Beetle;2
Rhenoplos Vambraces;1;3;1;0;1;2;10;2;-2;1;-2;-2;Will Recov;1;Gunnery;3;Ice Res;-1;Defense;4;;;Rhenoplos Shell;2;Med Mnster Bone;4;Ice Crystal;2;;
Rhenoplos Guards;1;3;1;0;2;2;5;3;-1;2;-1;-1;Will Recov;1;Gunnery;2;Ice Res;-2;Defense;4;;;Rhenoplos Shell;2;Med Mnster Bone;4;Ice Crystal;2;;
Jaggi Vambraces;1;2;1;0;1;2;12;-4;-2;1;-2;-2;Attack;3;Perception;2;Rec Speed;3;LastingPwr;-1;;;Grt Jaggi Claw;2;Grt Jaggi Hide;3;Jaggi Scale;2;Earth Crystal;2
