name;hr;village;slots;gender;type;rarity;defense;fire;thunder;dragon;water;ice;skill_one;skill_one_points;skill_two;skill_two_points;skill_three;skill_three_points;skill_four;skill_four_points;skill_five;skill_five_points;material_one;amount_one;material_two;amount_two;material_three;amount_three;material_four;amount_four
Yukumo Shirt;1;1;1;0;0;1;1;0;3;0;0;0;Protection;2;Whim;2;Expert;1;;;;;Yukumo Wood;2;Ivy;2;;;;
Leather Armor;1;1;0;0;0;1;1;-1;0;1;0;0;HiSpdGathr;3;Gathering;3;Whim;2;;;;;Bullfango Pelt;1;Iron Ore;1;;;;
Chain Mail;1;1;0;0;0;1;2;2;-2;0;1;1;Health;3;Combo Rate;3;Shot Mix;3;;;;;Iron Ore;2;Yukumo Wood;1;;;;
Hunter's Mail;1;1;1;0;1;1;6;0;-4;0;1;0;Huntsman;3;Psychic;2;SpeedSetup;1;Poison;-1;;;Iron Ore;2;Jaggi Scale;1;Bullfango Pelt;2;;
Hunter's Vest;1;1;1;0;2;1;3;1;-2;1;2;0;Huntsman;2;Psychic;2;SpeedSetup;1;Poison;-2;;;Iron Ore;2;Jaggi Scale;1;Bullfango Pelt;2;;
Loc Lac Suit;1;1;1;0;0;1;4;2;1;0;-3;0;Backpackng;2;Hunger;5;;;;;;;Altarth Abdomen;1;Monster Fluid;3;Ice Crystal;3;;
Bone Mail;1;2;1;0;1;1;8;2;-1;0;0;-2;Horn;1;Gathering;2;KO;3;Sleep;-1;;;Giant Bone;1;Mystery Bone;4;Sharp Fang;2;;
Bone Vest;1;2;1;0;2;1;4;4;0;0;0;-1;Horn;2;Gathering;2;KO;1;Sleep;-2;;;Giant Bone;1;Mystery Bone;4;Sharp Fang;2;;
Alloy Mail;1;2;1;0;1;1;8;-1;-2;-1;1;-2;WindPress;1;Expert;2;Sharpener;2;Gathering;-2;;;Machalite Ore;3;Pelagicite Ore;2;Iron Ore;2;;
Alloy Vest;1;2;1;0;2;1;4;0;-1;0;2;-1;PelletS Up;2;Reload Spd;2;PelletSAdd;1;Gathering;-2;;;Machalite Ore;3;Pelagicite Ore;2;Iron Ore;2;;
Bnahabra Suit;1;2;1;0;1;2;10;-5;2;4;-2;-2;Status;3;Sheathe;1;Sense;1;Attack;-2;;;Bnahabra Shell;2;Bnahabra Wing;3;Monster Fluid;2;Killer Beetle;1
Bnahabra Vest;1;2;1;0;2;2;5;-3;3;5;-1;-1;Status;3;Sheathe;1;Sense;1;Attack;-2;;;Bnahabra Shell;2;Bnahabra Wing;3;Monster Fluid;2;Killer Beetle;1
Rhenoplos Mail;1;3;1;0;1;2;10;2;-2;1;-2;-2;Will Recov;2;Gunnery;1;Mud/Snow;2;Ice Res;-2;;;Rhnplos Skl Shl;1;Rhenoplos Shell;2;Earth Crystal;2;;
Rhenoplos Vest;1;3;1;0;2;2;5;3;-1;2;-1;-1;Will Recov;2;Gunnery;1;Precision;2;Ice Res;-2;;;Rhnplos Skl Shl;1;Rhenoplos Shell;2;Earth Crystal;2;;
Jaggi Mail;1;2;1;0;1;2;12;-4;-2;1;-2;-2;Attack;2;Perception;2;Rec Speed;1;LastingPwr;-2;;;Regal Frill;1;Grt Jaggi Claw;2;Jaggi Hide;3;Iron Ore;3
Jaggi Vest;1;2;1;0;2;2;6;-2;-1;2;-1;-1;Attack;2;Perception;2;Rec Speed;1;LastingPwr;-2;;;Regal Frill;1;Grt Jaggi Claw;2;Jaggi Hide;3;Iron Ore;3
Aoashira Mail;1;2;1;0;1;2;12;-3;-1;1;1;-2;Gluttony;2;Defense;2;Stun;1;Paralysis;-2;;;Aoashira Pelt;3;Aoashira Shell;1;Bnahabra Shell;2;Killer Beetle;2
Aoashira Vest;1;2;1;0;2;2;6;-2;0;3;2;-1;Gluttony;2;Defense;2;Stun;1;Paralysis;-2;;;Aoashira Pelt;3;Aoashira Shell;1;Bnahabra Shell;2;Killer Beetle;2
Steel Mail;1;3;1;0;1;2;14;2;-2;0;0;2;Defense;4;Sharpener;2;Antiseptic;1;;;;;Isisium Ore;2;Lightcrystal;1;Bealite Ore;3;Iron Ore;10
Froggi Mail;1;3;1;0;1;2;14;2;1;0;-2;-4;Constitutn;1;Perception;1;Stun;-2;Status;3;;;Grt Froggi Hide;2;Grt Frggi Arm;1;Poison Sac;3;Ice Crystal;5
Froggi Vest;1;3;1;0;2;2;7;4;2;0;-1;-2;Constitutn;1;Perception;1;Stun;-2;Status;3;;;Grt Froggi Hide;2;Grt Frggi Arm;1;Poison Sac;3;Ice Crystal;5
Urukusu Mail;2;3;1;0;1;2;14;-4;-2;1;2;2;Evasion;3;Ice Res;2;Cold Res;1;Heat Res;-1;;;Urukusu Belly;2;Urukusu Pelt;2;Baggi Scale;4;Killer Beetle;3
Urukusu Vest;2;3;1;0;2;2;7;-2;-1;3;3;4;Evasion;3;Ice Res;1;Cold Res;1;Heat Res;-2;;;Urukusu Belly;2;Urukusu Pelt;2;Baggi Scale;4;Killer Beetle;3
Qurupeco Mail;1;3;0;0;1;2;12;2;-1;2;-2;-4;Wide Area;4;Psychic;2;Rec Level;2;Eating;-1;;;Vibrant Down;1;Qurupeco Scale;2;Med Mnster Bone;2;Carpenterbug;3
Qurupeco Vest;1;3;0;0;2;2;6;4;0;4;-1;-3;Wide Area;2;Psychic;4;Rec Level;2;Eating;-1;;;Vibrant Down;1;Qurupeco Scale;2;Med Mnster Bone;2;Carpenterbug;3
Ludroth Mail;1;3;1;0;1;2;14;-4;-2;1;2;-2;Stamina;3;Hunger;1;Water Atk;1;ThunderRes;-2;;;Spongy Hide;2;RoyalLudrothClw;1;Ludroth Hide;3;Killer Beetle;2
Ludroth Vest;1;3;1;0;2;2;7;-2;-1;2;4;-1;Stamina;3;Hunger;1;Water Atk;1;ThunderRes;-2;;;Spongy Hide;2;RoyalLudrothClw;1;Ludroth Hide;3;Killer Beetle;2
Barroth Mail;1;3;0;0;1;2;16;-4;2;0;4;-3;Guard;2;KO;1;Defense;4;Constitutn;-2;;;Barroth Skl Shl;1;Barroth Spine;2;Fertile Mud;2;Bulldrome Hide;4
Barroth Vest;1;3;0;0;2;2;8;-4;4;0;4;-1;NormalS Up;3;Precision;1;Defense;3;Constitutn;-2;;;Barroth Skl Shl;1;Barroth Spine;2;Fertile Mud;2;Bulldrome Hide;4
Ingot Mail;2;4;1;0;1;2;20;-2;1;0;-2;-2;WindPress;3;Thundr Atk;1;Whim;-1;Quake Res;2;;;Dragonite Ore;4;Fire Stone;1;Pelagicite Ore;1;Bealite Ore;3
Ingot Vest;2;4;1;0;2;2;10;-1;2;0;-1;-1;PelletS Up;2;Thundr Atk;1;Whim;-2;PierceSAdd;2;;;Dragonite Ore;4;Fire Stone;1;Pelagicite Ore;1;Bealite Ore;3
Baggi Mail;2;4;1;0;1;2;16;-4;-1;1;-1;2;Attack;3;Ice Attack;1;Rec Speed;1;Fire Res;-2;;;Regal Crest;1;Grt Baggi Claw;1;Baggi Hide;2;Pelagicite Ore;2
Baggi Vest;2;4;1;0;2;2;8;-2;0;2;0;4;Attack;3;Ice Attack;1;Rec Speed;1;Fire Res;-2;;;Regal Crest;1;Grt Baggi Claw;1;Baggi Hide;2;Pelagicite Ore;2
Ranguro Mail;2;4;0;0;1;2;16;2;-1;2;-4;-2;Evasion;1;Fire Res;3;Heat Res;3;Cold Res;-2;;;Rangurotora Shl;3;Rangrtora Belly;1;Giant Bone;2;Uroktor Scale;4
Ranguro Vest;2;4;0;0;2;2;8;4;0;4;-2;-1;Evasion;2;Fire Res;2;Heat Res;3;Cold Res;-2;;;Rangurotora Shl;3;Rangrtora Belly;1;Giant Bone;2;Uroktor Scale;4
Rathian Mail;2;4;1;0;1;2;18;2;-2;-4;0;0;Health;3;Protection;1;Fire Atk;1;Rec Speed;-2;;;Rathian Scale;4;Rathian Webbing;3;FireWyvrnMarrow;1;Machalite Ore;5
Rathian Vest;2;4;1;0;2;2;9;4;-1;-3;0;1;Health;2;Protection;2;Fire Atk;1;Rec Speed;-2;;;Rathian Scale;4;Rathian Webbing;3;FireWyvrnMarrow;1;Machalite Ore;5
Hapuru Mail;2;4;1;0;1;2;18;2;-2;0;-1;-3;Eating;3;Water Atk;1;Gluttony;1;Hunger;-2;;;Hapurbokka Hide;4;Hapurubokka Clw;1;Hapurubokka Shl;3;Brilliant Fluid;4
Hapuru Vest;2;4;1;0;2;2;9;4;-1;0;0;-2;Eating;3;Water Atk;1;Gluttony;1;Hunger;-2;;;Hapurbokka Hide;4;Hapurubokka Clw;1;Hapurubokka Shl;3;Brilliant Fluid;4
Nebula Mail;2;4;2;0;1;2;18;-4;3;-2;0;3;Status;1;ThunderRes;1;Stun;1;Health;-2;;;Gigginox Claw;2;Gigginox Hide;3;Poison Gland;3;Isisium Ore;4
Nebula Vest;2;4;2;0;2;2;9;-2;4;-1;0;4;Status;1;ThunderRes;1;Stun;1;Health;-2;;;Gigginox Claw;2;Gigginox Hide;3;Poison Gland;3;Isisium Ore;4
Narga Mail;2;5;0;0;1;3;20;-3;-4;-1;1;0;Evade Dist;4;Will Recov;2;Sense;1;Attack;-2;;;Narga Scale;3;Nargacuga Fang;4;Black Narga Plt;3;Zuwaroposu Hide;6
Narga Vest;2;5;0;0;2;3;10;-1;-2;0;3;1;Evade Dist;4;Will Recov;1;Sense;1;Attack;-3;;;Narga Scale;3;Nargacuga Fang;4;Black Narga Plt;3;Zuwaroposu Hide;6
Barioth Mail;2;5;1;0;1;3;20;-4;-3;-1;1;2;Stamina;3;Constitutn;1;Ice Attack;1;Will Recov;-2;;;Barioth Shell;3;Barioth Tail;1;Barioth Spike;1;Hercudrome;3
Barioth Vest;2;5;1;0;2;3;10;-2;-1;0;2;4;Stamina;3;Constitutn;1;Ice Attack;1;Will Recov;-2;;;Barioth Shell;3;Barioth Tail;1;Barioth Spike;1;Hercudrome;3
Rathalos Mail;3;5;1;0;1;3;22;2;-2;-4;-1;-1;Debilitate;3;Attack;1;Fire Atk;1;Rec Level;-2;;;Rathalos Shell;2;Rathalos Scale;4;Rathalos Webbng;3;Bealite Ore;6
Rathalos Vest;3;5;1;0;2;3;11;4;-1;-2;0;0;Debilitate;3;Attack;1;Fire Atk;1;Rec Level;-2;;;Rathalos Shell;2;Rathalos Scale;4;Rathalos Webbng;3;Bealite Ore;6
Uragaan Mail;2;5;1;0;1;3;22;2;1;-3;-5;-2;PunishDraw;3;Defense;1;Fire Res;1;Water Res;-2;;;Uragaan Jaw;1;Uragaan Shield;1;Uragaan Shell;3;Rangurotora Shl;2
Uragaan Vest;2;5;1;0;2;3;11;4;2;-2;-4;-1;PierceS Up;3;Defense;1;Fire Res;1;Water Res;-2;;;Uragaan Jaw;1;Uragaan Shield;1;Uragaan Shell;3;Rangurotora Shl;2
Jinouga Mail;3;5;0;0;1;3;22;-1;3;0;-2;-3;Awaken;3;Thundr Atk;1;Sharpness;2;Sense;-3;;;Jinouga Pelt;1;Jinouga Shell;2;Static Carapace;2;Thunderbug;10
Jinouga Vest;3;5;0;0;2;3;11;0;5;0;-1;-1;Awaken;3;Thundr Atk;2;NormalS Up;1;Sense;-3;;;Jinouga Pelt;1;Jinouga Shell;2;Static Carapace;2;Thunderbug;10
Diablos Mail;3;6;1;0;1;3;24;2;-1;-1;-1;-3;Crit Draw;2;FatigueAtk;1;Quake Res;2;Status;-2;;;Twisted Horn;2;Diablos Spine;3;Diablos Shell;3;Grt Frggi Arm;3
Diablos Vest;3;6;1;0;2;3;12;4;0;0;0;-2;PierceS Up;2;NormalSAdd;1;FatigueAtk;1;Status;-3;;;Twisted Horn;2;Diablos Spine;3;Diablos Shell;3;Grt Frggi Arm;3
Tigrex Mail;3;6;2;0;1;3;24;2;-4;-2;-1;0;HearProtct;2;Psychic;1;Gluttony;1;Protection;-1;;;Tigrex Claw;5;Tigrex Shell;3;Tigrex Tail;1;Ludroth Hide;6
Tigrex Vest;3;6;2;0;2;3;12;3;-2;-1;0;0;HearProtct;1;Psychic;1;Gluttony;1;Protection;-2;;;Tigrex Claw;5;Tigrex Shell;3;Tigrex Tail;1;Ludroth Hide;6
Agnaktor Mail;3;6;1;0;1;3;24;4;0;-4;-4;-2;Guard;1;Sharpness;2;Expert;2;Potential;-2;;;Agnaktor Hide;4;Agnaktor Fin;2;Agnaktor Shell;5;Grt Froggi Hide;5
Agnaktor Vest;3;6;1;0;2;3;12;5;0;-2;-2;-1;NormalS Up;2;PierceSAdd;2;Precision;1;Potential;-2;;;Agnaktor Hide;4;Agnaktor Fin;2;Agnaktor Shell;5;Grt Froggi Hide;5
Doboru Mail;3;6;1;0;1;3;24;-3;-2;0;1;-2;Slam;2;Potential;1;Attack;1;Expert;-3;;;Doboru Kelp;3;Doboru Horn;2;Doboru Shell;4;Bullfango Pelt;4
Doboru Vest;3;6;1;0;2;3;12;-2;-1;0;3;-1;Slam;1;Potential;1;Recoil;3;Expert;-2;;;Doboru Kelp;3;Doboru Horn;2;Doboru Shell;4;Bullfango Pelt;4
Guild Bard Suit;3;5;0;1;1;3;20;0;0;0;0;0;Rewards;3;Perception;2;Wide Area;1;Fate;-3;;;Commendation;1;Drink Ticket;1;Dragonite Ore;5;Poison Gland;4
Guild Bard Vest;3;5;0;1;2;3;10;0;0;0;0;0;Rewards;3;Perception;2;Wide Area;2;Fate;-2;;;Commendation;1;Drink Ticket;1;Dragonite Ore;5;Poison Gland;4
Scholar Suit;3;5;0;2;1;3;20;0;0;0;0;0;Rewards;3;Perception;2;Wide Area;1;Fate;-3;;;Commendation;1;Drink Ticket;1;Dragonite Ore;5;Poison Gland;4
Scholar Vest;3;5;0;2;2;3;10;0;0;0;0;0;Rewards;3;Perception;2;Wide Area;2;Fate;-2;;;Commendation;1;Drink Ticket;1;Dragonite Ore;5;Poison Gland;4
Nightmare Toronko;1;4;2;0;1;3;16;-4;0;0;1;2;FastCharge;1;LastingPwr;1;SpeedSetup;1;Guard;-2;;;Pepipo Pumpkin;3;Pale Extract;2;Bomberry;10;Cactus Flower;10
Nightmare Toronko;1;4;2;0;1;3;16;-4;0;0;1;2;FastCharge;1;LastingPwr;1;SpeedSetup;1;Guard;-2;;;Pepipo Pumpkin;3;Pale Extract;2;Bomberry;10;Cactus Flower;10
Nightmare Shtam;1;4;2;0;2;3;8;-2;0;0;2;4;FastCharge;1;LastingPwr;1;SpeedSetup;1;Precision;-2;;;Pepipo Pumpkin;3;Pale Extract;2;Bomberry;10;Cactus Flower;10
Nightmare Shtam;1;4;2;0;2;3;8;-2;0;0;2;4;FastCharge;1;LastingPwr;1;SpeedSetup;1;Precision;-2;;;Pepipo Pumpkin;3;Pale Extract;2;Bomberry;10;Cactus Flower;10
