name;hr;village;slots;skill_one;skill_one_points;skill_two;skill_two_points;material_one;amount_one;material_two;amount_two;material_three;amount_three;material_four;amount_four;alt_material_one;alt_amount_one;alt_material_two;alt_amount_two;alt_material_three;alt_amount_three;alt_material_four;alt_amount_four
Steadfast Jwl 1;1;2;1;Stun;1;Paralysis;-1;Aquaglow Jewel;1;Bird Wyvern Fang;3;;;;;;;;;;;;
Vigilance Jwl 1;1;3;1;Stun;2;;;Sunspire Jewel;1;King's Frill;1;Arzuros Pelt;2;;;Bloodrun Jewel;1;G.Jaggi Hide+;2;;;;
Paralysis Jwl 1;1;2;1;Paralysis;1;Poison;-1;Aquaglow Jewel;1;Bnahabra Shell;2;;;;;;;;;;;;
Paralysis Jwl 2;1;4;2;Paralysis;3;Poison;-1;Sunspire Jewel;1;Volvidon Claw;2;Monster Fluid;2;;;Bloodrun Jewel;1;Omniplegia Sac;1;;;;
Pep Jewel 1;2;3;1;Sleep;1;Mud/Snow;-1;Aquaglow Jewel;1;Baggi Hide;2;;;;;;;;;;;;
Pep Jewel 2;2;4;2;Sleep;3;Mud/Snow;-1;Sunspire Jewel;1;King's Crest;1;Warm Pelt;2;;;Bloodrun Jewel;1;Coma Sac;1;;;;
Antidote Jewel 1;1;2;1;Poison;1;Stun;-1;Aquaglow Jewel;1;Wroggi Hide;2;;;;;;;;;;;;
Antidote Jewel 2;1;3;2;Poison;3;Stun;-1;Sunspire Jewel;1;G.Wroggi Brace;2;Screamer;2;;;Bloodrun Jewel;1;Toxin Sac;1;;;;
Def Lock Jewel 1;1;2;1;Def Lock;2;;;Aquaglow Jewel;1;Adamant Seed;2;Catalyst;2;;;;;;;;;;
Alarm Jewel 1;1;2;1;Anti-Theft;2;;;Aquaglow Jewel;1;Felvine;3;;;;;;;;;;;;
Tracker Jewel 1;1;3;1;Mud/Snow;1;Sleep;-1;Aquaglow Jewel;1;Rhenoplos Shell;2;;;;;;;;;;;;
Trekker Jewel 1;2;4;1;Mud/Snow;2;;;Sunspire Jewel;1;Volvi Rickrack;1;Bealite Ore;2;;;;;;;;;;
Sterile Jewel 1;1;3;1;Antiseptic;1;Sense;-1;Aquaglow Jewel;1;Hydro Hide;2;;;;;;;;;;;;
Aseptic Jewel 1;1;3;1;Antiseptic;2;;;Sunspire Jewel;1;Spongy Hide;1;Earth Crystal;2;;;;;;;;;;
Footing Jewel 1;1;3;1;Tremor Resistance;1;Sleep;-1;Aquaglow Jewel;1;Fertile Mud;1;;;;;;;;;;;;
Tectonic Jewel 1;2;4;1;Tremor Resistance;2;;;Sunspire Jewel;1;Nibelsnarf Scalp;1;Carpenterbug;2;;;;;;;;;;
Heat Res Jewel 1;1;2;1;Heat Res;2;;;Aquaglow Jewel;1;Ice Crystal;3;;;;;;;;;;;;
Cold Res Jewel 1;2;3;1;Cold Res;2;;;Aquaglow Jewel;1;Baggi Scale;2;;;;;;;;;;;;
Earplug Jewel 1;2;4;1;Hearing;1;Protection;-1;Sunspire Jewel;1;Rathian Webbing;1;Lagombi Ear;2;;;Bloodrun Jewel;1;Tigrex Carapace;2;;;;
Earplug Jewel 3;6;-1;3;Hearing;4;Protection;-2;Lazurite Jewel;1;B.Tigrex Fang+;2;Uncanny Hide+;2;;;;;;;;;;
Wind Res Jewel 1;3;5;1;Wind Res;1;Fate;-1;Sunspire Jewel;1;Zinogre Claw;1;Dragonite Ore;2;;;;;;;;;;
Wind Res Jewel 2;5;-1;2;Wind Res;3;Fate;-1;Bloodrun Jewel;1;Indigo Tusks+;1;Carbalite Ore;3;;;;;;;;;;
Attack Jewel 1;1;2;1;Attack;1;Defense;-1;Aquaglow Jewel;1;Jaggi Scale;2;Might Seed;1;;;;;;;;;;
Attack Jewel 2;2;4;2;Attack;3;Defense;-1;Sunspire Jewel;1;Rath Talon;2;Demondrug;1;;;;;;;;;;
Attack Jewel 3;5;-1;3;Attack;5;Defense;-1;Bloodrun Jewel;1;Barioth Claw+;1;Mega Demondrug;2;;;;;;;;;;
Expert Jewel 1;1;2;1;Expert;1;Dragon Res;-1;Aquaglow Jewel;1;Sharpened Fang;2;Iron Ore;1;;;;;;;;;;
Expert Jewel 2;2;5;2;Expert;3;Dragon Res;-1;Sunspire Jewel;1;Nargacuga Razor;1;G.Baggi Claw;2;;;Bloodrun Jewel;1;R.Ludroth Scale+;2;;;;
Expert Jewel 3;6;-1;3;Expert;5;Dragon Res;-1;Lazurite Jewel;1;Akantor Spike;1;Nibel Carapace;2;;;;;;;;;;
Disabler Jewel 1;1;3;1;Status;1;ElementAtk;-1;Sunspire Jewel;1;Bnahabra Wing;3;Bnahabra Spine;2;;;Bloodrun Jewel;1;Bnaha Carapace;2;Quality Fin;2;;
Disabler Jewel 2;5;-1;2;Status;3;ElementAtk;-1;Bloodrun Jewel;1;Gigginox Claw+;1;Monster Broth;2;;;;;;;;;;
Element Jewel 1;6;-1;1;ElementAtk;1;Status;-1;Bloodrun Jewel;1;Alatreon Scute;2;;;;;;;;;;;;
Element Jewel 3;6;-1;3;ElementAtk;4;Status;-2;Lazurite Jewel;1;Alatreon Talon;2;Zinogre Shocker+;1;;;;;;;;;;
Blaze Jewel 1;2;4;1;Fire Atk;1;Water Atk;-1;Sunspire Jewel;1;Rathian Scale;2;;;;;;;;;;;;
Blaze Jewel 2;5;-1;2;Fire Atk;3;Water Atk;-1;Bloodrun Jewel;1;Inferno Sac;1;Volvi Carapace;2;;;;;;;;;;
Stream Jewel 1;1;3;1;Water Atk;1;Thundr Atk;-1;Sunspire Jewel;1;R.Ludroth Crest;1;;;;;;;;;;;;
Stream Jewel 2;5;-1;2;Water Atk;3;Thundr Atk;-1;Bloodrun Jewel;1;Brilliant Fluid;1;P.Ludroth Scale+;2;;;;;;;;;;
Bolt Jewel 1;2;4;1;Thundr Atk;1;Ice Atk;-1;Sunspire Jewel;1;Gigginox Claw;1;Thunderbug;2;;;;;;;;;;
Bolt Jewel 2;5;-1;2;Thundr Atk;3;Ice Atk;-1;Bloodrun Jewel;1;Thunder Sac;1;C.Peco Scale+;2;;;;;;;;;;
Frost Jewel 1;2;4;1;Ice Atk;1;Fire Atk;-1;Sunspire Jewel;1;G.Baggi Hide;2;;;;;;;;;;;;
Frost Jewel 2;5;-1;2;Ice Atk;3;Fire Atk;-1;Bloodrun Jewel;1;Frozen Glob;1;Lagom Plastron+;2;;;;;;;;;;
Dragon Jewel 1;3;6;1;Dragon Atk;1;Status;-1;Sunspire Jewel;1;Mohran Scale;2;;;;;;;;;;;;
Dragon Jewel 2;5;-1;2;Dragon Atk;3;Status;-1;Bloodrun Jewel;1;Dragonbone Relic;2;Rath Carapace;2;;;;;;;;;;
Tenderizer Jwl 1;3;5;1;Tenderizer;1;Health;-1;Sunspire Jewel;1;Rathalos Webbing;1;Rathian Spike;1;;;Bloodrun Jewel;1;Rathalos Scale+;2;;;;
Tenderizer Jwl 3;6;-1;3;Tenderizer;4;Health;-2;Lazurite Jewel;1;Akantor Fang;1;Rathalos Ruby;1;;;;;;;;;;
Destroyer Jwl 1;3;6;1;Destroyer;1;Expert;-1;Sunspire Jewel;1;Duramboros Hump;1;Duramboros Shell;2;;;Bloodrun Jewel;1;Hard Mossplate;2;;;;
Destroyer Jwl 3;6;-1;3;Destroyer;4;Expert;-2;Lazurite Jewel;1;Ukanlos Claw;1;Rathian Ruby;1;;;;;;;;;;
Capacity Jewel 1;3;6;1;Loading;1;Reload Speed;-1;Sunspire Jewel;1;Mohran Brace;1;Tigrex Claw;2;;;Bloodrun Jewel;1;Deviljho Scalp;1;;;;
Capacity Jewel 3;6;-1;3;Loading;4;Reload Speed;-2;Lazurite Jewel;1;Mohran Brace+;1;Wyvern Stone;1;;;;;;;;;;
Charger Jewel 1;2;4;1;FastCharge;1;Constitutn;-1;Sunspire Jewel;1;Nibelsnarf Claw;1;Barroth Ridge;2;;;Bloodrun Jewel;1;Tigrex Scale+;2;;;;
Charger Jewel 3;6;-1;3;FastCharge;4;Constitutn;-2;Lazurite Jewel;1;Mohran Carapace;1;S.Bari Carapace;2;;;;;;;;;;
Throttle Jewel 1;3;5;1;Gloves Off;1;Sense;-1;Sunspire Jewel;1;Zinogre Horn;1;Barioth Spike;2;;;Bloodrun Jewel;1;Zinogre Horn+;1;;;;
Throttle Jewel 2;6;-1;2;Gloves Off;3;Sense;-1;Lazurite Jewel;1;Amatsu Horn;1;G.Narga Pelt+;2;;;;;;;;;;
KO Jewel 1;2;5;1;KO;1;FastCharge;-1;Sunspire Jewel;1;Monster Bone+;2;Rhenoplos Scalp;1;;;;;;;;;;
KO Jewel 2;3;6;2;KO;3;FastCharge;-1;Sunspire Jewel;1;Diablos Ridge;2;Butterfly Beetle;2;;;Bloodrun Jewel;1;Stout Bone;2;;;;
Drain Jewel 1;1;3;1;Stam Drain;1;Stamina;-1;Sunspire Jewel;1;Barroth Claw;1;Monster Bone M;1;;;;;;;;;;
Drain Jewel 2;2;5;2;Stam Drain;3;Stamina;-1;Sunspire Jewel;1;Narga Tailspike;2;Hot Spring Ticket;1;;;Bloodrun Jewel;1;Barroth Claw+;1;;;;
Potential Jwl 1;3;6;1;Potential;1;Protection;-1;Sunspire Jewel;1;Duram Mossplate;2;;;;;;;;;;;;
Potential Jwl 2;5;-1;2;Potential;3;Protection;-1;Bloodrun Jewel;1;J.Barroth Ridge+;2;Lagombi Ear+;2;;;;;;;;;;
Fortitude Jwl 1;1;3;1;Survivor;1;Rec Level;-1;Sunspire Jewel;1;Armament Invite;1;;;;;;;;;;;;
Fortitude Jwl 2;4;-1;2;Survivor;3;Rec Level;-1;Bloodrun Jewel;1;W.Crow Feather;1;;;;;;;;;;;;
Bombardier Jwl 1;1;3;1;Bomb Boost;2;;;Sunspire Jewel;1;Flintstone;1;G.Jaggi Hide;1;;;;;;;;;;
Sonorous Jewel 1;1;3;1;Maestro;2;;;Sunspire Jewel;1;Strange Beak;1;Field Horn;1;;;;;;;;;;
Artillery Jwl 1;1;3;1;Artillery;2;;;Sunspire Jewel;1;Isisium;1;Barrel Bomb L+;2;;;;;;;;;;
Defense Jewel 1;1;2;1;Defense;1;Attack;-1;Aquaglow Jewel;1;Arzuros Shell;1;Adamant Seed;2;;;;;;;;;;
Defense Jewel 2;2;5;2;Defense;3;Attack;-1;Sunspire Jewel;1;Uragaan Shell;2;Armorskin;2;;;Bloodrun Jewel;1;Arzuros Brace+;1;Mega Armorskin;2;;
Resistor Jewel 1;6;-1;1;Blight Res;1;Health;-1;Lazurite Jewel;1;Alatreon Plate;2;;;;;;;;;;;;
Resistor Jewel 3;6;-1;3;Blight Res;4;Health;-2;Lazurite Jewel;1;Skypiercer;1;;;;;;;;;;;;
Fire Res Jewel 1;1;2;1;Fire Res;1;Water Res;-1;Aquaglow Jewel;1;Fire Herb;5;;;;;;;;;;;;
Nul-Fire Jewel 1;2;4;1;Fire Res;2;;;Sunspire Jewel;1;Flame Sac;2;Monster Bone L;3;;;;;;;;;;
Water Res Jwl 1;1;2;1;Water Res;1;ThunderRes;-1;Aquaglow Jewel;1;Whetfish;5;;;;;;;;;;;;
Nul-Water Jwl 1;1;3;1;Water Res;2;;;Sunspire Jewel;1;Aqua Sac;2;Monster Bone L;3;;;;;;;;;;
ThunderRes Jwl 1;1;2;1;ThunderRes;1;Ice Res;-1;Aquaglow Jewel;1;Thunderbug;3;;;;;;;;;;;;
Nul-Thundr Jwl 1;3;5;1;ThunderRes;2;;;Sunspire Jewel;1;Zinogre Shocker;1;Monster Bone L;1;;;;;;;;;;
Ice Res Jewel 1;1;2;1;Ice Res;1;Fire Res;-1;Aquaglow Jewel;1;Ice Crystal;5;;;;;;;;;;;;
Nul-Ice Jewel 1;2;3;1;Ice Res;2;;;Sunspire Jewel;1;Lagombi Claw;2;Monster Bone L;3;;;;;;;;;;
Dragon Res Jwl 1;1;2;1;Dragon Res;1;Poison;-1;Aquaglow Jewel;1;Dragonfell Berry;2;;;;;;;;;;;;
Nul-Dragon Jwl 1;5;-1;1;Dragon Res;2;;;Bloodrun Jewel;1;Dragonbone Relic;1;Monster Keenbone;2;;;;;;;;;;
Protection Jwl 1;2;4;1;Protection;1;;;Sunspire Jewel;1;Rathian Shell;2;;;;;;;;;;;;
Asylum Jewel 1;6;-1;1;Protection;2;;;Lazurite Jewel;1;G.Rath Carapace;2;Yukumo Ticket;1;;;;;;;;;;
Vitality Jewel 1;1;2;1;Health;2;;;Aquaglow Jewel;1;Bulldrome Hide;1;;;;;;;;;;;;
Recovery Jewel 1;1;2;1;Rec Speed;1;Eating;-1;Aquaglow Jewel;1;Jaggi Hide;2;;;;;;;;;;;;
Recovery Jewel 2;1;4;2;Rec Speed;3;Eating;-1;Sunspire Jewel;1;Gigginox Hide;1;Pale Extract;2;;;Bloodrun Jewel;1;G.Baggi Hide+;2;;;;
Medicine Jewel 1;1;3;1;Rec Level;1;Rec Speed;-1;Sunspire Jewel;1;Qurupeco Scale;1;Kelbi Horn;2;;;;;;;;;;
Medicine Jewel 2;4;-1;2;Rec Level;3;Rec Speed;-1;Bloodrun Jewel;1;Qurupeco Scale+;1;Ancient Potion;1;;;;;;;;;;
Evasion Jewel 1;2;3;1;Evasion;1;Health;-1;Sunspire Jewel;1;Lagombi Plastron;2;Killer Beetle;2;;;Bloodrun Jewel;1;Narga Razor+;1;;;;
Evasion Jewel 2;5;-1;2;Evasion;3;Health;-1;Lazurite Jewel;1;S.Barioth Pelt+;2;Lagombi Pelt+;2;;;;;;;;;;
