name;hr;village;slots;gender;type;rarity;defense;fire;thunder;dragon;water;ice;skill_one;skill_one_points;skill_two;skill_two_points;skill_three;skill_three_points;skill_four;skill_four_points;skill_five;skill_five_points;material_one;amount_one;material_two;amount_two;material_three;amount_three;material_four;amount_four
Yukumo Hat;1;1;0;0;0;1;1;0;3;0;0;0;Protection;2;Whim;2;Expert;2;;;;;Yukumo Wood;1;Gagua Feather;1;;;;
Leather Helm;1;1;1;0;0;1;1;-1;0;1;0;0;HiSpdGathr;2;Gathering;2;Whim;3;;;;;Warm Pelt;1;Iron Ore;1;;;;
Chain Helm;1;1;1;0;0;1;2;2;-2;0;1;1;Health;2;Combo Rate;4;Shot Mix;1;;;;;Earth Crystal;1;Iron Ore;1;;;;
Hunter's Helm;1;1;1;0;0;1;6;0;-4;0;1;0;Huntsman;2;Psychic;2;SpeedSetup;3;Poison;-2;;;Machalite Ore;1;Iron Ore;1;Carpenterbug;2;;
Hunter's Cap;1;1;1;0;0;1;3;1;-2;1;2;0;Huntsman;4;Psychic;4;SpeedSetup;2;Poison;-1;;;Machalite Ore;1;Iron Ore;1;Carpenterbug;2;;
Bone Helm;1;2;1;0;0;1;8;2;-1;0;0;-2;Horn;1;Gathering;3;KO;2;Sleep;-3;;;Large Fin;3;Unknown Skull;1;Sharp Fang;2;;
Bone Cap;1;2;1;0;0;1;4;4;0;0;0;-1;Horn;3;Gathering;3;KO;4;Sleep;-1;;;Large Fin;3;Unknown Skull;1;Sharp Fang;2;;
Alloy Helm;1;2;1;0;0;1;8;-1;-2;-1;1;-2;WindPress;2;Expert;1;Sharpener;3;Gathering;-3;;;Machalite Ore;3;Bealite Ore;2;Iron Ore;3;;
Alloy Cap;1;2;1;0;0;1;4;0;-1;0;2;-1;PelletS Up;3;Reload Spd;3;PelletSAdd;3;Gathering;-2;;;Machalite Ore;3;Bealite Ore;2;Iron Ore;3;;
Bnahabra Helm;1;2;1;0;0;2;10;-5;2;4;-2;-2;Status;1;Sheathe;1;Sense;4;Attack;-3;;;Bnahabra Shell;2;Bnahabra Wing;3;Killer Beetle;1;Carpenterbug;2
Bnahabra Cap;1;2;1;0;0;2;5;-3;3;5;-1;-1;Status;3;Sheathe;3;Sense;4;Attack;-1;;;Bnahabra Shell;2;Bnahabra Wing;3;Killer Beetle;1;Carpenterbug;2
Rhenoplos Helm;1;3;1;0;0;2;10;2;-2;1;-2;-2;Will Recov;2;Gunnery;1;Mud/Snow;3;Ice Res;-3;;;Rhnplos Skl Shl;1;Rhenoplos Shell;2;Ice Crystal;2;;
Rhenoplos Cap;1;3;1;0;0;2;5;3;-1;2;-1;-1;Will Recov;4;Gunnery;2;Precision;4;Ice Res;-1;;;Rhnplos Skl Shl;1;Rhenoplos Shell;2;Ice Crystal;2;;
Jaggi Helm;1;2;1;0;0;2;12;-4;-2;1;-2;-2;Attack;2;Perception;2;Rec Speed;2;LastingPwr;-3;;;Grt Jaggi Hide;3;Grt Jaggi Claw;1;Jaggi Scale;2;Iron Ore;3
Jaggi Cap;1;2;1;0;0;2;6;-2;-1;2;-1;-1;Attack;3;Perception;3;Rec Speed;4;LastingPwr;-1;;;Grt Jaggi Hide;3;Grt Jaggi Claw;1;Jaggi Scale;2;Iron Ore;3
Aoashira Helm;1;1;1;0;0;2;12;-3;-1;1;1;-2;Gluttony;1;Defense;2;Stun;3;Paralysis;-3;;;Aoashira Shell;2;Aoashira Pelt;2;Giant Bone;2;Carpenterbug;3
Aoashira Cap;1;1;1;0;0;2;6;-2;0;3;2;-1;Gluttony;3;Defense;3;Stun;3;Paralysis;-2;;;Aoashira Shell;2;Aoashira Pelt;2;Giant Bone;2;Carpenterbug;3
Froggi Helm;1;3;1;0;0;2;14;2;1;0;-2;-4;Constitutn;2;Perception;2;Poison;2;Stun;-3;;;Regal Snout;1;Grt Froggi Hide;2;Froggi Scale;2;Killer Beetle;2
Froggi Cap;1;3;1;0;0;2;7;4;2;0;-1;-2;Constitutn;4;Perception;4;Poison;2;Stun;-1;;;Regal Snout;1;Grt Froggi Hide;2;Froggi Scale;2;Killer Beetle;2
Urukusu Helm;2;3;0;0;0;2;14;-4;-2;1;2;2;Evasion;2;Ice Res;4;Cold Res;2;Heat Res;-3;;;Urukusu Ear;2;Giant Bone;2;Baggi Hide;4;Isisium Ore;2
Urukusu Cap;2;3;0;0;0;2;7;-2;-1;3;3;4;Evasion;4;Ice Res;4;Cold Res;4;Heat Res;-1;;;Urukusu Ear;2;Giant Bone;2;Baggi Hide;4;Isisium Ore;2
Qurupeco Helm;1;3;1;0;0;2;12;2;-1;2;-2;-4;Wide Area;1;Rec Level;3;Eating;-3;Horn;2;;;Queer Beak;2;Qurupeco Feathr;2;Med Mnster Bone;2;Carpenterbug;3
Qurupeco Cap;1;3;1;0;0;2;6;4;0;4;-1;-3;Wide Area;4;Rec Level;4;Eating;-1;Horn;2;;;Queer Beak;2;Qurupeco Feathr;2;Med Mnster Bone;2;Carpenterbug;3
Ludroth Helm;1;3;1;0;0;2;14;-4;-2;1;2;-2;Stamina;2;Hunger;3;Water Atk;1;ThunderRes;-3;;;RyalLudrthCrest;2;RoyalLudrthTail;1;RoyalLudrothScl;2;Carpenterbug;3
Ludroth Cap;1;3;1;0;0;2;7;-2;-1;2;4;-1;Stamina;4;Hunger;3;Water Atk;3;ThunderRes;-1;;;RyalLudrthCrest;2;RoyalLudrthTail;1;RoyalLudrothScl;2;Carpenterbug;3
Barroth Helm;1;3;1;0;0;2;16;0;2;0;0;-3;Guard;3;KO;2;Defense;1;Constitutn;-3;;;Barroth Spine;2;Barroth Shell;1;Barroth Skl Shl;1;Rhnplos Skl Shl;2
Barroth Cap;1;3;1;0;0;2;8;2;4;0;2;-1;NormalS Up;3;Precision;3;Defense;3;Constitutn;-2;;;Barroth Spine;2;Barroth Shell;1;Barroth Skl Shl;1;Rhnplos Skl Shl;2
Ingot Helm;2;3;1;0;0;2;20;-2;1;0;-2;-2;WindPress;2;Thundr Atk;2;Sharpener;2;Whim;-3;;;Dragonite Ore;2;Isisium Ore;2;Pelagicite Ore;1;Bealite Ore;3
Ingot Cap;2;3;1;0;0;2;10;-1;2;0;-1;-1;PelletS Up;3;Thundr Atk;2;Reload Spd;4;Whim;-2;;;Dragonite Ore;2;Isisium Ore;2;Pelagicite Ore;1;Bealite Ore;3
Baggi Helm;2;4;1;0;0;2;16;-4;-1;1;-1;2;Attack;1;Ice Attack;2;Rec Speed;3;Fire Res;-3;;;Grt Baggi Hide;3;Grt Baggi Claw;2;Baggi Scale;3;Isisium Ore;2
Baggi Cap;2;4;1;0;0;2;8;-2;0;2;0;4;Attack;4;Ice Attack;2;Rec Speed;4;Fire Res;-1;;;Grt Baggi Hide;3;Grt Baggi Claw;2;Baggi Scale;3;Isisium Ore;2
Ranguro Helm;2;4;1;0;0;2;16;2;-1;2;-4;-2;Evasion;3;Fire Res;1;Heat Res;2;Cold Res;-3;;;Rangurotora Clw;2;Rangurotora Shl;2;Monster Fluid;2;Dragonite Ore;4
Ranguro Cap;2;4;1;0;0;2;8;4;0;4;-2;-1;Evasion;5;Fire Res;2;Heat Res;3;Cold Res;-1;;;Rangurotora Clw;2;Rangurotora Shl;2;Monster Fluid;2;Dragonite Ore;4
Rathian Helm;2;4;1;0;0;2;18;2;-2;-4;0;0;Health;4;Protection;1;Fire Atk;1;Rec Speed;-3;;;Rathian Spike;1;Rathian Scale;4;Rathian Shell;3;Dragonite Ore;3
Rathian Cap;2;4;1;0;0;2;9;4;-1;-3;0;1;Health;5;Protection;3;Fire Atk;2;Rec Speed;-1;;;Rathian Spike;1;Rathian Scale;4;Rathian Shell;3;Dragonite Ore;3
Hapuru Helm;2;4;0;0;0;2;18;2;-2;0;-1;-3;Eating;2;Water Atk;4;Gluttony;2;Hunger;-3;;;Hprbkka Skl Shl;1;Hapurubokka Shl;2;Med Mnster Bone;5;Grt Jaggi Hide;2
Hapuru Cap;2;4;0;0;0;2;9;4;-1;0;0;-2;Eating;4;Water Atk;3;Gluttony;4;Hunger;-2;;;Hprbkka Skl Shl;1;Hapurubokka Shl;2;Med Mnster Bone;5;Grt Jaggi Hide;2
Nebula Helm;2;4;1;0;0;2;18;-4;3;-2;0;3;Status;3;ThunderRes;2;Stun;1;Health;-3;;;Uncanny Hide;2;Gigginox Hide;3;Poison Sac;2;Grt Baggi Hide;3
Nebula Cap;2;4;1;0;0;2;9;-2;4;-1;0;4;Status;4;ThunderRes;2;Stun;4;Health;-1;;;Uncanny Hide;2;Gigginox Hide;3;Poison Sac;2;Grt Baggi Hide;3
Narga Helm;2;5;1;0;0;3;20;-3;-4;-1;1;0;Evade Dist;2;Will Recov;2;Sense;2;Attack;-3;;;Narga TailSpike;2;Black Narga Plt;3;Nargacuga Wing;2;Aoashira Shell;4
Narga Cap;2;5;1;0;0;3;10;-1;-2;0;3;1;Evade Dist;4;Will Recov;3;Sense;2;Attack;-2;;;Narga TailSpike;2;Black Narga Plt;3;Nargacuga Wing;2;Aoashira Shell;4
Barioth Helm;2;5;1;0;0;3;20;-4;-3;-1;1;2;Stamina;2;Constitutn;1;Ice Attack;3;Will Recov;-3;;;Amber Fang;2;Barioth Pelt;3;Barioth Shell;2;Killer Beetle;6
Barioth Cap;2;5;1;0;0;3;10;-2;-1;0;2;4;Stamina;4;Constitutn;5;Ice Attack;1;Will Recov;-1;;;Amber Fang;2;Barioth Pelt;3;Barioth Shell;2;Killer Beetle;6
Rathalos Helm;3;5;1;0;0;3;22;2;-2;-4;-1;-1;Debilitate;1;Attack;4;Fire Atk;1;Rec Level;-3;;;Rathalos Scale;3;Rathalos Shell;3;Fire Wyvern Clw;1;Dragonite Ore;3
Rathalos Cap;3;5;1;0;0;3;11;4;-1;-2;0;0;Debilitate;3;Attack;2;Fire Atk;5;Rec Level;-1;;;Rathalos Scale;3;Rathalos Shell;3;Fire Wyvern Clw;1;Dragonite Ore;3
Uragaan Helm;2;5;1;0;0;3;22;2;1;-3;-5;-2;PunishDraw;3;Defense;1;Fire Res;3;Water Res;-2;;;Uragaan Shell;3;Uragaan Marrow;1;Uragaan Scale;4;Dragonite Ore;3
Uragaan Cap;2;5;1;0;0;3;11;4;2;-2;-4;-1;PierceS Up;4;Defense;5;Fire Res;1;Water Res;-1;;;Uragaan Shell;3;Uragaan Marrow;1;Uragaan Scale;4;Dragonite Ore;3
Jinouga Helm;3;5;2;0;0;3;22;-1;3;0;-2;-3;Awaken;1;Thundr Atk;1;Sharpness;3;Sense;-2;;;Jinouga Horn;1;Jinouga Pelt;2;Jinouga Shell;2;Bulldrome Hide;3
Jinouga Cap;3;5;2;0;0;3;11;0;5;0;-1;-1;Awaken;2;Thundr Atk;2;NormalS Up;3;Sense;-2;;;Jinouga Horn;1;Jinouga Pelt;2;Jinouga Shell;2;Bulldrome Hide;3
Diablos Helm;3;6;1;0;0;3;24;2;-1;-1;-1;-3;Crit Draw;3;FatigueAtk;2;Quake Res;1;Status;-3;;;DiablosTailbone;2;Diablos Shell;4;Diablos Spine;2;Grt Froggi Hide;5
Diablos Cap;3;6;1;0;0;3;12;4;0;0;0;-2;PierceS Up;3;NormalSAdd;4;FatigueAtk;2;Status;-2;;;DiablosTailbone;2;Diablos Shell;4;Diablos Spine;2;Grt Froggi Hide;5
Tigrex Helm;3;6;0;0;0;3;24;2;-4;-2;-1;0;HearProtct;1;Psychic;2;Gluttony;6;Protection;-2;;;Tigrex Skl Shl;1;Tigrex Fang;4;Tigrex Scale;3;Juvenile Sponge;5
Tigrex Cap;3;6;0;0;0;3;12;3;-2;-1;0;0;HearProtct;3;Psychic;5;Gluttony;4;Protection;-1;;;Tigrex Skl Shl;1;Tigrex Fang;4;Tigrex Scale;3;Juvenile Sponge;5
Agnaktor Helm;3;6;1;0;0;3;24;4;0;-4;-4;-2;Guard;2;Sharpness;3;Expert;2;Potential;-2;;;Agnaktor Shell;5;Agnaktor Snout;1;Agnaktor Hide;3;Dragonite Ore;5
Agnaktor Cap;3;6;1;0;0;3;12;5;0;-2;-2;-1;NormalS Up;2;PierceSAdd;4;Precision;3;Potential;-2;;;Agnaktor Shell;5;Agnaktor Snout;1;Agnaktor Hide;3;Dragonite Ore;5
Doboru Helm;3;6;1;0;0;3;24;-3;-2;0;1;-2;Slam;1;Potential;2;Attack;3;Expert;-3;;;Doboru Horn;2;Doboru Shell;4;Monster Bone+;3;Bulldrome Hide;3
Doboru Cap;3;6;1;0;0;3;12;-2;-1;0;3;-1;Slam;3;Potential;2;Recoil;4;Expert;-2;;;Doboru Horn;2;Doboru Shell;4;Monster Bone+;3;Bulldrome Hide;3
Guild Bard Tricorne;3;5;2;1;0;3;20;0;0;0;0;0;Rewards;1;Perception;2;Wide Area;1;Fate;-3;;;Commendation;1;HotSpringTicket;3;Mega Thunderbug;3;Static Carapace;3
Guild Bard Hat;3;5;2;1;0;3;10;0;0;0;0;0;Rewards;4;Perception;1;Wide Area;2;Fate;-2;;;Commendation;1;HotSpringTicket;3;Mega Thunderbug;3;Static Carapace;3
Scholar Hood;3;5;2;2;0;3;20;0;0;0;0;0;Rewards;1;Perception;2;Wide Area;1;Fate;-3;;;Commendation;1;HotSpringTicket;3;Mega Thunderbug;3;Static Carapace;3
Scholar Beret;3;5;2;2;0;3;10;0;0;0;0;0;Rewards;4;Perception;1;Wide Area;2;Fate;-2;;;Commendation;1;HotSpringTicket;3;Mega Thunderbug;3;Static Carapace;3
Nightmare Furore;2;3;2;0;0;3;16;-4;0;0;1;2;FastCharge;1;LastingPwr;2;SpeedSetup;1;Guard;-3;;;Pepipo Pumpkin;1;Hercudrome;2;Dragon Seed;3;Felvine;10
Nightmare Furore;2;3;2;0;0;3;16;-4;0;0;1;2;FastCharge;1;LastingPwr;2;SpeedSetup;1;Guard;-3;;;Pepipo Pumpkin;1;Hercudrome;2;Dragon Seed;3;Felvine;10
Nightmare Brume;2;3;2;0;0;3;8;-2;0;0;2;4;FastCharge;3;LastingPwr;2;SpeedSetup;3;Precision;-1;;;Pepipo Pumpkin;1;Hercudrome;2;Dragon Seed;3;Felvine;10
Nightmare Brume;2;3;2;0;0;3;8;-2;0;0;2;4;FastCharge;3;LastingPwr;2;SpeedSetup;3;Precision;-1;;;Pepipo Pumpkin;1;Hercudrome;2;Dragon Seed;3;Felvine;10
Viking Helm;1;2;1;0;0;3;14;0;-2;0;3;-2;Sharpness;2;Rec Speed;1;Water Res;4;Sharpener;-2;;;Armord Beakfish;4;Cutlassfish;4;Pelagicite Ore;2;Burst Arrowana;10
Viking Cap;1;2;1;0;0;3;7;0;-1;0;5;-4;NormalS Up;2;Rec Speed;3;Water Res;4;Reload Spd;-2;;;Armord Beakfish;4;Cutlassfish;4;Pelagicite Ore;2;Burst Arrowana;10
Rouage Testa;3;4;1;1;0;3;18;-5;3;1;0;-1;HearProtct;2;Expert;1;ThunderRes;3;Protection;-3;;;Swallowtail;1;Thunderbug;3;Pale Extract;3;Flashbug;10
Rouage Caput;3;4;1;1;0;3;9;-4;5;3;0;0;HearProtct;3;Expert;5;ThunderRes;1;Protection;-2;;;Swallowtail;1;Thunderbug;3;Pale Extract;3;Flashbug;10
Falmer Testa;3;4;1;2;0;3;18;-5;3;1;0;-1;HearProtct;2;Expert;1;ThunderRes;3;Protection;-3;;;Swallowtail;1;Thunderbug;3;Pale Extract;3;Flashbug;10
Falmer Caput;3;4;1;2;0;3;9;-4;5;3;0;0;HearProtct;3;Expert;5;ThunderRes;1;Protection;-2;;;Swallowtail;1;Thunderbug;3;Pale Extract;3;Flashbug;10
Yamato Helm;3;6;0;1;0;3;26;3;0;-3;0;-3;Artisan;4;FastCharge;1;Expert;3;Sharpness;-3;;;Jhen Mhran Fang;2;Jhen Mohran Scl;5;Jhen Mohran Shl;5;Pelagicite Ore;10
Courtier Hat;3;6;0;1;0;3;13;5;1;-2;1;-2;Loading;4;FastCharge;2;Expert;4;Recoil;-3;;;Jhen Mhran Fang;2;Jhen Mohran Scl;5;Jhen Mohran Shl;5;Pelagicite Ore;10
Solar Headband;3;6;0;2;0;3;26;3;0;-3;0;-3;Artisan;4;FastCharge;1;Expert;3;Sharpness;-3;;;Jhen Mhran Fang;2;Jhen Mohran Scl;5;Jhen Mohran Shl;5;Pelagicite Ore;10
Divine Headband;3;6;0;2;0;3;13;5;1;-2;1;-2;Loading;4;FastCharge;2;Expert;4;Recoil;-3;;;Jhen Mhran Fang;2;Jhen Mohran Scl;5;Jhen Mohran Shl;5;Pelagicite Ore;10
Gagua Mask;1;1;0;0;0;3;8;-4;-1;1;-2;2;Combo Rate;10;;;;;;;;;Gagua Feather;7;Yukumo Wood;5;;;;
Zuwaro Helm;1;2;0;0;0;3;12;-2;0;1;2;-1;Health;5;Water Res;6;;;;;;;Zuwaroposu Hide;2;Bulldrome Hide;2;Bullfango Pelt;3;;
Zuwaro Cap;1;2;0;0;0;3;6;-1;0;2;4;0;Health;5;Water Res;8;;;;;;;Zuwaroposu Hide;2;Bulldrome Hide;2;Bullfango Pelt;3;;
Jaggi Mask;2;4;0;0;0;3;10;0;0;0;0;0;HiSpdGathr;10;;;;;;;;;Grt Jaggi Head;1;Grt Jaggi Hide;3;Regal Frill;1;Fire Stone;2
Bullfango Mask;1;3;0;0;0;3;9;-2;-4;2;-1;1;Hunger;10;;;;;;;;;Bullfango Head;1;Bulldrome Hide;3;Bulldrome Tusk;6;Lg Monster Bone;2
Skull Face;3;5;0;0;0;3;10;2;-2;1;-2;-2;Torso Inc;1;;;;;;;;;Fire Stone;3;Unknown Skull;5;Mystery Bone;10;Commendation;1
Head Towel;3;5;1;0;0;3;8;-2;-2;0;2;-2;Fate;3;LastingPwr;3;Attack;-3;;;;;HotSpringTicket;4;Drink Ticket;2;Yukumo Ticket;1;Commendation;1
Acorn Helm;3;6;0;0;0;3;12;2;0;0;2;-2;BombStrUp;8;Gunnery;3;;;;;;;Comrade Ticket;4;Magma Shard;4;Fire Stone;2;Igneous Thorax;2
Glass Earrings;1;1;2;0;0;3;9;0;0;2;0;0;;;;;;;;;;;Lightcrystal;1;;;;;;
Yukumo Hat [Ten];4;6;2;0;0;4;28;0;3;0;0;0;Protection;1;Whim;4;Rec Level;1;Sharpener;3;;;Yukumo Wood+;1;Yukumo Wood;5;Gagua Feather;5;;
Yukumo Hat [Chi];4;6;2;0;0;4;14;0;4;0;0;0;Protection;2;Whim;4;Rec Level;2;Precision;3;;;Yukumo Wood+;1;Yukumo Wood;5;Gagua Feather;5;;
Leather Helm S;4;6;0;0;0;4;28;-1;0;1;0;0;HiSpdGathr;1;Gathering;4;Whim;4;Hunger;4;;;Carbalite Ore;1;Warm Pelt;2;Bullfango Pelt;3;;
Leather Cap S;4;6;0;0;0;4;14;0;0;2;0;0;HiSpdGathr;3;Gathering;4;Whim;3;Hunger;5;;;Carbalite Ore;1;Warm Pelt;2;Bullfango Pelt;3;;
Chain Helm S;4;6;1;0;0;4;28;2;-2;0;1;1;Health;3;FatigueAtk;4;Shot Mix;4;;;;;Carbalite Ore;1;Machalite Ore;2;Iron Ore;5;;
Chain Cap S;4;6;1;0;0;4;14;3;-1;0;2;2;Health;4;Shot Mix;5;NormalSAdd;4;;;;;Carbalite Ore;1;Machalite Ore;2;Iron Ore;5;;
Hunter Helm S;4;-1;1;0;0;4;30;0;-4;0;1;0;Huntsman;2;Psychic;3;SpeedSetup;4;Poison;-2;;;Depthlite Ore;2;King Scarab;2;Machalite Ore;5;Iron Ore;5
