english;spanish;french;italian;german;japanese;chinese
Book of Combos 1;Libro combos 1;Tome de Combi 1;;Kombi-Buch 1;調合書①入門編;
Book of Combos 2;Libro combos 2;Tome de Combi 2;;Kombi-Buch 2;調合書②初級編;
Book of Combos 3;Libro combos 3;Tome de Combi 3;;Kombi-Buch 3;調合書③中級編;
Book of Combos 4;Libro combos 4;Tome de Combi 4;;Kombi-Buch 4;調合書④上級編;
Book of Combos 5;Libro combos 5;Tome de Combi 5;;Kombi-Buch 5;調合書⑤達人編;
Organizer Guide;Guia Organizador;Mag.organisateur;;Organisierführer;収納上手・技の書;
Pack Rat Guide;Guia Mochilero;Mag. explorateur;;Packführer;収納上手・力の書;
Potion;Poción;Potion;;Trank;回復薬;
Mega Potion;Megapoción;Méga potion;;Megatrank;回復薬グレート;
Nutrients;Nutrientes;Nutriments;;Nährstoffe;栄養剤;
Mega Nutrients;Meganutrientes;Méga nutriments;;Mega-Nährstoffe;栄養剤グレート;
Antidote;Antídoto;Antidote;;Gegengift;解毒薬;
Herbal Medicine;Medicina herbal;Phyto-médicament;;Kräutermedizin;漢方薬;
Immunizer;Inmunizador;Immunisateur;;Impfstoff;活力剤;
Energy Drink;Bebida energét.;Breuvage énergie;;Energy-Drink;元気ドリンコ;
Dash Juice;Zumo de poder;Jus d'énergie;;Sprintsaft;強走薬;
Mega Dash Juice;Megazumo;Méga jus;;Mega-Sprintsaft;強走薬グレート;
Demondrug;Droga demoníaca;Drogue du démon;;Dämonenmittel;鬼人薬;
Mega Demondrug;Megadroga demon.;Méga drogue;;Mega-Dämonenmit.;鬼人薬グレート;
Might Pill;Píldora de poder;Pilule pouvoir;;Machtpille;怪力の丸薬;
Armorskin;Piel de armadura;Peau armure;;Panzerhaut;硬化薬;
Mega Armorskin;Megapiel armad.;Méga peau armure;;Megapanzerhaut;硬化薬グレート;
Adamant Pill;Píldora armadura;Pilule armure;;Diamantpille;忍耐の丸薬;
Cool Drink;Bebida fría;Breuvage frais;;Kaltgetränk;クーラードリンク;
Hot Drink;Bebida caliente;Breuvage chaud;;Heißgetränk;ホットドリンク;
Cleanser;Disolvente;Agent nettoyant;;Reiniger;消散剤;
