english;spanish;french;italian;german;japanese;chinese
Steadfast Jwl 1;Aturdir +1 [1];Jy étourd. [1];;Felsenfest [1];耐絶珠【１】;
Vigilance Jwl 1;Aturdir +2 [1];Jy étourd. +[2];;Felsenfest+ [1];制絶珠【１】;
Paralysis Jwl 1;Parálisis+1 [1];Jy rés. para.[1];;Lähm [1];耐痺珠【１】;
Paralysis Jwl 2;Parálisis+3 [2];Jy rés. para.+[2];;Lähm [2];耐痺珠【２】;
Pep Jewel 1;Sueño +1 [1];Jy rés. som. [1];;Pepp [1];耐眠珠【１】;
Pep Jewel 2;Sueño +3 [2];Jy rés. som.+[2];;Pepp [2];耐眠珠【２】;
Antidote Jewel 1;Veneno +1 [1];Jy rés. psn [1];;Gegengift [1];耐毒珠【１】;
Antidote Jewel 2;Veneno +3 [2];Jy rés. psn+[2];;Gegengift [2];耐毒珠【２】;
Def Lock Jewel 1;NieDefBaja+2[1];Jy rés. états[1];;Wehrhaft [1];耐防珠【１】;
Alarm Jewel 1;Anti-robo +2[1];Joyau alarme [1];;Alarm [1];防盗珠【１】;
Tracker Jewel 1;Barr/Nieve+1[1];Jy boue/neige[1];;Wetter [1];耐粘珠【１】;
Trekker Jewel 1;Barr/Nieve+2[1];Jy boue/neige+[1];;Wetter+ [1];抗粘珠【１】;
Sterile Jewel 1;Antisept. +1[1];Jy anti-sept.[1];;Retroviral [1];耐菌珠【１】;
Aseptic Jewel 1;Antisept. +2[1];Jy anti-sept.+[1];;Antivirus [1];抗菌珠【１】;
Footing Jewel 1;Temb.anul.+1[1];Joyau ancre[1];;Fundament [1];耐震珠【１】;
Tectonic Jewel 1;Temb.anul.+2[1];Joyau ancre+[1];;Tektonik [1];抗震珠【１】;
Heat Res Jewel 1;Res. Calor+2[1];Jy brise fra.[1];;Brise [1];耐暑珠【１】;
Cold Res Jewel 1;Res. Frio +2[1];Jy brise tiède[1];;Wärme [1];耐寒珠【１】;
Earplug Jewel 1;Prot. oido+1[1];Jy bouch. ore.[1];;Ohrstöpsel [1];防音珠【１】;
Earplug Jewel 3;Prot. oido+4[3];Jy silence[3];;Ohrstöpsel [3];防音珠【３】;
Wind Res Jewel 1;PresViento+1[1];Jy presse-pap[1];;Anker [1];防風珠【１】;
Wind Res Jewel 2;PresViento+3[2];Jy presse-pap[2];;Anker [2];防風珠【２】;
