english;spanish;french;italian;german;japanese;chinese
Yukumo Obi;Obi Yukumo;Obi Yukumo;;Yukumono-Obi;ユクモノオビ;
Leather Belt;Cinturón Cuero;Ceinture en cuir;;Leder-Gürtel;レザーベルト;
Chainmail Belt;Cinturón Malla;Ceinture en maille;;Ketten-Gürtel;チェーンベルト;
Hunter's Faulds;Muslera Cazador;Tassettes de chasseur;;Jäger-Beinzeug;ハンターフォールド;
Hunter's Coat;Cota Cazador;Taille de chasseur;;Jäger-Waffenrock;ハンターコート;
Loc Lac Kilt;Falda Loc Lac;Boucle Loc Lac;;Loc-Lac-Kilt;ロックラックコイル;
Bone Faulds;Muslera Hueso;Tassettes d'os;;Knochen-Beinzeug;ボーンフォールド;
Bone Coat;Cota Hueso;Tunique d'os_;;Knochen-Waffenrock;ボーンコート;
Alloy Coil;Faja Aleación;Tassettes haut-métal;;Legierungs-Hüftring;アロイコイル;
Alloy Coat;Cota Aleación;Tunique haut-métal_;;LegierungsWaffenrock;アロイコート;
Bnahabra Coil;Faja Bnahabra;Boucle Bnahabra;;Bnahabra-Hüftring;ブナハコイル;
Bnahabra Coat;Cota Bnahabra;Taille Bnahabra;;Bnahabra-Waffenrock;ブナハコート;
Rhenoplos Coil;Faja Rhenoplos;Tassettes Rhenoplos;;Rhenoplos-Hüftring;リノプロコイル;
Rhenoplos Coat;Cota Rhenoplos;Taille Rhenoplos;;Rhenoplos-Waffenrock;リノプロコート;
Jaggi Faulds;Muslera Jaggi;Tassettes Jaggi;;Jaggi-Beinzeug;ジャギィフォールド;
Jaggi Coat;Cota Jaggi;Taille Jaggi;;Jaggi-Waffenrock;ジャギィコート;
Arzuros Faulds;Muslera Aoashira;Tassettes Aoashira;;Aoashira-Beinzeug;アシラフォールド;
Arzuros Coat;Cota Aoashira;Taille Aoashira;;Aoashira-Waffenrock;アシラコート;
Steel Belt;Muslera Acero;Tassettes d'acier;;Stahl-Beinzeug;スティールフォールド;
Wroggi Faulds;Muslera Furogi;Tassettes Froggi;;Froggi-Beinzeug;フロギィフォールド;
Wroggi Coat;Cota Furogi;Taille Froggi;;Froggi-Waffenrock;フロギィコート;
Lagombi Faulds;Muslera Urukususu;Tassettes Urukususu;;Ulkusus-Beinzeug;ウルクフォールド;
Lagombi Coat;Cota Urukususu;Taille Urukususu;;Ulkusus-Waffenrock;ウルクコート;
Qurupeco Coil;Faja Qurupeco;Tassettes Qurupeco;;Qurupeco-Hüftring;ペッココイル;
Qurupeco Coat;Cota Qurupeco;Taille Qurupeco;;Qurupeco-Waffenrock;ペッココート;
Ludroth Faulds;Muslera Ludroth;Tassettes Ludroth;;Ludroth-Beinzeug;ルドロスフォールド;
Ludroth Coat;Cota Ludroth;Taille Ludroth;;Ludroth-Waffenrock;ルドロスコート;
Barroth Faulds;Muslera Barroth;Tassettes Barroth;;Barroth-Beinzeug;ボロスフォールド;
Barroth Coat;Cota Barroth;Taille Barroth ;;Barroth-Waffenrock;ボロスコート;
Ingot Coil;Faja Lingote;Tassettes lingot;;Guss-Hüftring;インゴットコイル;
Ingot Coat;Cota Lingote;Taille lingot;;Guss-Waffenrock;インゴットコート;
Baggi Coil;Faja Baggi;Tassettes Baggi;;Baggi-Hüftring;バギィコイル;
Baggi Coat;Cota Baggi;Taille Baggi;;Baggi-Waffenrock;バギィコート;
Volvidon Faulds;Muslera Rangurotora;Tassettes Ranguro;;Langrotora-Beinzeug;ラングロフォールド;
Volvidon Coat;Cota Rangurotora;Taille Ranguro;;LangrotoraWaffenrock;ラングロコート;
Rathian Faulds;Muslera Rathian;Tassettes Rathian;;Rathian-Beinzeug;レイアフォールド;
Rathian Coat;Cota Rathian;Taille Rathian;;Rathian-Waffenrock;レイアコート;
Nibelsnarf Faulds;Muslera Hapuru;Tassettes Hapurubokka;;Hapulbokka-Beinzeug;ハプルフォールド;
