name;hr;village;slots;gender;type;rarity;defense;fire;thunder;dragon;water;ice;skill_one;skill_one_points;skill_two;skill_two_points;skill_three;skill_three_points;skill_four;skill_four_points;skill_five;skill_five_points;material_one;amount_one;material_two;amount_two;material_three;amount_three;material_four;amount_four
Yukumo Skirt;1;1;0;0;0;1;1;0;3;0;0;0;Protection;2;Whim;2;Expert;2;;;;;Yukumo Wood;2;Carpenterbug;2;;;;
Leather Pants;1;1;1;0;0;1;1;-1;0;1;0;0;HiSpdGathr;2;Gathering;1;Whim;4;;;;;Warm Pelt;2;;;;;;
Chain Pants;1;1;1;0;0;1;2;2;-2;0;1;1;Health;2;Combo Rate;2;Shot Mix;3;;;;;Iron Ore;2;Yukumo Wood;2;;;;
Hunter's Greaves;1;1;1;0;1;1;6;0;-4;0;1;0;Huntsman;2;Psychic;3;SpeedSetup;2;Poison;-2;;;Iron Ore;1;Bullfango Pelt;1;Yukumo Wood;2;;
Hunter's Leggings;1;1;1;0;2;1;3;1;-2;1;2;0;Huntsman;1;Psychic;3;SpeedSetup;3;Poison;-2;;;Iron Ore;1;Bullfango Pelt;1;Yukumo Wood;2;;
Loc Lac Boots;1;1;1;0;0;1;4;2;1;0;-3;0;Backpackng;6;Hunger;3;;;;;;;Altaroth Jaw;3;Altarth Abdomen;2;Ice Crystal;3;;
Bone Greaves;1;2;1;0;1;1;8;2;-1;0;0;-2;Horn;4;Gathering;3;KO;1;Sleep;-1;;;Med Mnster Bone;2;Bone;2;Mystery Bone;4;;
Bone Leggings;1;2;1;0;2;1;4;4;0;0;0;-1;Horn;1;Gathering;4;KO;1;Sleep;-3;;;Med Mnster Bone;2;Bone;2;Mystery Bone;4;;
Alloy Greaves;1;2;1;0;1;1;8;-1;-2;-1;1;-2;WindPress;4;Expert;2;Sharpener;1;Gathering;-2;;;Machalite Ore;4;Bealite Ore;2;Iron Ore;2;;
Alloy Leggings;1;2;1;0;2;1;4;0;-1;0;2;-1;PelletS Up;3;Reload Spd;1;PelletSAdd;3;Gathering;-2;;;Machalite Ore;4;Bealite Ore;2;Iron Ore;2;;
Bnahabra Boots;1;2;1;0;1;2;10;-5;2;4;-2;-2;Status;3;Sheathe;3;Sense;1;Attack;-2;;;Bnahabra Shell;2;Bnahabra Wing;3;Killer Beetle;2;Carpenterbug;3
Bnahabra Shoes;1;2;1;0;2;2;5;-3;3;5;-1;-1;Status;2;Sheathe;1;Sense;3;Attack;-3;;;Bnahabra Shell;2;Bnahabra Wing;3;Killer Beetle;2;Carpenterbug;3
Rhenoplos Greaves;1;3;1;0;1;2;10;2;-2;1;-2;-2;Will Recov;2;Gunnery;4;Mud/Snow;1;Ice Res;-2;;;Rhenoplos Shell;2;Sm Monster Bone;6;Ice Crystal;2;;
Rhenoplos Leggings;1;3;1;0;2;2;5;3;-1;2;-1;-1;Will Recov;1;Gunnery;2;Precision;4;Ice Res;-2;;;Rhenoplos Shell;2;Sm Monster Bone;6;Ice Crystal;2;;
