name;family;points;type
Attack Up [Sm];Attack;10;0
Attack Up [Med];Attack;15;0
Attack Up [Lg];Attack;20;0
Attack Down [Sm];Attack;-10;0
Attack Down [Med];Attack;-15;0
Attack Down [Lg];Attack;-20;0
Reckless Abandon +1;Expert;10;0
Reckless Abandon +2;Expert;15;0
Reckless Abandon +3;Expert;20;0
Reckless Abandon -1;Expert;-10;0
Reckless Abandon -2;Expert;-15;0
Reckless Abandon -3;Expert;-20;0
Sharp Sword;Sharpness;10;1
Blunt;Sharpness;-10;1
Speed Sharpening;Sharpener;10;1
Slow Sharpening;Sharpener;-10;1
Sharpness +1;Artisan;15;1
Unsheathe Stun;PunishDraw;10;1
Unsheathe Critical;Crit Draw;10;1
Concentration;FastCharge;10;0
Distraction;FastCharge;-10;0
ESP;Fencing;10;1
Exploiter;Debilitate;10;0
Ruiner;Slam;10;0
Improved KO;KO;10;0
Enfeebler;FatigueAtk;10;0
Flute Expert;Horn;10;0
Gunnery Master;Gunnery;10;0
Gunnery King;Gunnery;15;0
Unleashed +1;Awaken;10;0
Unleashed +2;Awaken;15;0
Adrenaline +1;Potential;10;0
Adrenaline +2;Potential;15;0
Worry;Potential;-10;0
Resilience;Adversity;10;0
Load Up;Loading;15;0
Rapid Shot +1;Rapid Fire;10;2
Reload Speed +1;Reload Spd;10;2
Reload Speed +2;Reload Spd;15;2
Reload Speed +3;Reload Spd;20;2
Reload Speed -1;Reload Spd;-10;2
Reload Speed -2;Reload Spd;-15;2
Reload Speed -3;Reload Spd;-20;2
Recoil Reduction +1;Recoil;10;2
Recoil Reduction +2;Recoil;15;2
Recoil Reduction +3;Recoil;20;2
Recoil Reduction -1;Recoil;-10;2
Recoil Reduction -2;Recoil;-15;2
Recoil Reduction -3;Recoil;-20;2
Accuracy+1;Precision;10;2
Accuracy+2;Precision;15;2
Accuracy-1;Precision;-10;2
Accuracy-2;Precision;-15;2
NormalS/RapidBowUp;NormalS Up;10;2
PierceS/PierceBowUp;PierceS Up;10;2
PelletS/ScatterBowUp;PelletS Up;10;2
Normal S All Add;NormalSAdd;10;2
Pierce S LV1 Add;PierceSAdd;10;2
Pierce S All Add;PierceSAdd;15;2
Pellet S LV1 Add;PelletSAdd;10;2
Pellet S All Add;PelletSAdd;15;2
Crag S LV1 Add;Crag S Add;10;2
Crag S All Add;Crag S Add;15;2
Clust S LV1 Add;ClustS Add;10;2
Clust S All Add;ClustS Add;15;2
Cutter S Add;CutterSAdd;10;2
Poison Coating Add;PoisonCAdd;10;2
Parlysis Coating Add;ParalyCAdd;10;2
Sleep Coating Add;SleepCAdd;10;2
