name;hr;village;slots;gender;type;rarity;defense;fire;thunder;dragon;water;ice;skill_one;skill_one_points;skill_two;skill_two_points;skill_three;skill_three_points;skill_four;skill_four_points;skill_five;skill_five_points;material_one;amount_one;material_two;amount_two;material_three;amount_three;material_four;amount_four
Yukumo Kasa;1;1;0;0;0;1;1;0;3;0;0;0;Protection;2;Whim;2;Expert;2;;;;;Yukumo Wood;1;Gargwa Feather;1;;;;
Leather Headgear;1;1;1;0;0;1;1;-1;0;1;0;0;Spd Gather;2;Gathering;2;Whim;3;;;;;Warm Pelt;1;Iron Ore;1;;;;
Chainmail Headgear;1;1;1;0;0;1;2;2;-2;0;1;1;Health;2;Combo Rate;4;Combo Plus;1;;;;;Earth Crystal;1;Iron Ore;1;;;;
Hunter's Helm;1;1;1;0;0;1;6;0;-4;0;1;0;Ranger;2;Psychic;2;SpeedSetup;3;Poison;-2;;;Machalite Ore;1;Iron Ore;1;Carpenterbug;2;;
Hunter's Cap;1;1;1;0;0;1;3;1;-2;1;2;0;Ranger;4;Psychic;4;SpeedSetup;2;Poison;-1;;;Machalite Ore;1;Iron Ore;1;Carpenterbug;2;;
Bone Helm;1;2;1;0;0;1;8;2;-1;0;0;-2;Maestro;1;Gathering;3;KO;2;Sleep;-3;;;Big Fin;3;Unknown Skull;1;Sharpened Fang;2;;
Bone Cap;1;2;1;0;0;1;4;4;0;0;0;-1;Maestro;3;Gathering;3;KO;4;Sleep;-1;;;Big Fin;3;Unknown Skull;1;Sharpened Fang;2;;
Alloy Helm;1;2;1;0;0;1;8;-1;-2;-1;1;-2;Wind Res;2;Expert;1;Sharpener;3;Gathering;-3;;;Machalite Ore;3;Bealite Ore;2;Iron Ore;3;;
Alloy Cap;1;2;1;0;0;1;4;0;-1;0;2;-1;Pellet Up;3;Reload Speed;3;Pellet S+;3;Gathering;-2;;;Machalite Ore;3;Bealite Ore;2;Iron Ore;3;;
Bnahabra Hat;1;2;1;0;0;2;10;-5;2;4;-2;-2;Status;1;Sheathing;1;Sense;4;Attack;-3;;;Bnahabra Shell;2;Bnahabra Wing;3;Killer Beetle;1;Carpenterbug;2
Bnahabra Headpiece;1;2;1;0;0;2;5;-3;3;5;-1;-1;Status;3;Sheathing;3;Sense;4;Attack;-1;;;Bnahabra Shell;2;Bnahabra Wing;3;Killer Beetle;1;Carpenterbug;2
Rhenoplos Helm;1;3;1;0;0;2;10;2;-2;1;-2;-2;Stam Recov;2;Artillery;1;Mud/Snow;3;Ice Res;-3;;;Rhenoplos Scalp;1;Rhenoplos Shell;2;Ice Crystal;2;;
Rhenoplos Cap;1;3;1;0;0;2;5;3;-1;2;-1;-1;Stam Recov;4;Artillery;2;Precision;4;Ice Res;-1;;;Rhenoplos Scalp;1;Rhenoplos Shell;2;Ice Crystal;2;;
Jaggi Helm;1;2;1;0;0;2;12;-4;-2;1;-2;-2;Attack;2;Perception;2;Rec Speed;2;LastingPwr;-3;;;G.Jaggi Hide;3;G.Jaggi Claw;1;Jaggi Scale;2;Iron Ore;3
Jaggi Cap;1;2;1;0;0;2;6;-2;-1;2;-1;-1;Attack;3;Perception;3;Rec Speed;4;LastingPwr;-1;;;G.Jaggi Hide;3;G.Jaggi Claw;1;Jaggi Scale;2;Iron Ore;3
Arzuros Helm;1;1;1;0;0;2;12;-3;-1;1;1;-2;Gluttony;1;Defense;2;Stun;3;Paralysis;-3;;;Arzuros Shell;2;Arzuros Pelt;2;Jumbo Bone;2;Carpenterbug;3
Arzuros Cap;1;1;1;0;0;2;6;-2;0;3;2;-1;Gluttony;3;Defense;3;Stun;3;Paralysis;-2;;;Arzuros Shell;2;Arzuros Pelt;2;Jumbo Bone;2;Carpenterbug;3
Wroggi Helm;1;3;1;0;0;2;14;2;1;0;-2;-4;Constitutn;2;Perception;2;Poison;2;Stun;-3;;;King's Beak;1;G.Wroggi Hide;2;Wroggi Scale;2;Killer Beetle;2
Wroggi Cap;1;3;1;0;0;2;7;4;2;0;-1;-2;Constitutn;4;Perception;4;Poison;2;Stun;-1;;;King's Beak;1;G.Wroggi Hide;2;Wroggi Scale;2;Killer Beetle;2
Lagombi Helm;2;3;0;0;0;2;14;-4;-2;1;2;2;Evasion;2;Ice Res;4;Cold Res;2;Heat Res;-3;;;Lagombi Ear;2;Jumbo Bone;2;Baggi Hide;4;Isisium;2
Lagombi Cap;2;3;0;0;0;2;7;-2;-1;3;3;4;Evasion;4;Ice Res;4;Cold Res;4;Heat Res;-1;;;Lagombi Ear;2;Jumbo Bone;2;Baggi Hide;4;Isisium;2
Qurupeco Helm;1;3;1;0;0;2;12;2;-1;2;-2;-4;Wide-Range;1;Rec Level;3;Eating;-3;Maestro;2;;;Strange Beak;2;Qurupeco Feather;2;Monster Bone M;2;Carpenterbug;3
Qurupeco Cap;1;3;1;0;0;2;6;4;0;4;-1;-3;Wide-Range;4;Rec Level;4;Eating;-1;Maestro;2;;;Strange Beak;2;Qurupeco Feather;2;Monster Bone M;2;Carpenterbug;3
Ludroth Helm;1;3;1;0;0;2;14;-4;-2;1;2;-2;Stamina;2;Hunger;3;Water Atk;1;ThunderRes;-3;;;R.Ludroth Crest;2;R.Ludroth Tail;1;R.Ludroth Scale;2;Carpenterbug;3
Ludroth Cap;1;3;1;0;0;2;7;-2;-1;2;4;-1;Stamina;4;Hunger;3;Water Atk;3;ThunderRes;-1;;;R.Ludroth Crest;2;R.Ludroth Tail;1;R.Ludroth Scale;2;Carpenterbug;3
Barroth Helm;1;3;1;0;0;2;16;0;2;0;0;-3;Guard;3;KO;2;Defense;1;Constitutn;-3;;;Barroth Ridge;2;Barroth Shell;1;Barroth Scalp;1;Rhenoplos Scalp;2
Barroth Cap;1;3;1;0;0;2;8;2;4;0;2;-1;Normal Up;3;Precision;3;Defense;3;Constitutn;-2;;;Barroth Ridge;2;Barroth Shell;1;Barroth Scalp;1;Rhenoplos Scalp;2
Ingot Helm;2;3;1;0;0;2;20;-2;1;0;-2;-2;Wind Res;2;Thundr Atk;2;Sharpener;2;Whim;-3;;;Dragonite Ore;2;Isisium;2;Pelagicite Ore;1;Bealite Ore;3
Ingot Cap;2;3;1;0;0;2;10;-1;2;0;-1;-1;Pellet Up;3;Thundr Atk;2;Reload Speed;4;Whim;-2;;;Dragonite Ore;2;Isisium;2;Pelagicite Ore;1;Bealite Ore;3
Baggi Helm;2;4;1;0;0;2;16;-4;-1;1;-1;2;Attack;1;Ice Atk;2;Rec Speed;3;Fire Res;-3;;;G.Baggi Hide;3;G.Baggi Claw;2;Baggi Scale;3;Isisium;2
Baggi Cap;2;4;1;0;0;2;8;-2;0;2;0;4;Attack;4;Ice Atk;2;Rec Speed;4;Fire Res;-1;;;G.Baggi Hide;3;G.Baggi Claw;2;Baggi Scale;3;Isisium;2
Volvidon Helm;2;4;1;0;0;2;16;2;-1;2;-4;-2;Evasion;3;Fire Res;1;Heat Res;2;Cold Res;-3;;;Volvidon Claw;2;Volvidon Shell;2;Monster Fluid;2;Dragonite Ore;4
Volvidon Cap;2;4;1;0;0;2;8;4;0;4;-2;-1;Evasion;5;Fire Res;2;Heat Res;3;Cold Res;-1;;;Volvidon Claw;2;Volvidon Shell;2;Monster Fluid;2;Dragonite Ore;4
Rathian Helm;2;4;1;0;0;2;18;2;-2;-4;0;0;Health;4;Protection;1;Fire Atk;1;Rec Speed;-3;;;Rathian Spike;1;Rathian Scale;4;Rathian Shell;3;Dragonite Ore;3
Rathian Cap;2;4;1;0;0;2;9;4;-1;-3;0;1;Health;5;Protection;3;Fire Atk;2;Rec Speed;-1;;;Rathian Spike;1;Rathian Scale;4;Rathian Shell;3;Dragonite Ore;3
Nibelsnarf Helm;2;4;0;0;0;2;18;2;-2;0;-1;-3;Eating;2;Water Atk;4;Gluttony;2;Hunger;-3;;;Nibelsnarf Scalp;1;Nibelsnarf Shell;2;Monster Bone M;5;G.Jaggi Hide;2
Nibelsnarf Cap;2;4;0;0;0;2;9;4;-1;0;0;-2;Eating;4;Water Atk;3;Gluttony;4;Hunger;-2;;;Nibelsnarf Scalp;1;Nibelsnarf Shell;2;Monster Bone M;5;G.Jaggi Hide;2
Gigginox Helm;2;4;1;0;0;2;18;-4;3;-2;0;3;Status;3;ThunderRes;2;Stun;1;Health;-3;;;Uncanny Hide;2;Gigginox Hide;3;Poison Sac;2;G.Baggi Hide;3
Gigginox Cap;2;4;1;0;0;2;9;-2;4;-1;0;4;Status;4;ThunderRes;2;Stun;4;Health;-1;;;Uncanny Hide;2;Gigginox Hide;3;Poison Sac;2;G.Baggi Hide;3
Nargacuga Helm;2;5;1;0;0;3;20;-3;-4;-1;1;0;Evade Dist;2;Stam Recov;2;Sense;2;Attack;-3;;;Narga Tailspike;2;Nargacuga Pelt;3;Nargacuga Razor;2;Arzuros Shell;4
Nargacuga Cap;2;5;1;0;0;3;10;-1;-2;0;3;1;Evade Dist;4;Stam Recov;3;Sense;2;Attack;-2;;;Narga Tailspike;2;Nargacuga Pelt;3;Nargacuga Razor;2;Arzuros Shell;4
Barioth Helm;2;5;1;0;0;3;20;-4;-3;-1;1;2;Stamina;2;Constitutn;1;Ice Atk;3;Stam Recov;-3;;;Amber Tusks;2;Barioth Pelt;3;Barioth Shell;2;Killer Beetle;6
Barioth Cap;2;5;1;0;0;3;10;-2;-1;0;2;4;Stamina;4;Constitutn;5;Ice Atk;1;Stam Recov;-1;;;Amber Tusks;2;Barioth Pelt;3;Barioth Shell;2;Killer Beetle;6
Rathalos Helm;3;5;1;0;0;3;22;2;-2;-4;-1;-1;Tenderizer;1;Attack;4;Fire Atk;1;Rec Level;-3;;;Rathalos Scale;3;Rathalos Shell;3;Rath Talon;1;Dragonite Ore;3
Rathalos Cap;3;5;1;0;0;3;11;4;-1;-2;0;0;Tenderizer;3;Attack;2;Fire Atk;5;Rec Level;-1;;;Rathalos Scale;3;Rathalos Shell;3;Rath Talon;1;Dragonite Ore;3
Uragaan Helm;2;5;1;0;0;3;22;2;1;-3;-5;-2;PunishDraw;3;Defense;1;Fire Res;3;Water Res;-2;;;Uragaan Shell;3;Uragaan Marrow;1;Uragaan Scale;4;Dragonite Ore;3
Uragaan Cap;2;5;1;0;0;3;11;4;2;-2;-4;-1;Pierce Up;4;Defense;5;Fire Res;1;Water Res;-1;;;Uragaan Shell;3;Uragaan Marrow;1;Uragaan Scale;4;Dragonite Ore;3
Zinogre Helm;3;5;2;0;0;3;22;-1;3;0;-2;-3;Gloves Off;1;Thundr Atk;1;Sharpness;3;Sense;-2;;;Zinogre Horn;1;Zin Electrofur;2;Zinogre Shell;2;Bulldrome Hide;3
Zinogre Cap;3;5;2;0;0;3;11;0;5;0;-1;-1;Gloves Off;2;Thundr Atk;2;Normal Up;3;Sense;-2;;;Zinogre Horn;1;Zin Electrofur;2;Zinogre Shell;2;Bulldrome Hide;3
Diablos Helm;3;6;1;0;0;3;24;2;-1;-1;-1;-3;Crit Draw;3;Stam Drain;2;Tremor Resistance;1;Status;-3;;;Diablos Tailcase;2;Diablos Shell;4;Diablos Ridge;2;G.Wroggi Hide;5
Diablos Cap;3;6;1;0;0;3;12;4;0;0;0;-2;Pierce Up;3;Normal S+;4;Stam Drain;2;Status;-2;;;Diablos Tailcase;2;Diablos Shell;4;Diablos Ridge;2;G.Wroggi Hide;5
Tigrex Helm;3;6;0;0;0;3;24;2;-4;-2;-1;0;Hearing;1;Psychic;2;Gluttony;6;Protection;-2;;;Tigrex Scalp;1;Tigrex Fang;4;Tigrex Scale;3;Immature Sponge;5
