english;spanish;french;italian;german;japanese;chinese
Yukumo Dogi;Dogi Yukumo;Dougi Yukumo;;Yukumono-Rumpf;ユクモノドウギ;
Leather Vest;Chaleco Cuero;Armure en cuir;;Leder-Weste;レザーベスト;
Chainmail Vest;Chaleco Malla;Cotte en maille;;Ketten-Weste;チェーンベスト;
Hunter's Mail;Malla Cazador;Cotte de chasseur;;Jäger-Panzer;ハンターメイル;
Hunter's Vest;Chaleco Cazador;Tunique de chasseur;;Jäger-Weste;ハンターレジスト;
Loc Lac Shawl;Manto Loc Lac;Costume Loc Lac;;Loc-Lac-Tuch;ロックラックスーツ;
Bone Mail;Malla Hueso;Cotte d'os;;Knochen-Panzer;ボーンメイル;
Bone Vest;Chaleco Hueso;Tunique d'os;;Knochen-Weste;ボーンレジスト;
Alloy Mail;Malla Aleación;Cotte haut-métal;;Legierungs-Panzer;アロイメイル;
Alloy Vest;Chaleco Aleación;Tunique haut-métal;;Legierungs-Weste;アロイレジスト;
Bnahabra Suit;Traje Bnahabra;Costume Bnahabra;;Bnahabra-Anzug;ブナハスーツ;
Bnahabra Vest;Pullover Bnahabra;Veste Bnahabra;;Bnahabra-Weste;ブナハベスト;
Rhenoplos Mail;Malla Rhenoplos;Cotte Rhenoplos;;Rhenoplos-Panzer;リノプロメイル;
Rhenoplos Vest;Chaleco Rhenoplos;Tunique Rhenoplos;;Rhenoplos-Weste;リノプロレジスト;
Jaggi Mail;Malla Jaggi;Cotte Jaggi;;Jaggi-Panzer;ジャギィメイル;
Jaggi Vest;Chaleco Jaggi;Tunique Jaggi;;Jaggi-Weste;ジャギィレジスト;
Arzuros Mail;Malla Aoashira;Cotte Aoashira;;Aoashira-Panzer;アシラメイル;
Arzuros Vest;Chaleco Aoashira;Tunique Aoashira;;Aoashira-Weste;アシラレジスト;
Steel Mail;Malla acero;Cotte d'acier;;Stahl-Panzer;スティールメイル;
Wroggi Mail;Malla Furogi;Cotte Froggi;;Froggi-Panzer;フロギィメイル;
Wroggi Vest;Chaleco Furogi;Tunique Froggi;;Froggi-Weste;フロギィレジスト;
Lagombi Mail;Malla Urukususu;Cotte Urukususu;;Ulkusus-Panzer;ウルクメイル;
Lagombi Vest;Chaleco Urukususu;Tunique Urukususu;;Ulkusus-Weste;ウルクレジスト;
Qurupeco Mail;Malla Qurupeco;Cotte Qurupeco;;Qurupeco-Panzer;ペッコメイル;
Qurupeco Vest;Chaleco Qurupeco;Tunique Qurupeco;;Qurupeco-Weste;ペッコレジスト;
Ludroth Mail;Malla Ludroth;Cotte Ludroth;;Ludroth-Panzer;ルドロスメイル;
Ludroth Vest;Chaleco Ludroth;Tunique Ludroth;;Ludroth-Weste;ルドロスレジスト;
Barroth Mail;Malla Barroth;Cotte Barroth;;Barroth-Panzer;ボロスメイル;
Barroth Vest;Chaleco Barroth;Tunique Barroth;;Barroth-Weste;ボロスレジスト;
Ingot Mail;Malla Lingote;Cotte lingot;;Guss-Panzer;インゴットメイル;
Ingot Vest;Chaleco Lingote;Tunique lingot;;Guss-Weste;インゴットレジスト;
Baggi Mail;Malla Baggi;Cotte Baggi;;Baggi-Panzer;バギィメイル;
Baggi Vest;Chaleco Baggi;Tunique Baggi;;Baggi-Weste;バギィレジスト;
Volvidon Mail;Malla Rangurotora;Cotte Ranguro;;Langrotora-Panzer;ラングロメイル;
Volvidon Vest;Chaleco Rangurotora;Tunique Ranguro;;Langrotora-Weste;ラングロレジスト;
Rathian Mail;Malla Rathian;Cotte Rathian;;Rathian-Panzer;レイアメイル;
Rathian Vest;Chaleco Rathian;Tunique Rathian;;Rathian-Weste;レイアレジスト;
Nibelsnarf Mail;Malla Hapuru;Cotte Hapurubokka;;Hapulbokka-Panzer;ハプルメイル;
Nibelsnarf Vest;Chaleco Hapuru;Tunique Hapurubokka;;Hapulbokka-Weste;ハプルレジスト;
Gigginox Mail;Malla Gigginox;Cotte Gigginox;;Gigginox-Panzer;ネブラメイル;
Gigginox Vest;Chaleco Gigginox;Tunique Gigginox;;Gigginox-Weste;ネブラレジスト;
Nargacuga Mail;Malla Naruga;Cotte Nargacuga;;Nargacuga-Panzer;ナルガメイル;
Nargacuga Vest;Chaleco Naruga;Tunique Nargacuga;;Nargacuga-Weste;ナルガレジスト;
Barioth Mail;Malla Barioth;Cotte Barioth;;Barioth-Panzer;ベリオメイル;
Barioth Vest;Chaleco Barioth;Tunique Barioth;;Barioth-Weste;ベリオレジスト;
Rathalos Mail;Malla Rathalos;Cotte Rathalos;;Rathalos-Panzer;レウスメイル;
Rathalos Vest;Chaleco Rathalos;Tunique Rathalos;;Rathalos-Weste;レウスレジスト;
Uragaan Mail;Malla Uragaan;Cotte Uragaan;;Uragaan-Panzer;ガンキンメイル;
Uragaan Vest;Chaleco Uragaan;Tunique Uragaan;;Uragaan-Weste;ガンキンレジスト;
Zinogre Mail;Malla Jinouga;Cotte Jinouga;;Jinouga-Panzer;ジンオウメイル;
Zinogre Vest;Chaleco Jinouga;Tunique Jinouga;;Jinouga-Weste;ジンオウレジスト;
Diablos Mail;Malla Diablos;Cotte Diablos;;Diablos-Panzer;ディアブロメイル;
Diablos Vest;Chaleco Diablos;Tunique Diablos;;Diablos-Weste;ディアブロレジスト;
Tigrex Mail;Malla Tigrex;Cotte Tigrex;;Tigrex-Panzer;レックスメイル;
Tigrex Vest;Chaleco Tigrex;Tunique Tigrex;;Tigrex-Weste;レックスレジスト;
Agnaktor Mail;Malla Agnaktor;Cotte Agnaktor;;Agnaktor-Panzer;アグナメイル;
Agnaktor Vest;Chaleco Agnaktor;Tunique Agnaktor;;Agnaktor-Weste;アグナレジスト;
Duramboros Mail;Malla Doboru;Cotte Doboru;;Dobolbelk-Panzer;ドボルメイル;
Duramboros Vest;Chaleco Doboru;Tunique Doboru;;Dobolbelk-Weste;ドボルレジスト;
Guild Bard Bolero;Traje guar. Gremio;Veste de la guilde;;Gildenbarden-Bolero;ギルドバードスーツ;
Guild Bard Vest;Chal. guar. Gremio;Tunique de la guilde;;Gildenbarden-Weste;ギルドバードベスト;
Scholar's Blouse;Blusa Colegiala;Blouse de la guilde;;Gelehrten-Tuch;スカラースーツ;
Scholar's Vest;Chaleco Colegiala;Gilet de la guilde;;Gelehrten-Bluse;スカラーベスト;
Mosgharl Ribplate;Tronco Calabaza (Maestro Espada);Costume sorcière;;Magier-Tronc;マギュルトロンコ;
Mosgharl Ribplate;Tronco Calabaza (Maestro Espada);Costume sorcière;;Magier-Tronc;マギュルトロンコ;
Mosgharl Ribguard;Tronco Calabaza (Artillero);Gilet sorcière;;Magier-Stamm;マギュルシュタム;
Mosgharl Ribguard;Tronco Calabaza (Artillero);Gilet sorcière;;Magier-Stamm;マギュルシュタム;
Viking Mail;Malla Pescado;Cotte motard;;Vaiku-Panzer;ヴァイクメイル;
Viking Vest;Chaleco Pescado;Tunique motard;;Vaiku-Weste;ヴァイクレジスト;
Aelucanth Thorax;Malla Escarabajo;Petto nécrologie;;Rowagga-Petto;ロワーガペット;
Aelucanth Pleuron;Chaleco Escarabajo;Pectus nécrologie;;Rowagga-Pectus;ロワーガペクトス;
Rhopessa Thorax;Malla Mariposa;Petto papillon;;Falmir-Petto;ファルメルペット;
Rhopessa Pleuron;Chaleco Mariposa;Pectus papillon;;Falmir-Pectus;ファルメルペクトス;
Artian Mail;Malla Atia;Cotte Atia;;Attia-Panzer;アーティアメイル;
Artian Vest;Chaleco Atia;Tunique Atia;;Attia-Weste;アーティアレジスト;
Yamato Doate;Muneate Yamato;Plastron Yamato;;Yamato-Muneate;大和【胴当て】;
Mutsu Doate;Muneate Mutsu;Plastron Mutsu;;Mutsu-Muneate;陸奥【胴当て】;
Hyuga Muneate;Muneate Hyuga;Plastron Hinata;;Hinata-Muneate;日向【胸当て】;
Amagi Muneate;Muneate Amagi;Plastron Amagi;;Amagi-Muneate;天城【胸当て】;
Slagtoth Cloak;Manta Zuwaro;Manteau Zuposu;;Zuwaloprey-Mantel;ズワロマント;
Slagtoth Wrap;Capa Zuwaro;Cape Zuposu;;Zuwaloprey-Cape;ズワロケープ;
Bath Towel;Sugata Yuami;Serviette des bains;;Baderinne;ユアミスガタ;
Acorn Mail;Malla Bellota;Cotte de gland;;Ahorn-Panzer;どんぐりメイル;
Yukumo Sky Dogi;Dogi Yukumo・Cielo;Haori Yukumo ciel;;Yukumono-RumpfHimmel;ユクモノドウギ・天;
Yukumo Land Dogi;Dogi Yukumo・Tierra;Haori Yukumo terre;;Yukumono-Rumpf Erde;ユクモノドウギ・地;
Leather Mail S;Malla Cuero S;Cotte en cuir S;;Leder-Panzer S;レザーＳメイル;
Leather Vest S;Chaleco Cuero S;Tunique en cuir S;;Leder-Weste S;レザーＳレジスト;
Chainmail Armor S;Cota Malla S (Torso);Cotte en maille S;;Ketten-Panzer S;チェーンＳメイル;
Chainmail Vest S;Chaleco Malla S (Torso);Tunique en maille S;;Ketten-Weste S;チェーンＳレジスト;
Hunter's Mail S;Malla Cazador S;Cotte de chasseur S;;Jäger-Panzer S;ハンターＳメイル;
Hunter's Vest S;Chaleco Cazador S;Tun. de chasseur S;;Jäger-Weste S;ハンターＳレジスト;
Loc Lac Shawl S;Manto Loc Lac S (Maestro Espada);Costume Loc Lac S;;Loc-Lac-Tuch S;ロックラックＳスーツ;
Loc Lac Vest S;Manto Loc Lac S (Artillero);Gilet Loc Lac S;;Loc-Lac-Weste S;ロックラックＳベスト;
Bone Mail S;Malla Hueso S;Cotte d'os S;;Knochen-Panzer S;ボーンＳメイル;
Bone Vest S;Chaleco Hueso S;Tunique d'os S;;Knochen-Weste S;ボーンＳレジスト;
Alloy Mail S;Malla Aleación S;Cotte haut-métal S;;Legierungs-Panzer S;アロイＳメイル;
Alloy Vest S;Chaleco Aleación S;Tunique haut-métal S;;Legierungs-Weste S;アロイＳレジスト;
Bnahabra Suit S;Traje Bnahabra S (Maestro Espada);Costume Bnahabra S;;Bnahabra-Anzug S;ブナハＳスーツ;
Bnahabra Vest S;Traje Bnahabra S (Artillero);Gilet Bnahabra S;;Bnahabra-Weste S;ブナハＳベスト;
Rhenoplos Mail S;Malla Rhenoplos S;Cotte Rhenoplos S;;Rhenoplos-Panzer S;リノプロＳメイル;
Rhenoplos Vest S;Chaleco Rhenoplos S;Tunique Rhenoplos S;;Rhenoplos-Weste S;リノプロＳレジスト;
Jaggi Mail S;Malla Jaggi S;Cotte Jaggi S;;Jaggi-Panzer S;ジャギィＳメイル;
Jaggi Vest S;Chaleco Jaggi S;Tunique Jaggi S;;Jaggi-Weste S;ジャギィＳレジスト;
Arzuros Mail S;Malla Aoashira S;Cotte Aoashira S;;Aoashira-Panzer S;アシラＳメイル;
Arzuros Vest S;Chaleco Aoashira S;Tunique Aoashira S;;Aoashira-Weste S;アシラＳレジスト;
Steel Mail S;Malla Acero S;Cotte d'acier S;;Stahl-Panzer S;スティールＳメイル;
Wroggi Mail S;Malla Furogi S;Cotte Froggi S;;Froggi-Panzer S;フロギィＳメイル;
Wroggi Vest S;Chaleco Furogi S;Tunique Froggi S;;Froggi-Weste S;フロギィＳレジスト;
Lagombi Mail S;Malla Urukususu S;Cotte Urukususu S;;Ulkusus-Panzer S;ウルクＳメイル;
Lagombi Vest S;Chaleco Urukususu S;Tunique Urukususu S;;Ulkusus-Weste S;ウルクＳレジスト;
Qurupeco Mail S;Malla Qurupeco S;Cotte Qurupeco S;;Qurupeco-Panzer S;ペッコＳメイル;
Qurupeco Vest S;Chaleco Qurupeco S;Tunique Qurupeco S;;Qurupeco-Weste S;ペッコＳレジスト;
Ludroth Mail S;Malla Ludroth S;Cotte Ludroth S;;Ludroth-Panzer S;ルドロスＳメイル;
Ludroth Vest S;Chaleco Ludroth S;Tunique Ludroth S;;Ludroth-Weste S;ルドロスＳレジスト;
