english;spanish;french;italian;german;japanese;chinese
Yukumo Kasa;Kasa Yukumo;Kasa Yukumo;;Yukumono-Hut;ユクモノカサ;
Leather Headgear;Cubrecabeza Cuero;Casque en cuir;;Leder-Kopfbedeckung;レザーヘッド;
Chainmail Headgear;Cubrecabeza Malla;Casque en maille;;Ketten-Kopfbedeckung;チェーンヘッド;
Hunter's Helm;Casco Cazador;Casque de chasseur;;Jäger-Helm;ハンターヘルム;
Hunter's Cap;Gorro Cazador;Heaume de chasseur;;Jäger-Kappe;ハンターキャップ;
Bone Helm;Casco Hueso;Casque d'os;;Knochen-Helm;ボーンヘルム;
Bone Cap;Gorro Hueso;Heaume d'os;;Knochen-Kappe;ボーンキャップ;
Alloy Helm;Casco Aleación;Casque haut-métal;;Legierungs-Helm;アロイヘルム;
Alloy Cap;Gorro Aleación;Heaume haut-métal;;Legierungs-Kappe;アロイキャップ;
Bnahabra Hat;Sombrero Bnahabra;Masque Bnahabra;;Bnahabra-Hut;ブナハハット;
Bnahabra Headpiece;Gorro Bnahabra;Visage Bnahabra;;Bnahabra-Kappe;ブナハキャップ;
Rhenoplos Helm;Casco Rhenoplos;Casque Rhenoplos;;Rhenoplos-Helm;リノプロヘルム;
Rhenoplos Cap;Gorro Rhenoplos;Heaume Rhenoplos;;Rhenoplos-Kappe;リノプロキャップ;
Jaggi Helm;Casco Jaggi;Casque Jaggi;;Jaggi-Helm;ジャギィヘルム;
Jaggi Cap;Gorro Jaggi;Heaume Jaggi;;Jaggi-Kappe;ジャギィキャップ;
Arzuros Helm;Casco Aoashira;Casque Aoashira;;Aoashira-Helm;アシラヘルム;
Arzuros Cap;Gorro Aoashira;Heaume Aoashira;;Aoashira-Kappe;アシラキャップ;
Wroggi Helm;Casco Furogi;Casque Froggi;;Froggi-Helm;フロギィヘルム;
Wroggi Cap;Gorro Furogi;Heaume Froggi;;Froggi-Kappe;フロギィキャップ;
Lagombi Helm;Casco Urukususu;Casque Urukususu;;Ulkusus-Helm;ウルクヘルム;
Lagombi Cap;Gorro Urukususu;Heaume Urukususu;;Ulkusus-Kappe;ウルクキャップ;
Qurupeco Helm;Casco Qurupeco;Casque Qurupeco;;Qurupeco-Helm;ペッコヘルム;
Qurupeco Cap;Gorro Qurupeco;Heaume Qurupeco;;Qurupeco-Kappe;ペッコキャップ;
Ludroth Helm;Casco Ludroth;Casque Ludroth;;Ludroth-Helm;ルドロスヘルム;
Ludroth Cap;Gorro Ludroth;Heaume Ludroth;;Ludroth-Kappe;ルドロスキャップ;
Barroth Helm;Casco Barroth;Casque Barroth;;Barroth-Helm;ボロスヘルム;
Barroth Cap;Gorro Barroth;Heaume Barroth;;Barroth-Kappe;ボロスキャップ;
Ingot Helm;Casco Lingote;Casque lingot;;Guss-Helm;インゴットヘルム;
Ingot Cap;Gorro Lingote;Heaume lingot;;Guss-Kappe;インゴットキャップ;
Baggi Helm;Casco Baggi;Casque Baggi;;Baggi-Helm;バギィヘルム;
Baggi Cap;Gorro Baggi;Heaume Baggi;;Baggi-Kappe;バギィキャップ;
