english;spanish;french;italian;german;japanese;chinese
Attack;Aum. torso;Tail. aug.;;Angriff;攻撃;
Expert;Veneno;Poison;;Experte;達人;
Sharpness;Paralisis;Paralysie;;Schärfe;斬れ味;
Sharpener;Sueño;Sommeil;;Schärfer;研ぎ師;
Handicraft;Aturdir;Étourd.;;Handwerk;匠;
PunishDraw;Barr/Nieve;Neige/boue;;StrafHieb;抜刀減気;
Crit Draw;Sentido;Ninja;;KritHieb;抜刀会心;
FastCharge;Salud;Santé;;Schn. lad.;溜め短縮;
Fencing;Vel. recup;Vit. récup.;;Fechten;剣術;
Tenderizer;Afilado;Épée aig. ;;HartSchlag;痛撃;
Destroyer;Artesano;Artisan ;;SchrSchlag;重撃;
KO;Esgrima;Escrime;;KO;KO;
Stam Drain;Experto;Expert;;ErmüdSchlg;減気攻撃;
Maestro;Afilador;Aig. augm.;;Horn;笛;
Artillery;Guardia;Garde;;Schießerei;砲術;
Gloves Off;Subir prot;Garde +;;Entbädigen;本気;
Potential;Autoprot.;Garde auto;;Potenzial;底力;
Survivor;Vel.recarg;Vit. rech.;;Überleben;逆境;
Loading;Retroceso;Recul;;Kapazität;装填数;
Rapid Fire;SubirDNorm;Mn norm.au.;;Schnellfeu;速射;
Reload Speed;SubirDPerf;Mn perc.au.;;NachlGesch;装填速度;
Recoil;SubirDPerd;Mn plmb au.;;Rückstoß;反動;
Precision;AñDNormal;Mn norm. +;;Präzision;精密射撃;
Normal Up;AñDPerf;Mn perc. +;;Norml Hoch;通常弾強化;
Pierce Up;AñDPerd;Mn plomb +;;PierceHoch;貫通弾強化;
Pellet Up;AñDispBomb;Mn expl. +;;SchrotHoch;散弾強化;
Normal S+;AñDispGr;Mn Frag +;;NormlSzufü;通常弾追加;
Pierce S+;Atq espec.;Statut;;PiercSzufü;貫通弾追加;
Pellet S+;Atq. Elem.;Élement;;SchrtSzufü;散弾追加;
Crag S+;SubFueBomb;Bombardier;;CragSzufüg;榴弾追加;
Clust S+;Hambre;Faim;;StreuSzfüg;拡散弾追加;
Slice S+;Glotoneria;Glouton;;SchntSHinz;斬裂弾追加;
Poison C+;Ataque;Att. augm.;;GiftBschHz;毒瓶追加;
Para C+;Defensa;Def. augm.;;LähmBschHz;麻痺瓶追加;
Sleep C+;Protección;Protection;;ShlfBschHz;睡眠瓶追加;
Power C+;Prot. oido;Prot. aud.;;KrftBschHz;強撃瓶追加;
C. Range C+;Anti-robo;Vol ineff.;;KmboBschHz;接撃瓶追加;
Exhaust C+;Área ampl.;Zone;;ErmdBschHz;減気瓶追加;
Status;Mochilero;Routard;;Status;特殊攻撃;
ElementAtk;R. fuego;Rés. feu;;Element;属性攻撃;
Fire Atk;R. agua;Rés. eau;;FeurAngHch;火属性攻撃;
Water Atk;R. trueno;Rés. fdr;;WssrAngHch;水属性攻撃;
Thundr Atk;R. hielo;Rés. glc;;DnnrAngHch;雷属性攻撃;
Ice Atk;R. dragón;Rés. drgn;;EisAngrHch;氷属性攻撃;
Dragon Atk;Res. Calor;Rés. chaud;;DrchAngHch;龍属性攻撃;
Constitutn;Res. Frio;Rés. froid;;Konstitutn;体術;
Stamina;PresViento;Press. vent;;Ausdauer;スタミナ;
Stam Recov;Recogida;Collecte;;Willenskft;気力回復;
Hunger;Vel. recog;Cllcte rap.;;Hunger;腹減り;
Evasion;Capricho;Lubie;;Ausweichen;回避性能;
Evade Dist;Destino;Destin;;Asweichdst;回避距離;
Sheathing;VisPsíquic;Clairvoy.;;Armieren;納刀;
Sense;Niv. recup;Récup.;;Spürsinn;気配;
Rec Speed;Combinar;Réuss.combo;;ErholGschw;回復速度;
Guard;Combinador;Alchimie;;Block;ガード性能;
Guard Up;Evadir;Evasion;;Block hoch;ガード強化;
Auto-Guard;Potencial;Potentiel;;Autoblock;自動防御;
Protection;Duración;TpsObjAugm.;;Schutz;加護;
Poison;Resist.;Coureur;;Gift;毒;
Paralysis;Carga;Recharge;;Lähmung;麻痺;
Sleep;Precisión;Précision;;Schlaf;睡眠;
Stun;Comer;Repas rap.;;Betäuben;気絶;
Mud/Snow;Cortar;Dépeçage;;Schl/Schn.;耐泥耐雪;
