name;hr;village;slots;gender;type;rarity;defense;fire;thunder;dragon;water;ice;skill_one;skill_one_points;skill_two;skill_two_points;skill_three;skill_three_points;skill_four;skill_four_points;skill_five;skill_five_points;material_one;amount_one;material_two;amount_two;material_three;amount_three;material_four;amount_four
Yukumo Hakama;1;1;0;0;0;1;1;0;3;0;0;0;Protection;2;Whim;2;Expert;2;;;;;Yukumo Wood;2;Carpenterbug;2;;;;
Leather Pants;1;1;1;0;0;1;1;-1;0;1;0;0;Spd Gather;2;Gathering;1;Whim;4;;;;;Warm Pelt;2;;;;;;
Chainmail Pants;1;1;1;0;0;1;2;2;-2;0;1;1;Health;2;Combo Rate;2;Combo Plus;3;;;;;Iron Ore;2;Yukumo Wood;2;;;;
Hunter's Greaves;1;1;1;0;1;1;6;0;-4;0;1;0;Ranger;2;Psychic;3;SpeedSetup;2;Poison;-2;;;Iron Ore;1;Bullfango Pelt;1;Yukumo Wood;2;;
Hunter's Leggings;1;1;1;0;2;1;3;1;-2;1;2;0;Ranger;1;Psychic;3;SpeedSetup;3;Poison;-2;;;Iron Ore;1;Bullfango Pelt;1;Yukumo Wood;2;;
Loc Lac Boots;1;1;1;0;0;1;4;2;1;0;-3;0;Transportr;6;Hunger;3;;;;;;;Altaroth Jaw;3;Altaroth Stomach;2;Ice Crystal;3;;
Bone Greaves;1;2;1;0;1;1;8;2;-1;0;0;-2;Maestro;4;Gathering;3;KO;1;Sleep;-1;;;Monster Bone M;2;Bone;2;Mystery Bone;4;;
Bone Leggings;1;2;1;0;2;1;4;4;0;0;0;-1;Maestro;1;Gathering;4;KO;1;Sleep;-3;;;Monster Bone M;2;Bone;2;Mystery Bone;4;;
Alloy Greaves;1;2;1;0;1;1;8;-1;-2;-1;1;-2;Wind Res;4;Expert;2;Sharpener;1;Gathering;-2;;;Machalite Ore;4;Bealite Ore;2;Iron Ore;2;;
Alloy Leggings;1;2;1;0;2;1;4;0;-1;0;2;-1;Pellet Up;3;Reload Speed;1;Pellet S+;3;Gathering;-2;;;Machalite Ore;4;Bealite Ore;2;Iron Ore;2;;
Bnahabra Boots;1;2;1;0;1;2;10;-5;2;4;-2;-2;Status;3;Sheathing;3;Sense;1;Attack;-2;;;Bnahabra Shell;2;Bnahabra Wing;3;Killer Beetle;2;Carpenterbug;3
Bnahabra Pants;1;2;1;0;2;2;5;-3;3;5;-1;-1;Status;2;Sheathing;1;Sense;3;Attack;-3;;;Bnahabra Shell;2;Bnahabra Wing;3;Killer Beetle;2;Carpenterbug;3
Rhenoplos Greaves;1;3;1;0;1;2;10;2;-2;1;-2;-2;Stam Recov;2;Artillery;4;Mud/Snow;1;Ice Res;-2;;;Rhenoplos Shell;2;Monster Bone S;6;Ice Crystal;2;;
Rhenoplos Leggings;1;3;1;0;2;2;5;3;-1;2;-1;-1;Stam Recov;1;Artillery;2;Precision;4;Ice Res;-2;;;Rhenoplos Shell;2;Monster Bone S;6;Ice Crystal;2;;
Jaggi Greaves;1;1;1;0;1;2;12;-4;-2;1;-2;-2;Attack;2;Perception;3;Rec Speed;2;LastingPwr;-2;;;Jaggi Hide;4;Jaggi Scale;3;Monster Bone S;4;Machalite Ore;2
Jaggi Leggings;1;1;1;0;2;2;6;-2;-1;2;-1;-1;Attack;2;Perception;2;Rec Speed;3;LastingPwr;-2;;;Jaggi Hide;4;Jaggi Scale;3;Monster Bone S;4;Machalite Ore;2
Arzuros Greaves;1;2;0;0;1;2;12;-3;-1;1;1;-2;Torso Up;1;;;;;;;;;Arzuros Brace;2;Arzuros Pelt;2;Bnahabra Shell;2;Killer Beetle;2
Arzuros Leggings;1;2;0;0;2;2;6;-2;0;3;2;-1;Torso Up;1;;;;;;;;;Arzuros Brace;2;Arzuros Pelt;2;Bnahabra Shell;2;Killer Beetle;2
Wroggi Greaves;1;3;1;0;1;2;14;2;1;0;-2;-4;Constitutn;2;Perception;1;Poison;4;Stun;-2;;;G.Wroggi Brace;2;G.Wroggi Hide;2;Wroggi Hide;3;Carpenterbug;3
Wroggi Leggings;1;3;1;0;2;2;7;4;2;0;-1;-2;Constitutn;2;Perception;1;Poison;4;Stun;-2;;;G.Wroggi Brace;2;G.Wroggi Hide;2;Wroggi Hide;3;Carpenterbug;3
Lagombi Greaves;2;3;1;0;1;2;14;-4;-2;1;2;2;Evasion;2;Cold Res;1;Heat Res;-2;Sheathing;4;;;Lagombi Pelt;2;Lagombi Plastron;2;Lagombi Claw;1;Carpenterbug;8
Lagombi Leggings;2;3;1;0;2;2;7;-2;-1;3;3;4;Evasion;1;Cold Res;2;Heat Res;-2;Sheathing;4;;;Lagombi Pelt;2;Lagombi Plastron;2;Lagombi Claw;1;Carpenterbug;8
Qurupeco Greaves;1;3;1;0;1;2;12;2;-1;2;-2;-4;Wide-Range;1;Rec Level;2;Eating;-1;Maestro;5;;;Qurupeco Scale;2;Vivid Feather;1;Monster Bone S;4;Killer Beetle;2
Qurupeco Leggings;1;3;1;0;2;2;6;4;0;4;-1;-3;Wide-Range;1;Rec Level;1;Eating;-2;Maestro;5;;;Qurupeco Scale;2;Vivid Feather;1;Monster Bone S;4;Killer Beetle;2
Ludroth Greaves;1;3;1;0;1;2;14;-4;-2;1;2;-2;Stamina;1;Hunger;3;Water Atk;4;ThunderRes;-1;;;R.Ludroth Claw;2;R.Ludroth Scale;3;Spongy Hide;2;Carpenterbug;3
Ludroth Leggings;1;3;1;0;2;2;7;-2;-1;2;4;-1;Stamina;2;Hunger;4;Water Atk;1;ThunderRes;-2;;;R.Ludroth Claw;2;R.Ludroth Scale;3;Spongy Hide;2;Carpenterbug;3
Barroth Greaves;1;3;2;0;1;2;16;4;2;0;-4;-3;Guard;1;KO;2;Constitutn;-2;Attack;2;;;Barroth Shell;2;Barroth Tail;1;Monster Bone L;2;Rhenoplos Shell;3
Barroth Leggings;1;3;2;0;2;2;8;4;4;0;-4;-1;Normal Up;1;Precision;2;Constitutn;-2;Attack;2;;;Barroth Shell;2;Barroth Tail;1;Monster Bone L;2;Rhenoplos Shell;3
Ingot Greaves;2;3;2;0;1;2;20;-2;1;0;-2;-2;Wind Res;1;Thundr Atk;1;Sharpener;3;Whim;-2;;;Dragonite Ore;3;Isisium;2;Pelagicite Ore;2;Machalite Ore;5
Ingot Leggings;2;3;2;0;2;2;10;-1;2;0;-1;-1;Pellet Up;1;Thundr Atk;1;Reload Speed;3;Whim;-2;;;Dragonite Ore;3;Isisium;2;Pelagicite Ore;2;Machalite Ore;5
Baggi Greaves;2;3;1;0;1;2;16;-4;-1;1;-1;2;Attack;3;Ice Atk;1;Rec Speed;4;Fire Res;-1;;;Baggi Hide;4;Baggi Scale;3;Monster Bone S;6;Lightcrystal;1
Baggi Leggings;2;3;1;0;2;2;8;-2;0;2;0;4;Attack;3;Ice Atk;1;Rec Speed;3;Fire Res;-2;;;Baggi Hide;4;Baggi Scale;3;Monster Bone S;6;Lightcrystal;1
