name;hr;village;slots;gender;type;rarity;defense;fire;thunder;dragon;water;ice;skill_one;skill_one_points;skill_two;skill_two_points;skill_three;skill_three_points;skill_four;skill_four_points;skill_five;skill_five_points;material_one;amount_one;material_two;amount_two;material_three;amount_three;material_four;amount_four
Yukumo Obi;1;1;1;0;0;1;1;0;3;0;0;0;Protection;2;Whim;2;Expert;1;;;;;Yukumo Wood;1;Iron Ore;2;;;;
Leather Belt;1;1;0;0;0;1;1;-1;0;1;0;0;Spd Gather;2;Gathering;4;Whim;3;;;;;Bullfango Pelt;1;Iron Ore;1;;;;
Chainmail Belt;1;1;1;0;0;1;2;2;-2;0;1;1;Health;1;Combo Rate;3;Combo Plus;3;;;;;Iron Ore;1;Warm Pelt;2;;;;
Hunter's Faulds;1;1;1;0;1;1;6;0;-4;0;1;0;Ranger;1;Psychic;4;SpeedSetup;2;Poison;-2;;;Bullfango Pelt;2;Iron Ore;1;Carpenterbug;1;;
Hunter's Coat;1;1;1;0;2;1;3;1;-2;1;2;0;Ranger;2;Psychic;2;SpeedSetup;3;Poison;-2;;;Bullfango Pelt;2;Iron Ore;1;Carpenterbug;1;;
Loc Lac Kilt;1;1;1;0;0;1;4;2;1;0;-3;0;Transportr;4;Hunger;5;;;;;;;Altaroth Stomach;2;Altaroth Jaw;2;Ice Crystal;3;;
Bone Faulds;1;2;1;0;1;1;8;2;-1;0;0;-2;Maestro;3;Gathering;1;KO;3;Sleep;-2;;;Monster Bone S;3;Bone;3;Sharpened Fang;2;;
Bone Coat;1;2;1;0;2;1;4;4;0;0;0;-1;Maestro;1;Gathering;4;KO;3;Sleep;-1;;;Monster Bone S;3;Bone;3;Sharpened Fang;2;;
Alloy Coil;1;2;2;0;1;1;8;-1;-2;-1;1;-2;Wind Res;2;Expert;3;Sharpener;1;Gathering;-1;;;Machalite Ore;2;Pelagicite Ore;2;Iron Ore;3;;
Alloy Coat;1;2;2;0;2;1;4;0;-1;0;2;-1;Pellet Up;1;Reload Speed;1;Pellet S+;2;Gathering;-3;;;Machalite Ore;2;Pelagicite Ore;2;Iron Ore;3;;
Bnahabra Coil;1;2;1;0;1;2;10;-5;2;4;-2;-2;Status;3;Sheathing;1;Sense;3;Attack;-2;;;Bnahabra Wing;3;Bnahabra Shell;2;Monster Fluid;1;Killer Beetle;2
Bnahabra Coat;1;2;1;0;2;2;5;-3;3;5;-1;-1;Status;2;Sheathing;3;Sense;2;Attack;-2;;;Bnahabra Wing;3;Bnahabra Shell;2;Monster Fluid;1;Killer Beetle;2
Rhenoplos Coil;1;3;1;0;1;2;10;2;-2;1;-2;-2;Stam Recov;3;Artillery;3;Mud/Snow;2;Ice Res;-1;;;Rhenoplos Shell;2;Rhenoplos Scalp;1;Earth Crystal;2;;
Rhenoplos Coat;1;3;1;0;2;2;5;3;-1;2;-1;-1;Stam Recov;2;Artillery;4;Precision;1;Ice Res;-2;;;Rhenoplos Shell;2;Rhenoplos Scalp;1;Earth Crystal;2;;
Jaggi Faulds;1;2;1;0;1;2;12;-4;-2;1;-2;-2;Attack;3;Perception;1;Rec Speed;4;LastingPwr;-1;;;G.Jaggi Hide;2;King's Frill;1;Jaggi Hide;3;Earth Crystal;1
